industry_id,name,category
PADDY,Paddy rice,Other Services
WHEAT,Wheat,Other Services
CEREA,Cereal grains nec,Other Services
VEGET,"Vegetables, fruit, nuts",Other Services
OILSE,Oil seeds,Other Services
SUGAR,"Sugar cane, sugar beet",Other Services
PLANT,Plant-based fibers,Agriculture
CROPS,Crops nec,Agriculture
CATTL,Cattle,Agriculture
PIGS9,Pigs,Agriculture
POULT,Poultry,Agriculture
MEATA,Meat animals nec,Agriculture
ANIMA,Animal products nec,Other Services
RAWMI,Raw milk,Agriculture
WOOLS,"Wool, silk-worm cocoons",Agriculture
MANUR,Manure (conventional treatment),Agriculture
MANU1,Manure (biogas treatment),Agriculture
FORES,"Products of forestry, logging and related services (02)",Forestry
FISHF,Fish and other fishing products; services incidental of fishing (05),Fishing
ANTHR,Anthracite,Mining
COKIN,Coking Coal,Mining
BITUM,Other Bituminous Coal,Mining
SUBBI,Sub-Bituminous Coal,Mining
PATEN,Patent Fuel,Other Services
LIGNI,Lignite/Brown Coal,Mining
BKBPE,BKB/Peat Briquettes,Other Services
PEAT2,Peat,Other Services
CRUDE,"Crude petroleum and services related to crude oil extraction, excluding surveying",Mining
NATUR,"Natural gas and services related to natural gas extraction, excluding surveying",Mining
NATU1,Natural Gas Liquids,Mining
HYDRO,Other Hydrocarbons,Other Services
URANI,Uranium and thorium ores (12),Mining
IRONO,Iron ores,Mining
COPPE,Copper ores and concentrates,Mining
NICKE,Nickel ores and concentrates,Mining
ALUMI,Aluminium ores and concentrates,Mining
PRECI,Precious metal ores and concentrates,Mining
LEADZ,"Lead, zinc and tin ores and concentrates",Mining
NONFE,Other non-ferrous metal ores and concentrates,Mining
STONE,Stone,Other Services
SANDC,Sand and clay,Other Services
CHEMI,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",Mining
MEATC,Products of meat cattle,Agriculture
MEATP,Products of meat pigs,Agriculture
MEAT1,Products of meat poultry,Agriculture
MEAT4,Meat products nec,Agriculture
VEGE1,products of Vegetable oils and fats,Other Services
DAIRY,Dairy products,Food Manufacturing
PROCE,Processed rice,Other Services
SUGA1,Sugar,Other Services
FOOD5,Food products nec,Food Manufacturing
BEVER,Beverages,Food Manufacturing
FISH5,Fish products,Fishing
TOBAC,Tobacco products (16),Food Manufacturing
TEXTI,Textiles (17),Textiles
WEARI,Wearing apparel; furs (18),Textiles
LEATH,Leather and leather products (19),Textiles
WOODW,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),Forestry
WOODM,"Wood material for treatment, Re-processing of secondary wood material into new wood material",Forestry
PULP5,Pulp,Other Services
SECON,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",Other Services
PAPER,Paper and paper products,Other Services
PRINT,Printed matter and recorded media (22),Information
COKEO,Coke Oven Coke,Other Services
GASCO,Gas Coke,Mining
COALT,Coal Tar,Mining
MOTOR,Motor Gasoline,Mining
AVIAT,Aviation Gasoline,Mining
GASOL,Gasoline Type Jet Fuel,Mining
