trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
3379,2019,AU,AU,CONST,CONST,81479.08,2303963715.33,721.0,721.0,3296525.275,2267592654.014,283979.184,128452.873,28961740.14,3700363.844,527928.553,1097943.791,46121.965,93699.452,3376087.491,2267592654.014,283979.184,1463477.225,28276.751717
3480,2019,AU,AU,CONST,REALE,28138.54,1390968164.422,721.0,721.0,1173968.192,1379467332.95,162729.403,50453.659,8794639.119,1319041.101,202869.086,338042.561,72450.809,32555.819,1237500.486,1379467332.95,162729.403,483092.107,49432.847775
6678,2019,AU,AU,FINAN,REALE,23571.85,964449209.621,721.0,721.0,1077939.001,955320420.162,86004.785,33286.48,6778203.539,1153355.654,232422.474,326780.523,51649.948,25131.735,1067868.624,955320420.162,86004.785,451069.63,40915.295559
1844,2019,AU,AU,BUSIN,CONST,23403.43,769913656.933,721.0,721.0,985369.469,760350015.398,70220.672,42385.385,7315669.15,1149996.86,160399.784,296903.645,62601.821,29657.168,1088198.024,760350015.398,70220.672,222754.267,32897.470881
11487,2019,AU,AU,NATUR,NATUR,17749.54,705793149.921,721.0,721.0,681438.745,699037992.692,82558.598,26897.544,5084902.527,879359.815,115319.4,160397.987,49798.679,19574.997,818561.634,699037992.692,82558.598,247832.447,39764.024866
1830,2019,AU,AU,BUSIN,BUSIN,24536.76,625516652.413,721.0,721.0,1012567.932,615539366.327,132033.029,39367.0,7598767.092,1194551.033,198991.504,249443.596,67160.581,34041.006,1117034.599,615539366.327,132033.029,394178.346,25493.041967
8330,2019,AU,AU,HEALT,HEALT,20078.41,589633630.722,721.0,721.0,734649.69,581958346.254,138460.51,35599.611,5801512.648,965062.008,115366.545,188476.38,37292.534,26553.705,899668.291,581958346.254,138460.51,329880.819,29366.549977
756,2019,AU,AU,AUXIL,INSUR,14833.27,585358136.339,721.0,721.0,569305.54,579010498.148,45041.315,22419.255,4978236.115,732635.966,88349.253,152539.095,34617.846,17393.812,685008.381,579010498.148,45041.315,162426.745,39462.514762
20022,2019,AU,AU,WOODW,CONST,9835.78,415841227.876,721.0,721.0,387530.534,411630216.269,38143.958,17098.68,3285432.505,482805.931,65506.393,115544.807,8432.552,12569.425,446327.565,411630216.269,38143.958,210331.64,42278.418984
19790,2019,AU,AU,WHOLE,CONST,16092.38,370607720.879,721.0,721.0,636150.247,364086372.436,85179.459,26089.719,4988440.08,785488.938,125215.219,140852.908,52954.962,16854.841,732033.912,364086372.436,85179.459,179222.184,23030.013017
14003,2019,AU,AU,POSTT,POSTT,12054.66,359989544.258,721.0,721.0,467435.149,355222816.666,41584.789,18752.303,3641779.921,597175.43,58820.78,149924.404,21115.984,13206.531,554618.86,355222816.666,41584.789,146140.669,29863.102257
15795,2019,AU,AU,RECRE,RECRE,9871.76,357005904.536,721.0,721.0,396161.895,352793431.055,33083.286,16519.971,3264245.564,502462.766,72168.32,117180.192,19008.941,12171.298,470451.661,352793431.055,33083.286,208403.696,36164.362235
687,2019,AU,AU,AUXIL,AUXIL,9845.87,339879879.332,721.0,721.0,389145.453,335861772.402,55648.164,17860.112,3084873.246,470579.955,49980.945,136798.162,13777.471,12184.093,446920.535,335861772.402,55648.164,125591.429,34520.045393
3206,2019,AU,AU,COMPU,COMPU,6190.74,284278482.315,721.0,721.0,250054.452,281631712.277,22420.608,10169.454,2049909.843,314215.681,50764.398,60910.623,9441.107,8710.932,296010.879,281631712.277,22420.608,135733.967,45919.951785
1947,2019,AU,AU,BUSIN,REALE,6674.34,279462093.827,721.0,721.0,290358.187,276968363.795,34510.163,10913.338,1848647.922,309300.422,48525.584,81067.004,21775.387,9809.194,285700.118,276968363.795,34510.163,75444.642,41871.120414
6599,2019,AU,AU,FINAN,FINAN,7519.83,275065164.884,721.0,721.0,310549.124,271780356.733,31402.247,10586.434,2576172.71,356097.636,48162.023,95864.563,16360.547,9363.329,326857.846,271780356.733,31402.247,57715.743,36578.64139
2143,2019,AU,AU,CEMEN,CONST,10341.2,268059149.061,721.0,721.0,421297.91,264188826.825,30396.244,16945.326,2884579.472,517103.285,83574.948,120889.589,13925.739,14845.368,481053.775,264188826.825,30396.244,79567.045,25921.474206
6575,2019,AU,AU,FINAN,CONST,7118.4,267153327.814,721.0,721.0,290110.042,264308465.107,28198.697,11061.162,2168597.245,346895.561,43030.485,97349.326,8504.295,9252.608,319878.049,264308465.107,28198.697,151507.437,37529.968506
6402,2019,AU,AU,FABRI,CONST,11184.8,249254908.389,721.0,721.0,413005.419,244774256.27,36004.341,18689.322,3522611.396,490341.64,63994.365,93763.027,37078.265,12827.277,458393.134,244774256.27,36004.341,213307.602,22285.146662
736,2019,AU,AU,AUXIL,FINAN,6806.47,241909219.26,721.0,721.0,264802.532,239179390.879,17687.355,10385.281,2108526.264,328426.95,45354.176,71250.539,10217.637,8881.061,307425.853,239179390.879,17687.355,113382.889,35541.068904
3475,2019,AU,AU,CONST,PUBLI,6891.8,229803916.359,721.0,721.0,241874.867,227187550.642,20578.754,12971.552,2013227.088,327713.457,51154.872,47527.205,6400.747,7429.516,299722.988,227187550.642,20578.754,114426.457,33344.542262
18091,2019,AU,AU,SUPPO,SUPPO,7993.68,208361130.305,721.0,721.0,312963.55,205374273.328,32964.721,13061.711,2232381.119,395485.876,50569.592,73277.675,21177.665,10336.968,368383.415,205374273.328,32964.721,92294.35,26065.733217
1852,2019,AU,AU,BUSIN,EDUCA,4616.37,207502487.368,721.0,721.0,187720.375,205527127.22,17463.687,7147.404,1536380.363,226648.32,39541.542,43753.302,10956.514,6360.822,211934.539,205527127.22,17463.687,69432.41,44949.275593
1980,2019,AU,AU,BUSIN,WHOLE,5932.35,193400924.528,721.0,721.0,232213.273,191142183.941,27411.796,8241.598,1697407.327,293466.592,39814.835,50175.025,19584.504,7730.926,277130.706,191142183.941,27411.796,65370.268,32601.064423
16302,2019,AU,AU,RETA1,CONST,4550.47,192780089.873,721.0,721.0,184312.475,191065758.419,20691.839,7721.023,1276044.259,225561.858,35128.545,50227.597,9022.05,5610.925,211469.677,191065758.419,20691.839,68170.181,42364.87437
1942,2019,AU,AU,BUSIN,PUBLI,6488.28,191638653.481,721.0,721.0,258398.17,188962774.552,24929.89,10108.537,2086493.363,295948.969,44869.553,69450.638,9962.816,8249.058,271050.465,188962774.552,24929.89,106365.474,29536.125673
19926,2019,AU,AU,WHOLE,WHOLE,5119.01,186905121.675,721.0,721.0,214809.776,184735728.853,24338.941,8295.459,1653947.755,268000.892,40323.527,61950.907,7502.834,6682.991,250625.555,184735728.853,24338.941,62248.453,36511.966508
15623,2019,AU,AU,REALE,REALE,5726.3,186438882.333,721.0,721.0,217908.624,184086072.03,22241.532,10894.285,1806385.121,295380.741,17622.323,81334.018,4263.852,6968.071,274975.263,184086072.03,22241.532,81534.347,32558.350476
6561,2019,AU,AU,FINAN,BUSIN,4688.11,184773228.859,721.0,721.0,197442.615,182861551.868,8940.256,8107.846,1467829.308,229356.964,44480.938,46652.639,5150.582,6198.844,207868.833,182861551.868,8940.256,76682.459,39413.159857
4206,2019,AU,AU,DIST1,DIST1,5861.82,184132857.536,721.0,721.0,255384.677,181679224.417,19503.143,10056.13,1855888.098,312801.071,50019.786,76518.984,8561.967,7849.088,293058.644,181679224.417,19503.143,68993.368,31412.233323
15629,2019,AU,AU,REALE,RETA1,4387.69,167686648.416,721.0,721.0,168692.43,165946213.818,6651.436,8112.368,1347602.68,209375.684,38601.787,37668.418,8583.565,5470.535,195387.643,165946213.818,6651.436,85197.226,38217.524122
9303,2019,AU,AU,LANDT,CONST,6309.86,165466498.083,721.0,721.0,266324.384,163012402.21,29404.129,10142.718,1835851.229,312373.413,43878.506,85901.679,7320.522,8809.512,293177.497,163012402.21,29404.129,85230.097,26223.481675
15506,2019,AU,AU,REALE,BUSIN,4689.1,158222686.287,721.0,721.0,191682.665,156216782.667,17447.662,8171.269,1556289.185,232312.839,36479.989,52300.519,4328.863,4572.574,218786.49,156216782.667,17447.662,107922.203,33742.655581
1936,2019,AU,AU,BUSIN,POSTT,3892.0,155233389.763,721.0,721.0,154838.964,153763484.412,16901.801,6450.237,1092886.225,198828.124,28831.861,41938.325,4652.055,5265.89,186881.085,153763484.412,16901.801,51319.152,39885.249168
1953,2019,AU,AU,BUSIN,RETA1,4407.45,152181691.945,721.0,721.0,178450.912,150285810.758,26028.423,8679.464,1478637.405,204084.984,36396.526,54122.632,1665.91,5683.977,190882.548,150285810.758,26028.423,60694.226,34528.285504
15528,2019,AU,AU,REALE,EDUCA,3438.06,149329661.435,721.0,721.0,126671.795,147900138.395,9660.002,6055.802,1111101.347,176034.094,25277.579,31805.897,1951.882,4247.94,163727.301,147900138.395,9660.002,60552.543,43434.280215
3193,2019,AU,AU,COMPU,BUSIN,3683.75,149032377.96,721.0,721.0,165766.146,147501936.313,12482.187,5682.818,1167164.067,179346.428,29816.979,58414.963,6773.197,3814.284,166716.924,147501936.313,12482.187,60819.804,40456.702534
2051,2019,AU,AU,CATTL,MEATC,4835.72,144351311.746,721.0,721.0,208720.725,142346411.439,19468.716,7785.483,1534282.179,234643.203,44344.997,62158.393,6061.457,6292.303,219435.387,142346411.439,19468.716,89098.316,29851.048395
13637,2019,AU,AU,PLANT,PLANT,3881.34,143050483.204,721.0,721.0,155616.036,141293703.122,14846.858,6205.445,1397947.468,182164.275,30091.14,44725.622,3800.281,4802.464,169996.881,141293703.122,14846.858,71609.966,36855.952636
