trade_id,factor_id,level
1653,466,6987
1654,466,32707
1655,466,8109
1656,466,9852
1657,466,13397
3541,457,20660
3542,457,13864
3543,457,15349
3544,457,34348
3654,466,20752
4159,457,14202
4160,457,17996
4222,466,5882
4797,466,35512
4798,466,335015
4799,466,23313790
4800,466,205609
4801,466,1830112387
4802,466,163888
4803,466,583164
4804,466,223563
5650,457,323180
5651,457,4799404
5652,457,13843
5653,457,46073458
5654,457,35427
5655,457,65993
5656,457,354930
5657,457,41732
5658,457,31717150
5659,457,14669
5660,457,41401
5661,457,6972366
5662,457,322479
5663,457,7161625
5664,457,26403000
5665,457,25656
5666,457,64573
5667,457,120529
5668,457,414774
5669,457,97518406
5670,457,2133066
5671,457,162899
5672,457,17172
5673,457,163967
5674,457,185589
5675,457,123255
5676,457,91775
5677,457,75665
5678,457,77475
5679,457,824811
5680,457,5756305
5681,457,87118
5682,457,547703
5683,457,1442497
5684,457,3984009
5685,457,116455362
5686,457,896230
5687,457,70559096
5688,457,617160
5689,457,211031
5690,457,2153910
5691,457,105062
5692,457,1212680
5693,457,385947
5694,457,1187319
5695,457,1218898
5696,457,185028
5697,457,6565261
5698,457,3934930
5699,457,2158074
5700,457,1211223
5701,457,896285
5702,457,103968
5703,457,782625
5704,457,313964
5705,457,51598
5706,457,92811
5707,457,354282
5708,457,269873273
5709,457,18769
5710,457,313907
5711,457,65847
5712,457,28811
5713,457,48802
5714,457,5673614
5715,457,97839
5716,457,3548711
5717,457,586616
5718,457,34135
5719,457,3814515
5720,457,227023
5721,457,1405860
5722,457,3879828
5723,457,951534
5724,457,3825808
5725,457,2924879
5726,457,40258
5727,457,30525576
5728,457,454713
5729,457,86305
5730,457,77230
5731,457,24770
5732,457,34664
5733,457,625648
5734,457,2257446
5735,457,55531
5736,457,3559874
5737,457,44108050
5738,457,1598195
5739,457,8749732
5740,457,312355666
6293,466,37232
6294,466,3665894
7857,456,4659
7858,456,25322
7859,456,349260
7860,456,16416189
7861,456,2016
7862,456,1787
7863,456,1685924
9729,457,18831
9730,457,14195
15176,466,8519
15177,466,28716
16137,456,1215
17066,457,37248
17067,457,35021
17068,457,42109
17069,457,14555
17070,457,20559
17071,457,47616
