trade_id,year,region1,region2,industry1,industry2,amount
63925,2019,WA,AU,CRUDE,MOTOR,6315.52
63912,2019,WA,AU,CRUDE,GASDI,2003.86
63147,2019,WA,AU,BUSIN,CONST,1800.86
63134,2019,WA,AU,BUSIN,BUSIN,1512.51
65184,2019,WA,AU,HEAVY,WOODW,1455.56
66332,2019,WA,AU,MOTO1,MOTO1,1392.50
64122,2019,WA,AU,FABRI,CONST,1392.04
65647,2019,WA,AU,KEROS,AIRTR,1307.52
65202,2019,WA,AU,HOTEL,BUSIN,1144.10
7512,2019,CN,AU,FABRI,CONST,1016.27
58984,2019,US,AU,FINAN,REALE,863.66
33777,2019,IE,AU,WHOLE,CONST,850.01
63919,2019,WA,AU,CRUDE,LIQUE,827.85
57972,2019,US,AU,BUSIN,CONST,768.28
66426,2019,WA,AU,MOTOR,CONST,734.15
70627,2019,WF,AU,CRUDE,MOTOR,697.61
73742,2019,WM,AU,CRUDE,MOTOR,690.96
67534,2019,WA,AU,PUBLI,PREC1,690.28
57961,2019,US,AU,BUSIN,BUSIN,645.26
68216,2019,WA,AU,RUBBE,CONST,644.74
69151,2019,WA,AU,VEGET,CONST,641.70
68800,2019,WA,AU,SUPPO,SUPPO,631.23
40034,2019,JP,AU,HEAVY,WOODW,622.58
58591,2019,US,AU,CRUDE,MOTOR,597.13
65313,2019,WA,AU,HOTEL,PUBLI,594.90
64718,2019,WA,AU,GASDI,BITUM,581.40
64372,2019,WA,AU,FINAN,REALE,579.54
9335,2019,CN,AU,RUBBE,CONST,566.60
63948,2019,WA,AU,CRUDE,WHOLE,555.25
66374,2019,WA,AU,MOTO1,SALEM,552.22
66470,2019,WA,AU,MOTOR,LANDT,533.39
64733,2019,WA,AU,GASDI,CONST,525.32
63792,2019,WA,AU,CONST,WASTE,514.87
8233,2019,CN,AU,KEROS,AIRTR,488.89
62035,2019,US,AU,TRANS,PUBLI,483.34
62901,2019,WA,AU,BASIC,CONST,438.76
8232,2019,CN,AU,HEAVY,WOODW,433.61
68682,2019,WA,AU,SUPPO,CONST,432.37
65693,2019,WA,AU,LANDT,CONST,412.90
68814,2019,WA,AU,SUPPO,WHOLE,409.73
63296,2019,WA,AU,CEMEN,CONST,404.98
68655,2019,WA,AU,SUPPO,AIRTR,388.13
40335,2019,JP,AU,MOTO1,MOTO1,369.53
63240,2019,WA,AU,BUSIN,PUBLI,368.35
63245,2019,WA,AU,BUSIN,REALE,355.17
68730,2019,WA,AU,SUPPO,LANDT,336.16
24782,2019,GB,AU,HOTEL,BUSIN,331.14
