trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
3281,2019,BR,BR,CONST,CONST,18909.66,934758344.251,721.0,721.0,788930.035,927029556.16,109357.404,33905.865,5910172.864,886421.923,136332.071,227171.342,48688.389,21878.16,831625.004,927029556.16,109357.404,324647.529,49432.847775
19152,2019,BR,BR,WHOLE,WHOLE,22696.45,641781881.518,721.0,721.0,918265.413,631650520.504,79103.978,35781.261,8067453.474,1030756.888,147057.429,305838.337,12847.529,26100.502,940427.91,631650520.504,79103.978,407659.704,28276.751717
13826,2019,BR,BR,POULT,MEAT1,14856.48,607857270.166,721.0,721.0,679385.759,602103726.085,54205.689,20979.258,4272055.24,726918.134,146487.435,205957.882,32553.084,15839.619,673038.767,602103726.085,54205.689,284292.787,40915.295559
3803,2019,BR,BR,CRUDE,GASDI,12817.45,517547054.163,721.0,721.0,962215.293,504795308.466,119235.846,19423.485,11015860.225,635010.849,249826.301,347483.909,107883.147,14135.665,591106.745,504795308.466,119235.846,510339.593,40378.316605
1645,2019,BR,BR,BUSIN,BUSIN,14416.36,474261783.305,721.0,721.0,606981.156,468370642.593,43255.475,26109.12,4506404.408,708390.553,98805.219,182890.706,38562.313,18268.622,670322.874,468370642.593,43255.475,137215.174,32897.470881
7528,2019,BR,BR,GASDI,LANDT,11134.95,439413128.746,721.0,721.0,427362.862,434648121.847,33811.344,16829.551,3737032.376,549970.765,66321.487,114507.132,25986.716,13057.082,514217.976,434648121.847,33811.344,121929.533,39462.514762
6066,2019,BR,BR,FINAN,FINAN,16008.46,408104342.606,721.0,721.0,660627.289,401594885.562,86141.995,25684.118,4957645.55,779358.091,129827.554,162743.893,43817.418,22209.293,728784.228,401594885.562,86141.995,257172.841,25493.041967
1659,2019,BR,BR,BUSIN,CONST,9531.97,402996621.405,721.0,721.0,375560.395,398915680.563,36965.758,16570.531,3183951.255,467892.902,63483.016,111975.83,8172.085,12181.177,432541.289,398915680.563,36965.758,203834.864,42278.418984
7583,2019,BR,BR,GASDI,RAILW,13017.05,382265849.377,721.0,721.0,476281.326,377289879.583,89765.444,23079.613,3761183.291,625660.12,74793.377,122191.272,24177.152,17215.054,583264.667,377289879.583,89765.444,213865.297,29366.549977
1019,2019,BR,BR,BEVER,HOTEL,9979.09,360887425.535,721.0,721.0,400469.137,356629152.239,33442.981,16699.583,3299735.839,507925.756,72952.965,118454.226,19215.615,12303.63,475566.613,356629152.239,33442.981,210669.551,36164.362235
13111,2019,BR,BR,PFERT,PFERT,9798.92,338259163.201,721.0,721.0,387289.814,334260216.601,55382.806,17774.946,3070163.037,468335.996,49742.611,136145.841,13711.773,12125.993,444789.395,334260216.601,55382.806,124992.547,34520.045393
698,2019,BR,BR,AUXIL,FINAN,8031.16,336273667.427,721.0,721.0,349384.817,333272989.475,41525.7,13131.9,2224457.736,372177.8,58390.303,97547.036,26202.084,11803.295,343779.814,333272989.475,41525.7,90781.709,41871.120414
10905,2019,BR,BR,MOTOR,GASDI,11004.4,328625522.481,721.0,721.0,426709.949,324274095.14,37961.722,17118.512,3324490.526,545146.632,53696.031,136862.268,19276.258,12055.914,506297.796,324274095.14,37961.722,133408.19,29863.102257
15080,2019,BR,BR,REALE,RETA1,7119.28,326916994.345,721.0,721.0,287559.752,323873239.157,25783.442,11694.756,2357372.81,361344.429,58378.476,70046.518,10857.165,10017.472,340409.115,323873239.157,25783.442,156092.505,45919.951785
19010,2019,BR,BR,WHOLE,CONST,8680.27,325770259.725,721.0,721.0,353763.977,322301196.957,34385.86,13488.126,2644415.825,423008.981,52471.936,118709.04,10370.248,11282.751,390063.474,322301196.957,34385.86,184750.148,37529.968506
1761,2019,BR,BR,BUSIN,PUBLI,8841.99,323427981.385,721.0,721.0,365150.841,319565628.004,36923.488,12447.774,3029123.443,418707.835,56630.02,112719.769,19237.11,11009.619,384327.014,319565628.004,36923.488,67863.505,36578.64139
5871,2019,BR,BR,FABRI,CONST,8363.57,297250217.65,721.0,721.0,325380.779,293895892.904,21733.649,12761.097,2590888.817,403560.405,55729.743,87550.356,12555.101,10912.76,377754.936,293895892.904,21733.649,139321.224,35541.068904
10792,2019,BR,BR,MOTO1,MOTO1,8497.43,283342913.751,721.0,721.0,298226.117,280116995.335,25373.128,15993.623,2482262.435,404063.112,63072.775,58599.945,7891.973,9160.421,369551.512,280116995.335,25373.128,141085.175,33344.542262
8994,2019,BR,BR,LANDT,CONST,5801.09,260754793.149,721.0,721.0,235895.907,258272487.354,21945.472,8981.675,1930668.633,284814.108,49689.268,54981.911,13768.334,7993.228,266324.263,258272487.354,21945.472,87251.165,44949.275593
1847,2019,BR,BR,CATTL,MEATC,11298.63,260207595.977,721.0,721.0,446647.808,255628888.343,59805.398,18317.867,3502436.478,551500.081,87914.928,98894.315,37180.238,11833.962,513968.743,255628888.343,59805.398,125833.789,23030.013017
1679,2019,BR,BR,BUSIN,FINAN,10012.76,259545500.073,721.0,721.0,407917.346,255798100.576,29430.849,16407.136,2792964.255,500679.91,80920.58,117050.094,13483.453,14373.874,465775.345,255798100.576,29430.849,77039.969,25921.474206
3815,2019,BR,BR,CRUDE,MOTOR,9107.92,242859758.486,721.0,721.0,687067.525,234001417.561,75119.356,14882.384,7630658.961,450612.7,172855.482,250475.576,72388.866,11777.839,419732.423,234001417.561,75119.356,292806.291,26664.678487
13733,2019,BR,BR,POSTT,POSTT,6332.53,231213123.272,721.0,721.0,265732.895,228529451.013,30108.766,10261.992,2046035.03,331533.576,49882.681,76637.08,9281.467,8267.27,310039.216,228529451.013,30108.766,77005.162,36511.966508
7860,2019,BR,BR,HEALT,HEALT,5864.93,231155423.642,721.0,721.0,247005.108,228763873.16,11184.46,10143.096,1836287.149,286930.67,55646.644,58363.49,6443.493,7754.892,260048.539,228763873.16,11184.46,95931.464,39413.159857
10933,2019,BR,BR,MOTOR,MOTOR,7819.6,230960688.312,721.0,721.0,311418.485,227735749.982,30045.215,12182.692,2514617.664,356674.274,54076.267,83701.106,12007.071,9941.669,326666.885,227735749.982,30045.215,128190.439,29536.125673
14873,2019,BR,BR,RAWMI,DAIRY,7076.63,230705670.526,721.0,721.0,277004.461,228011245.652,32699.207,9831.304,2024817.082,350072.82,47494.644,59853.192,23362.123,9222.13,330585.934,228011245.652,32699.207,77979.418,32601.064423
6152,2019,BR,BR,FINAN,REALE,5362.26,227171471.237,721.0,721.0,217193.26,225151308.269,24383.2,9098.43,1503686.672,265801.407,41395.371,59188.047,10631.556,6611.897,249195.224,225151308.269,24383.2,80331.534,42364.87437
19123,2019,BR,BR,WHOLE,RETA1,10114.57,225404675.877,721.0,721.0,373486.537,221352759.928,32559.226,16901.013,3185546.416,443422.756,57870.993,84791.207,33530.39,11599.885,414531.278,221352759.928,32559.226,192897.028,22285.146662
11798,2019,BR,BR,NONME,CONST,7021.34,220555970.319,721.0,721.0,305902.032,217616986.801,23361.037,12045.322,2222999.229,374675.898,59914.144,91655.117,10255.6,9401.708,351028.243,217616986.801,23361.037,82640.869,31412.233323
18471,2019,BR,BR,VEGET,FOOD5,6537.73,212857704.66,721.0,721.0,248786.782,210171495.677,25393.209,12438.03,2062354.084,337236.877,20119.447,92859.238,4868.05,7955.463,313939.896,210171495.677,25393.209,93087.953,32558.350476
859,2019,BR,BR,BASIC,CONST,5931.06,204088762.86,721.0,721.0,242451.94,197592525.432,44137.735,10335.521,5905468.768,293843.464,46142.118,66152.89,5475.41,5783.67,276734.512,197592525.432,44137.735,395147.812,34410.166625
1772,2019,BR,BR,BUSIN,RETA1,7571.53,198551878.208,721.0,721.0,319576.515,195607080.617,35283.548,12170.776,2202933.608,374833.145,52652.107,103077.904,8784.276,10570.993,351798.964,195607080.617,35283.548,102272.037,26223.481675
13587,2019,BR,BR,PLAST,RUBBE,6222.95,185761581.611,721.0,721.0,268596.741,183181532.65,25053.735,10018.916,1974423.93,301955.639,57066.31,79989.862,7800.315,8097.385,282385.134,183181532.65,25053.735,114658.08,29851.048395
19342,2019,BR,BR,WOODW,CONST,4564.34,174437774.052,721.0,721.0,175484.049,172627268.922,6919.225,8438.975,1401857.656,217805.226,40155.909,39184.963,8929.142,5690.781,203254.021,172627268.922,6919.225,88627.298,38217.524122
17445,2019,BR,BR,SUPPO,SUPPO,4206.45,167775306.364,721.0,721.0,167349.014,166186641.573,18267.364,6971.377,1181184.805,214892.231,31161.301,45326.687,5027.913,5691.342,201979.943,166186641.573,18267.364,55465.429,39885.249168
13104,2019,BR,BR,PFERT,OILSE,4699.0,162248413.584,721.0,721.0,190255.325,160227121.068,27750.187,9253.605,1576448.324,217585.076,38804.133,57702.81,1776.109,6059.969,203509.307,160227121.068,27750.187,64709.11,34528.285504
16099,2019,BR,BR,RUBBE,CONST,4997.24,153515491.803,721.0,721.0,193935.068,151654563.044,19269.37,7908.164,1394247.59,245568.567,40584.871,47571.001,7355.761,6722.479,229187.497,151654563.044,19269.37,81723.556,30720.055831
1696,2019,BR,BR,BUSIN,HEALT,6352.0,152689708.717,721.0,721.0,252998.336,149987005.589,27639.762,9928.118,2114004.089,298132.822,35880.569,82859.961,5908.695,7363.39,276336.657,149987005.589,27639.762,130522.595,24038.05238
8149,2019,BR,BR,HOTEL,HEALT,4096.42,150977461.497,721.0,721.0,164239.32,149123331.463,15669.58,6549.313,1475413.122,192258.699,31758.606,47204.042,4010.869,5068.587,179417.063,149123331.463,15669.58,75578.15,36855.952636
