trade_id,year,region1,region2,industry1,industry2,amount
56687,2019,US,BR,GASDI,LANDT,3179.42
72488,2019,WM,BR,PFERT,PFERT,2588.99
69154,2019,WL,BR,MOTO1,MOTO1,2493.26
69324,2019,WL,BR,NATUR,ELEC2,2283.53
57184,2019,US,BR,KEROS,AIRTR,1769.39
55364,2019,US,BR,BITUM,BASIC,1643.42
70885,2019,WL,BR,WHEAT,FOOD5,1450.75
58715,2019,US,BR,PRIVA,CRUDE,1281.57
56733,2019,US,BR,GASDI,RAILW,1087.51
66784,2019,WL,BR,COPP1,COPP1,1010.77
68051,2019,WL,BR,FISHF,FURNI,1000.28
1612,2019,AU,BR,BITUM,BASIC,975.75
8633,2019,CN,BR,TEXTI,TEXTI,937.11
50633,2019,RU,BR,PFERT,PFERT,869.78
56369,2019,US,BR,FINAN,FINAN,844.38
55422,2019,US,BR,BUSIN,BUSIN,829.41
71434,2019,WM,BR,CRUDE,GASDI,825.72
5429,2019,CA,BR,PFERT,PFERT,796.95
8738,2019,CN,BR,TRANS,TRANS,779.77
69322,2019,WL,BR,NATUR,CRUDE,763.52
58267,2019,US,BR,PFERT,PFERT,754.92
65705,2019,WF,BR,PFERT,PFERT,730.90
65077,2019,WF,BR,CRUDE,GASDI,710.85
66322,2019,WL,BR,BEVER,HOTEL,686.66
66379,2019,WL,BR,BITUM,BASIC,672.81
56072,2019,US,BR,CRUDE,GASDI,667.02
70802,2019,WL,BR,VEGET,BEVER,639.46
8718,2019,CN,BR,TRANS,PUBLI,617.48
15952,2019,ES,BR,HOTEL,PUBLI,610.94
67124,2019,WL,BR,ELEC2,BEVER,604.68
58442,2019,US,BR,PLAST,RUBBE,602.96
69783,2019,WL,BR,PLAST,RUBBE,602.87
55524,2019,US,BR,BUSIN,PUBLI,598.65
72485,2019,WM,BR,PFERT,OILSE,592.39
8158,2019,CN,BR,PFERT,PFERT,592.15
71445,2019,WM,BR,CRUDE,MOTOR,586.75
55340,2019,US,BR,BEVER,HOTEL,577.91
60258,2019,US,BR,TRANS,TRANS,566.25
20798,2019,FR,BR,HOTEL,PUBLI,516.94
6957,2019,CN,BR,ELECT,CONST,516.72
65088,2019,WF,BR,CRUDE,MOTOR,505.12
66545,2019,WL,BR,CEREA,FOOD5,497.06
56083,2019,US,BR,CRUDE,MOTOR,473.98
60238,2019,US,BR,TRANS,PUBLI,448.40
8639,2019,CN,BR,TEXTI,WEARI,434.46
72509,2019,WM,BR,PFERT,VEGET,427.50
15902,2019,ES,BR,HOTEL,HEALT,426.60
68684,2019,WL,BR,KEROS,AIRTR,403.57
11469,2019,DE,BR,MOTO1,MOTO1,371.71
55415,2019,US,BR,BUSIN,BEVER,370.07
58407,2019,US,BR,PLAST,LIQUI,369.06
69748,2019,WL,BR,PLAST,LIQUI,369.01
20748,2019,FR,BR,HOTEL,HEALT,360.96
6963,2019,CN,BR,ELECT,DIST1,357.64
64555,2019,WE,BR,PFERT,PFERT,341.28
38035,2019,KR,BR,MOTO1,MOTO1,330.48
59060,2019,US,BR,REALE,BEVER,329.78
68410,2019,WL,BR,HEAVY,BASIC,324.43
66164,2019,WL,BR,ALUM1,MOTO1,323.01
7095,2019,CN,BR,FABRI,CONST,320.14
67600,2019,WL,BR,ELEC6,DISTR,319.93
56661,2019,US,BR,GASDI,CRUDE,311.02
22535,2019,FR,BR,TRANS,TRANS,307.09
70589,2019,WL,BR,TEXTI,TEXTI,305.76
70144,2019,WL,BR,RUBBE,CONST,297.54
70189,2019,WL,BR,RUBBE,MOTO1,295.51
70228,2019,WL,BR,RUBBE,RUBBE,287.40
41545,2019,NL,BR,BUSIN,BUSIN,283.46
55451,2019,US,BR,BUSIN,FINAN,281.69
8427,2019,CN,BR,RUBBE,CONST,281.31
7078,2019,CN,BR,FABRI,BEVER,281.06
8472,2019,CN,BR,RUBBE,MOTO1,279.40
8511,2019,CN,BR,RUBBE,RUBBE,271.73
57594,2019,US,BR,MOTO1,MOTO1,271.60
12886,2019,DE,BR,SEACO,SEACO,270.38
16053,2019,ES,BR,KEROS,AIRTR,269.76
7709,2019,CN,BR,MOTO1,MOTO1,268.20
58725,2019,US,BR,PRIVA,IRONO,267.89
6752,2019,CN,BR,CHEM1,HEALT,267.77
11344,2019,DE,BR,MACHI,MACHI,262.65
40713,2019,MX,BR,MOTO1,MOTO1,260.57
55667,2019,US,BR,CHEM1,HEALT,258.42
69678,2019,WL,BR,PFERT,PFERT,258.37
8382,2019,CN,BR,RADIO,OFFIC,255.09
68584,2019,WL,BR,HOTEL,PUBLI,255.06
6501,2019,CN,BR,ALUM1,MOTO1,254.76
56444,2019,US,BR,FINAN,REALE,251.53
23789,2019,GB,BR,HOTEL,PUBLI,250.91
55535,2019,US,BR,BUSIN,RETA1,247.09
69275,2019,WL,BR,NAPHT,PLAST,245.42
55443,2019,US,BR,BUSIN,EDUCA,244.19
47717,2019,PT,BR,HOTEL,PUBLI,244.18
22516,2019,FR,BR,TRANS,PUBLI,243.17
69143,2019,WL,BR,MOTO1,LANDT,241.20
69177,2019,WL,BR,MOTO1,SALEM,237.68
72444,2019,WM,BR,PFERT,CEREA,226.04
7007,2019,CN,BR,ELECT,MOTO1,225.75
8387,2019,CN,BR,RADIO,RADIO,224.15
55439,2019,US,BR,BUSIN,CRUDE,223.96
58373,2019,US,BR,PLAST,BIOGA,223.35
69714,2019,WL,BR,PLAST,BIOGA,223.32
66889,2019,WL,BR,DAIRY,BEVER,222.85
36256,2019,JP,BR,MOTO1,MOTO1,222.09
56657,2019,US,BR,GASDI,CONST,220.48
62342,2019,WA,BR,MOTO1,MOTO1,214.27
41638,2019,NL,BR,BUSIN,PUBLI,204.60
6551,2019,CN,BR,BASIC,CONST,203.93
63866,2019,WA,BR,TRANS,TRANS,201.56
50630,2019,RU,BR,PFERT,OILSE,199.02
32934,2019,IT,BR,HOTEL,PUBLI,198.09
7018,2019,CN,BR,ELECT,OFFIC,196.47
6580,2019,CN,BR,BASIC,MOTO1,194.72
54945,2019,US,BR,AIRTR,EDUCA,189.15
42165,2019,NL,BR,FOOD2,SANDC,189.15
55518,2019,US,BR,BUSIN,POSTT,189.08
59551,2019,US,BR,RUBBE,CONST,185.75
59595,2019,US,BR,RUBBE,MOTO1,184.48
55036,2019,US,BR,AIRTR,SUPPO,182.97
5426,2019,CA,BR,PFERT,OILSE,182.35
16779,2019,ES,BR,PRIVA,CRUDE,181.87
59634,2019,US,BR,RUBBE,RUBBE,179.42
68536,2019,WL,BR,HOTEL,HEALT,178.10
23741,2019,GB,BR,HOTEL,HEALT,175.21
20114,2019,FR,BR,CONST,LIQUI,174.90
14301,2019,DK,BR,SEACO,SEACO,174.02
58264,2019,US,BR,PFERT,OILSE,172.73
57644,2019,US,BR,MOTOR,GASDI,171.35
7629,2019,CN,BR,MEDIC,HEALT,171.19
11378,2019,DE,BR,MACHI,PUBLI,171.17
47670,2019,PT,BR,HOTEL,HEALT,170.50
63403,2019,WA,BR,RUBBE,CONST,167.28
65702,2019,WF,BR,PFERT,OILSE,167.24
10447,2019,DE,BR,COMPU,COMPU,167.20
57696,2019,US,BR,NATU1,GASDI,166.69
63447,2019,WA,BR,RUBBE,MOTO1,166.14
6969,2019,CN,BR,ELECT,ELEC4,165.83
55560,2019,US,BR,BUSIN,WHOLE,162.89
6819,2019,CN,BR,CHEM1,RUBBE,162.85
7952,2019,CN,BR,OFFIC,OFFIC,162.18
63486,2019,WA,BR,RUBBE,RUBBE,161.58
6725,2019,CN,BR,CHEM1,CONST,159.65
63848,2019,WA,BR,TRANS,PUBLI,159.61
62718,2019,WA,BR,PFERT,PFERT,158.79
55734,2019,US,BR,CHEM1,RUBBE,157.17
58387,2019,US,BR,PLAST,CRUDE,156.63
69728,2019,WL,BR,PLAST,CRUDE,156.61
56341,2019,US,BR,FINAN,BUSIN,156.43
55435,2019,US,BR,BUSIN,CONST,155.36
55640,2019,US,BR,CHEM1,CONST,154.08
11360,2019,DE,BR,MACHI,OFFIC,152.79
6845,2019,CN,BR,COKEO,BASIC,151.52
56229,2019,US,BR,FABRI,CONST,150.60
6999,2019,CN,BR,ELECT,MACHI,148.40
6574,2019,CN,BR,BASIC,MACHI,146.22
6986,2019,CN,BR,ELECT,HEALT,145.14
50654,2019,RU,BR,PFERT,VEGET,143.62
62570,2019,WA,BR,OFFIC,OFFIC,143.47
11307,2019,DE,BR,MACHI,CONST,142.63
5894,2019,CH,BR,FABRI,CONST,141.81
67145,2019,WL,BR,ELEC2,DISTR,141.80
70595,2019,WL,BR,TEXTI,WEARI,141.76
56450,2019,US,BR,FINAN,RETA1,141.42
56730,2019,US,BR,GASDI,PUBLI,140.10
55017,2019,US,BR,AIRTR,PUBLI,139.07
55465,2019,US,BR,BUSIN,HEALT,138.56
32887,2019,IT,BR,HOTEL,HEALT,138.32
7039,2019,CN,BR,ELECT,RADIO,137.08
55512,2019,US,BR,BUSIN,PFERT,136.82
72467,2019,WM,BR,PFERT,LIQUI,136.53
8155,2019,CN,BR,PFERT,OILSE,135.49
6836,2019,CN,BR,CHEM1,VEGET,135.04
22209,2019,FR,BR,SEACO,SEACO,134.86
56215,2019,US,BR,FABRI,BEVER,132.21
5449,2019,CA,BR,PFERT,VEGET,131.59
55751,2019,US,BR,CHEM1,VEGET,130.33
58372,2019,US,BR,PLAST,BIODI,130.29
69713,2019,WL,BR,PLAST,BIODI,130.28
55491,2019,US,BR,BUSIN,MOTO1,129.92
56353,2019,US,BR,FINAN,CONST,128.70
71438,2019,WM,BR,CRUDE,LIQUE,128.18
41540,2019,NL,BR,BUSIN,BEVER,126.48
7543,2019,CN,BR,MACHI,MACHI,126.23
71435,2019,WM,BR,CRUDE,HEAVY,125.19
6750,2019,CN,BR,CHEM1,GASDI,125.08
72008,2019,WM,BR,KEROS,AIRTR,124.79
58404,2019,US,BR,PLAST,LEATH,124.79
69745,2019,WL,BR,PLAST,LEATH,124.77
29312,2019,IE,BR,REALE,BEVER,124.68
58287,2019,US,BR,PFERT,VEGET,124.65
5880,2019,CH,BR,FABRI,BEVER,124.50
33355,2019,IT,BR,MOTO1,MOTO1,124.22
42974,2019,NL,BR,KEROS,AIRTR,123.85
7031,2019,CN,BR,ELECT,POSTT,123.17
