trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
7338,2019,CA,CA,HEALT,HEALT,20551.29,1015908790.144,721.0,721.0,857420.49,1007509032.273,118851.197,36849.381,6423260.73,963376.074,148167.653,246893.076,52915.24,23777.498,903821.995,1007509032.273,118851.197,352831.596,49432.847775
7325,2019,CA,CA,HEALT,FINAN,19306.77,789942200.839,721.0,721.0,882897.2,782465170.462,70443.118,27263.639,5551758.421,944667.998,190368.055,267653.001,42304.43,20584.41,874648.952,782465170.462,70443.118,369453.293,40915.295559
7378,2019,CA,CA,HEALT,PUBLI,17684.84,703220417.512,721.0,721.0,678954.788,696489883.945,82257.659,26799.498,5066367.219,876154.403,114899.041,159813.31,49617.154,19503.643,815577.842,696489883.945,82257.659,246929.057,39764.024866
5464,2019,CA,CA,FINAN,FINAN,23241.02,657180552.201,721.0,721.0,940297.925,646806103.159,81001.969,36639.783,8261020.888,1055488.477,150585.869,313176.506,13155.788,26726.748,962992.18,646806103.159,81001.969,417440.936,28276.751717
5544,2019,CA,CA,FINAN,PUBLI,16300.58,643261878.874,721.0,721.0,625621.356,636286331.059,49496.811,24636.972,5470684.215,805108.461,97088.779,167628.293,38042.25,19114.411,752769.546,636286331.059,49496.811,178494.031,39462.514762
17315,2019,CA,CA,WHOLE,RETA1,18810.25,618809651.633,721.0,721.0,791979.896,611122979.714,56439.094,34066.788,5879888.787,924297.354,128919.566,238633.046,50315.527,23836.624,874627.218,611122979.714,56439.094,179036.298,32897.470881
2758,2019,CA,CA,CONST,CONST,18154.32,533129745.576,721.0,721.0,664249.089,526189974.434,125192.005,32188.143,5245560.634,872581.271,104311.107,170414.914,33718.835,24009.096,813454.156,526189974.434,125192.005,298268.735,29366.549977
7342,2019,CA,CA,HEALT,INSUR,20009.76,510109651.428,721.0,721.0,825750.478,501973161.524,107673.109,32103.84,6196804.541,974157.936,162277.833,203421.58,54769.542,27760.485,910943.182,501973161.524,107673.109,321452.959,25493.041967
1495,2019,CA,CA,BUSIN,PUBLI,14427.02,430835573.529,721.0,721.0,559426.5,425130752.796,49768.685,22442.761,4358483.09,714699.698,70396.724,179429.563,25271.614,15805.579,663767.986,425130752.796,49768.685,174901.188,29863.102257
17200,2019,CA,CA,WHOLE,CONST,11453.32,414202013.273,721.0,721.0,459631.206,409314657.14,38383.577,19166.644,3787212.109,582962.597,83730.446,135953.694,22054.374,14121.268,545822.976,409314657.14,38383.577,241792.165,36164.362235
