trade_id,factor_id,level
53239,414,1086741872624
53240,414,289875481937
53241,414,910614298
53242,414,176260626898
53243,414,156535193993
53244,414,9278744889
53245,414,3340905931007
53246,414,1446066360968
53247,414,344969832470
53248,414,5741270965
53249,414,3561695615335
53250,414,12191427004299
53251,414,1495176722
53252,414,462304398435
53253,414,19891987557502
53254,414,2162385504015
53255,414,10104937619792
53256,414,12593065971
53257,414,7892756219
53258,414,36094688511
53259,414,1430306163834
53260,414,398753475167
53261,414,1082485234835
53262,414,1105469838341
53263,414,2941050952
53264,414,171978559640
53265,414,1260263706564
53266,414,1560095248234
53267,414,752397237211
53268,414,837756612
53269,414,34710412750
53270,414,60692974494673
53271,414,4265850420
53272,414,2008962270
53273,414,883132509
53274,414,713216170508
53275,414,1487174853020
53276,414,356432976471
53277,414,439869013847
53278,414,1287453872
53279,414,2509654375
53280,414,190423344412
53281,414,74556347429
53282,414,7938657042081
53283,414,27214433436
53284,414,32555700643
53285,414,46106042036200
53286,414,1628539508500
53287,414,11607149358
53288,414,1052006950
53289,414,1553812946641
53290,414,14025443226480
53291,414,2895528507
53292,414,1317702195974
53293,414,117197327732
53294,414,401476901947
53295,414,38553284185
53296,414,3397642862
53297,414,6500643373
53298,414,2103212650
53299,414,509907245734
53300,414,104847979979
53301,414,1035787136
53302,414,26380314958
53303,414,24354385976
53304,414,706510144534
53305,414,385957844204
53306,414,27002958833
53307,414,262548974827
53308,414,419844122292
53309,414,24948669688
53310,414,9468685448252
53311,414,257586790711
53312,414,18846505860
53313,414,8947853335
53314,414,28879742939
53315,414,121453120752
53316,414,505812777781
53317,414,23039948649
53318,414,3231609606
53319,414,35995703425
53320,414,62598125995
53321,414,91108858351
53322,414,629153554959
53323,414,2099929026
53324,414,19779818583092
53325,414,4691910254
53326,414,36536800143
53327,414,69638043987
53328,414,21540973416781
53329,414,7348036139029
53330,414,1416678448
53331,414,50046089578
53332,414,1665067647971
53333,414,8819520306155
53334,414,60922843483
53335,414,305768655430
53336,414,133154023899
53337,414,3013301643337
53338,414,7470819189403
53339,414,1771330006469
53340,414,31199131169238
53341,414,1096342918071
53342,414,264696104903
53343,414,368081185738
53344,414,115021758455
53345,414,4393484457
53346,414,28995571847
53347,414,115537700161102
53348,414,4497828744
53349,414,858799595520
53350,414,24257301051
53351,414,1395677547717
53352,414,9535631309
53353,414,23070282951
53354,414,104573150265
53355,414,357137413758
53356,414,6930916863597
53357,414,3089772665164
53358,414,69517566763
53359,414,33342683417
53360,414,4408805961
53361,414,26026625381
53362,414,3550554650942
53363,414,12245798357
53364,414,30968157002
53365,414,5126165246048
1800,434,34124
1801,434,193728
1802,434,140753
1803,434,32929
1804,434,75424
1805,434,33266
1806,434,32823
1807,434,45805
1808,434,35548
3534,434,7105153
3535,434,41865
3536,434,35931
3537,434,2447439
3538,434,40555
3539,434,1094729
3540,434,133281
3541,434,2740720
3542,434,48804
3543,434,37688
3544,434,41503
3545,434,18307056
3546,434,4705806
3547,434,198527
3548,434,9500023
3549,434,11522363
3550,434,623525
3551,434,8482256
3552,434,1872991
3553,434,512353
