trade_id,year,region1,region2,industry1,industry2,amount
57646,2019,US,CA,MOTO1,MOTO1,14390.16
54753,2019,US,CA,CRUDE,MOTOR,6596.36
54404,2019,US,CA,CHEM1,WOODW,5330.83
58728,2019,US,CA,PLAST,CHEM1,5171.96
55670,2019,US,CA,FABRI,CONST,4749.40
59751,2019,US,CA,RUBBE,CONST,4464.70
54741,2019,US,CA,CRUDE,GASDI,4181.68
53299,2019,US,CA,ALUM1,ALUM1,3356.95
54383,2019,US,CA,CHEM1,RUBBE,2865.55
60586,2019,US,CA,VEGET,FOOD5,2855.25
53899,2019,US,CA,BUSIN,BUSIN,2501.00
55914,2019,US,CA,FINAN,REALE,2056.36
53550,2019,US,CA,BASIC,BASIC,1918.24
59853,2019,US,CA,RUBBE,RUBBE,1872.94
53579,2019,US,CA,BASIC,FABRI,1708.89
54648,2019,US,CA,COPP1,COPP1,1577.39
56941,2019,US,CA,KEROS,LANDT,1562.39
56132,2019,US,CA,FOOD5,HOTEL,1487.28
56405,2019,US,CA,GASDI,CRUDE,1370.10
56530,2019,US,CA,GLASS,CONST,1363.08
58663,2019,US,CA,PFERT,WHEAT,1314.43
53911,2019,US,CA,BUSIN,CONST,1294.04
60618,2019,US,CA,VEGET,VEGET,1264.15
56123,2019,US,CA,FOOD5,FOOD5,1218.41
54747,2019,US,CA,CRUDE,KEROS,1147.56
7359,2019,CN,CA,FABRI,CONST,1130.34
71052,2019,WM,CA,CRUDE,MOTOR,1113.81
40420,2019,MX,CA,MOTO1,MOTO1,1094.31
54360,2019,US,CA,CHEM1,PFERT,1055.20
56479,2019,US,CA,GASDI,RAILW,1012.04
5966,2019,CH,CA,CHEM1,WOODW,989.64
60566,2019,US,CA,TRANS,TRANS,959.17
60899,2019,US,CA,WOODW,CONST,953.83
55688,2019,US,CA,FABRI,FABRI,949.64
59809,2019,US,CA,RUBBE,MOTO1,885.17
54002,2019,US,CA,BUSIN,PUBLI,866.67
8830,2019,CN,CA,RUBBE,CONST,860.07
56511,2019,US,CA,GASDI,WOODW,810.30
58993,2019,US,CA,PREC1,FURNI,792.85
