trade_id,factor_id,level
5224,8,2478091243
5225,8,2814357387
5226,8,2891532512
5227,8,690326767728
5228,8,26980796435
5229,8,102831028261
5230,8,1199383969
5231,8,379619857882
5232,8,5424821098
5233,8,14615346284
5234,8,4040893274
5235,8,541271316
5236,8,6248347185
5237,8,1863191723
5368,8,3147196289
5369,8,702037089
5370,8,1393564700
5371,8,14835012491
5372,8,1544386944
5373,8,37511348963
5374,8,7084551553
5375,8,16135898648
5376,8,846442386
5377,8,12325439054
5378,8,676388978
5379,8,8008444707
5380,8,37562779164
5381,8,6102330139
5382,8,16618195199
5383,8,1264336430
5384,8,9001210710
5385,8,791018126
5386,8,3018286657
5387,8,10417808470
5388,8,10000861719
5389,8,891467370
5390,8,7041661046
5391,8,881327227
5392,8,1102908427
5393,8,977339137
5394,8,1745988169
5395,8,4285624165
5396,8,9072051236
5397,8,1021700624
5398,8,1056254030
5399,8,983140226
5400,8,2596513379
5401,8,834660567
5402,8,100002097450
5403,8,1781921134
5404,8,741567351
5405,8,30637742013
5406,8,1924542238
5407,8,4046977038
5408,8,10933580267
5409,8,13473376920
5410,8,7679911178
5411,8,922540110
5412,8,2887817009
5413,8,4256226814
5414,8,1318235162
5415,8,1274332531
5416,8,3798964347
5417,8,27830021911
5418,8,31647406073
6806,414,245657652073
6806,412,9391868883
6807,414,1479444953172
6807,412,56561450063
6808,414,20545926822
6808,412,785502300
6809,414,24136776135
6809,412,922785978
6810,414,256988946955779
6810,412,9825081669125
6811,414,79516002721
6811,412,3040018763
6812,414,16441169280
6812,412,628571123
6813,414,2666383698400
6813,412,101939939084
6814,414,50999041890
6814,412,1949771605
6815,414,53218321273
6815,412,2034618060
6816,414,49714072375
6816,412,1900645249
6817,414,4717312800420
6817,412,180350104827
6818,414,371687844308
6818,412,14210196466
6819,414,19576226160
6819,412,748429156
6820,414,411121585761
6820,412,15717808894
6821,414,1190295600307
6821,412,45506826741
6822,414,98806701327
6822,412,3777531764
6823,414,2686222415096
6823,412,102698403657
6824,414,38805287623265
6824,412,1483585674049
6825,414,46338835408
6825,412,1771604762
6826,414,43026579693
6826,412,1644972145
6827,414,17611764228
6827,412,673324763
6828,414,9705017959418
6828,412,371037724311
6829,414,228942520221996
6829,412,8752823751223
6830,414,49912860061
6830,412,1908245208
6831,414,239620285262
6831,412,9161051089
6832,414,20485611834
6832,412,783196366
6833,414,778087852122
6833,412,29747492191
6834,414,4879994637816
6834,412,186569681029
6835,414,24672687217544
6835,412,943274680801
6836,414,102554913263
6836,412,3920831656
6837,414,183057248565
6837,412,6998559427
6838,414,106187151804
6838,412,4059697707
6839,414,1160564195337
6839,412,44370149520
6840,414,117435537393
6840,412,4489740743
6841,414,22649303777
6841,412,865917628
6842,414,53932459734
6842,412,2061920669
6843,414,657206402397
6843,412,25126008933
6844,414,32235130287
6844,412,1232398480
6845,414,3031569638101
6845,412,115901557763
6846,414,2812590855044
6846,412,107529662968
6847,414,96681939533006
6847,412,3696298860685
6848,414,2514524247266
6848,412,96134119311
6849,414,104392258803257
6849,412,3991076194195
6850,414,14798271927
6850,412,565760637
6851,414,1085849317121
6851,412,41513685112
6852,414,23653074505
6852,412,904293323
6853,414,2868711936371
6853,412,109675257998
6854,414,43432402737
6854,412,1660487383
6855,414,4880339589337
6855,412,186582869054
6856,414,93097711442
6856,412,3559268322
6857,414,292029667701
6857,412,11164742176
6858,414,46016379473
6858,412,1759276777
6859,414,167809994785
6859,412,6415633525
6860,414,891226976359
6860,412,34072974469
6861,414,104545360759
6861,412,3996929517
6862,414,644102934213
6862,412,24625043244
6863,414,27228782742
6863,412,1040998134
6864,414,51032743842
6864,412,1951060082
6865,414,588062255421
6865,412,22482522126
6866,414,20379999284
6866,412,779158636
6867,414,656079826614
6867,412,25082938213
6868,414,95293334719
6868,412,3643210368
6869,414,163954782041
6869,412,6268242828
6870,414,166077364677
6870,412,6349392418
6871,414,1067994922697
6871,412,40831084224
6872,414,1256550129137
6872,412,48039839014
6873,414,52898332780
6873,412,2022384409
6874,414,498535305063
6874,412,19059769477
6875,414,78346875548
6875,412,2995321238
6876,414,73622612867
6876,412,2814705429
6877,414,144314297664
6877,412,5517356981
6878,414,5743161645304
6878,412,219569879843
6879,414,818749325434
6879,412,31302042692
6880,414,53423440822
6880,412,2042460095
6881,414,5563081717524
6881,412,212685147957
6882,414,1263546185368
6882,412,48307308976
6883,414,176306280792
6883,412,6740459573
6884,414,15383239153
6884,412,588124831
6885,414,267991185017
6885,412,10245714108
6886,414,926864414846
6886,412,35435448411
6887,414,15499410497
6887,412,592566240
6888,414,114299941052
6888,412,4369862085
6889,414,22633853990773
6889,412,865326958924
6890,414,61815461991
6890,412,2363299938
6891,414,20540338375
6891,412,785288645
6892,414,31874515732
6892,412,1218611633
6893,414,54514234224
6893,412,2084162800
6894,414,7447538433043
6894,412,284730818992
6895,414,24324830586313
6895,412,929975588169
6915,414,20251803113
6915,414,9223075906
6915,414,3915162842
6916,414,236105622275
6916,414,107527219377
6916,414,45644921296
6917,414,116338542215
6917,414,52982897358
6917,414,22491051047
6918,414,129967179460
6918,414,59189651152
6918,414,25125795906
6919,414,136883924995
6919,414,62339675313
6919,414,26462969932
6920,414,49033739930
6920,414,22330945191
6920,414,9479406625
6921,414,241745001692
6921,414,110095505476
6921,414,46735149589
6922,414,22527071217
6922,414,10259278476
6922,414,4355027139
6923,414,8096037319
6923,414,3687097209
6923,414,1565159621
6924,414,7436902531208
6924,414,3386914052497
6924,414,1437732941086
6925,414,2255295221478
6925,414,1027106519966
6925,414,436003056136
6926,414,17098757476
6926,414,7787115904
6926,414,3305602940
6927,414,6239983181
6927,414,2841813058
6927,414,1206339512
6928,414,6508570051
6928,414,2964132886
6928,414,1258263843
6929,414,7206462253
6929,414,3281966944
6929,414,1393183268
6930,414,8447941040
6930,414,3847361197
6930,414,1633191112
6931,414,178348417106
6931,414,81223433762
6931,414,34479058074
6932,414,33982848894
6932,414,15476468594
6932,414,6569705745
6933,414,9628915901
6933,414,4385200752
6933,414,1861502086
6934,414,1224650210085
6934,414,557730182495
6934,414,236754474186
6935,414,83643487633980
6935,414,38092916033063
6935,414,16170307056476
6936,414,36165383791
6936,414,16470438608
6936,414,6991642473
6937,414,11787655062572
6937,414,5368333712843
6937,414,2278838523230
6938,414,76254113337
6938,414,34727647288
6938,414,14741762471
6939,414,22011344986
6939,414,10024406443
6939,414,4255324798
6940,414,370288688183
6940,414,168636869480
6940,414,71585749911
6941,414,8310266798
6941,414,3784661595
6941,414,1606575355
6942,414,13238568892
6942,414,6029108870
6942,414,2559335222
6943,414,19833364287
6943,414,9032510502
6943,414,3834268507
6944,414,67069358471
6944,414,30544726349
6944,414,12966127444
6945,414,93861811933
6945,414,42746545150
6945,414,18145756027
6946,414,464128384922
6946,414,211373342928
6946,414,89727230536
6947,414,1452779707
6948,414,592721180104
6949,414,422474904645
6950,414,16018612606
6951,414,164131290783
6952,414,424285194172
6953,414,1291929289
6954,414,61028264686
6955,414,2244841701
6956,414,8726181163
6957,414,5971980027
6958,414,31192552680665
6959,414,4089635147
6960,414,11247117740
6961,414,18574139819
6962,414,15453299719
6963,414,4136732688
6964,414,3948321481
6965,414,1622370210
6966,414,151654643826
6967,414,156077856808
6968,414,1288695240
6969,414,3845549316
6970,414,60849912443
6971,414,1906885989
6972,414,210140453309
6973,414,190525367173
6974,414,3171550591
6975,414,6493012224057
6976,414,1308651115
6977,414,27978578740
6978,414,15111644856
6979,414,140646540529
6980,414,5954163683
6981,414,1101277725
6982,414,146877144607
6983,414,162862700260
6984,414,3595385156
6985,414,14578723832
6986,414,1119909662
6987,414,2758966022
6988,414,8262663275
6989,414,4985596244
6990,414,2625332396
6991,414,1174847523
