trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
11521,2019,CN,CN,OFFIC,OFFIC,715540.22,20233153144.818,721.0,721.0,28949718.387,19913746528.848,2493873.618,1128058.847,254338781.33,32496183.79,4636209.846,9642020.279,405037.964,822858.164,29648424.921,19913746528.848,2493873.618,12852094.25,28276.751717
17732,2019,CN,CN,VEGET,VEGET,325904.54,16110389514.905,721.0,721.0,13597065.218,15977185262.277,1884754.901,584361.392,101860750.998,15277320.12,2349658.376,3915256.632,839135.493,377066.093,14332905.218,15977185262.277,1884754.901,5595240.932,49432.847775
16902,2019,CN,CN,TEXTI,TEXTI,302661.73,12383494137.333,721.0,721.0,13840699.088,12266280799.787,1104298.437,427397.24,87031896.498,14809046.283,2984296.439,4195850.488,663183.53,322690.6,13711395.8,12266280799.787,1104298.437,5791718.284,40915.295559
13099,2019,CN,CN,PLAST,RUBBE,264539.37,10519150086.731,721.0,721.0,10156171.721,10418471137.442,1230454.398,400881.34,75785451.964,13105989.866,1718721.801,2390573.641,742200.144,291746.001,12199853.004,10418471137.442,1230454.398,3693697.942,39764.024866
823,2019,CN,CN,BASIC,BASIC,302352.75,10136572640.033,721.0,721.0,12730149.754,9823086535.523,1814384.754,547583.734,283536988.254,14856998.013,2072231.106,3835746.883,808763.194,383145.823,14058608.721,9823086535.523,1814384.754,7758381.506,33525.650552
863,2019,CN,CN,BASIC,FABRI,214716.04,8618009811.654,721.0,721.0,8240868.741,8381350928.072,1303973.141,324525.447,216184390.521,10605125.733,1278881.986,2208049.237,501103.718,251780.651,9915702.132,8381350928.072,1303973.141,6626222.225,40136.776981
10356,2019,CN,CN,MOTO1,MOTO1,275638.32,8094546499.827,721.0,721.0,10085340.735,7989179465.484,1900799.039,488714.848,79643716.791,13248462.93,1583762.89,2587421.65,511955.45,364531.79,12350731.773,7989179465.484,1900799.039,4528635.226,29366.549977
9619,2019,CN,CN,MACHI,MACHI,305993.93,7800716099.118,721.0,721.0,12627569.442,7676290992.459,1646562.363,490939.43,94762984.417,14897051.007,2481590.581,3110770.385,837548.645,424519.831,13930356.204,7676290992.459,1646562.363,4915733.833,25493.041967
9568,2019,CN,CN,MACHI,CONST,176585.73,7465765479.572,721.0,721.0,6957492.159,7390163487.782,684813.886,306979.499,58984696.418,8668009.828,1176062.733,2074422.576,151393.016,225663.96,8013098.997,7390163487.782,684813.886,3776168.856,42278.418984
889,2019,CN,CN,BASIC,MACHI,189119.42,6965087355.245,721.0,721.0,7589518.768,6758682247.227,1267593.99,316483.312,187605521.565,9625990.383,1382573.209,2244893.518,364166.059,233173.095,9012733.834,6758682247.227,1267593.99,11556935.818,36829.04355
