trade_id,factor_id,level
4186,414,6097141141989
4187,414,876306577742
4188,414,57718745824
4189,414,121962550759989
4190,414,137585652
4191,414,29694949422
4192,414,385953572392
4193,414,1383322190
4194,414,14286287135524
4195,414,5412554321491
4196,414,2771381743488
4197,414,25422479793
4198,414,434550322449
4199,414,156818164889
4200,414,3607300190529
4201,414,7980126283
4202,414,736045074736
4203,414,16329216614774
4204,414,1732326290630
4205,414,12380268255478
4206,414,1734561959228
4207,414,186206984254
4208,414,16368971583
4209,414,21711863944053
4210,414,92111679691
4211,414,379017483
4212,414,14113509898
4213,414,3183586101741
4214,414,4200007227524
4215,414,13764681167962
4216,414,1328743322125
4217,414,249978541
4218,414,54683024329
4219,414,30992861201
4220,414,13592143955423
4221,414,642976754380
4222,414,54451204062721
4223,414,8032146880009
4224,414,15701623596
4225,414,341395329870
4226,414,233608484575
4227,414,3786598595
4228,414,242466260244
4229,414,3447916968
4230,414,25495441971
4231,414,114315656980
4232,414,53518688754
4233,414,2091875746396
4234,414,28705453125890
4235,414,4154126399194
4236,414,595310738470
4237,414,28974232443
4238,414,36822589976
4239,414,213989240126
4240,414,321233125444
4241,414,26839044494
4242,414,15491276140384
4243,414,91688875444
4244,414,48566664246
4245,414,618158874598
4246,414,7099101089861
4247,414,8792897818872
4248,414,22424690869
4249,414,4460477181382
4250,414,22840749742794
4251,414,1369829806779
4252,414,15384290420269
4253,414,97825922910
4254,414,6264640090
4255,414,1175125167742
4256,414,287132249171
4257,414,390097713
4258,414,332538598
4259,414,609703618877
4260,414,18079586974541
4261,414,125122108400
4262,414,8442665782
4263,414,281825315519
4264,414,1339021717025
4265,414,449723918608
4266,414,95966847068
4267,414,63754789934
4268,414,24848671589830
4269,414,78394048512
4270,414,237622001593
4271,414,483016566752
4272,414,287279503072
4273,414,659475301262
4274,414,691828904128
4275,414,1450559327718
4276,414,29801123625400
4277,414,6517460301762
4278,414,436762524732
4279,414,6381151623
4280,414,1882097173
4281,414,164159182
4282,414,704192222652
4283,414,242357345
4284,414,6684575319947
4285,414,23136544706
4286,414,13639295905544
4287,414,138550200281
4288,414,72750024892
4289,414,432995121
4290,414,113244399670
4291,414,4598682680
4292,414,1272039652
4293,414,28063513123
4294,414,2462420837679
4295,414,28345839665
4296,414,12532289336
4297,414,4608116850358
4298,414,3316503989020
4299,414,260705346212
4300,414,6519471348
4301,414,21265451297253
4302,414,8414304067722
4303,414,1946234155493
4304,414,135556381756
4305,414,154635442
4306,414,6129016677051
4307,414,2110965578
4308,414,13145333902547
4309,414,13145787116956
4310,414,378766034608
4311,414,4102527683492
4312,414,2149619880080
4313,414,10907583357997
4314,414,4617621369419
4315,414,304315578275
4316,414,25941311410
4317,414,2840253748408
4318,414,14285791064293
4319,414,24353536107388
4320,414,279790214486
4321,414,1372296131746
4322,414,6184808714723
4323,414,225812090872
4324,414,133023142845
4325,414,78448307647
4326,414,121486699894
4327,414,648274458
4328,414,69996927442
4329,414,122225724833
4330,414,22624357776
4331,414,5072675884525
4332,414,17338603590
4333,414,2406845939
4334,414,4338932135188
4335,414,81404371161
4336,414,15645808816336
4337,414,666880776450
4338,414,3065754703551
4339,414,872200858
4340,414,132654583216
4341,414,2556162168054
4342,414,180912654595
4343,414,899263932087
4344,414,223335674563
4345,414,57952707128
4346,414,18609223034621
4347,414,67305203502
4348,414,6309866798
4349,414,11738217958643
4350,414,823328030
6971,457,961942
6972,457,31477
6973,457,3008
6974,457,856
6975,457,17639
6976,457,6563
6977,457,876423
6978,457,103620
6979,457,22699
6980,457,15398
6981,457,146
6982,457,926409
6983,457,6944
6984,457,10563
6985,457,3961546
6986,457,1180825
6987,457,77419
6988,457,21498
6989,457,413
6990,457,842284
6991,457,210556
6992,457,234
6993,457,244
6994,457,314272
6995,457,342383
6996,457,1682
6997,457,1556
6998,457,864
6999,457,25795
7000,457,110026
7001,457,566235
7002,457,154893
7003,457,1352
7004,457,13129
7005,457,28420
7006,457,30593
7007,457,2340
7008,457,125
7009,457,2131
7010,457,24040
7011,457,213520
7012,457,48185
7013,457,1709
7014,457,634735
7015,457,267399
7016,457,582
7017,457,1415939
7018,457,78469883
7019,457,1366
7020,457,5242311
7021,457,12489
7022,457,6862
7023,457,61271
7024,457,1039594
7025,457,7086
7026,457,1544260
7027,457,224
7028,457,683
7029,457,4786
7030,457,329279
7031,457,316
7032,457,637
7033,457,261419
7034,457,739
7035,457,3864
7036,457,218
7037,457,551825
7038,457,13525
7039,457,44295
7040,457,226464
7041,457,55340
7042,457,59823
7043,457,2235
7044,457,1039362
7045,457,468930
7046,457,9361
7047,457,678
7048,457,55475
7049,457,13710
7050,457,1022
7051,457,399
7052,457,2146
7053,457,27996
7054,457,723677
7055,457,390
7056,457,30197854
7057,457,852222
7058,457,1389596
7059,457,16503
7060,457,950439
7061,457,5959
7062,457,522020
7063,457,1070
7064,457,962
7065,457,652621
7066,457,64260
7067,457,1249625
7068,457,80364245
7069,457,129213
7070,457,2461352
7071,457,2746022
7072,457,9824
7073,457,662
7074,457,157564
7075,457,625187
7076,457,1307365
7077,457,1803541
7078,457,515380
7079,457,684
7080,457,26362
7081,457,38975
7082,457,6748
7083,457,259266
7084,457,88927
7085,457,257483
7086,457,17051
7087,457,21334
7088,457,6542
7089,457,40935
7090,457,866519
7091,457,202
7092,457,262
7093,457,158
7094,457,4501449
7095,457,22454
7096,457,89999478
16029,527,84755
16030,527,162278
16031,527,12184
16032,527,11288
16033,527,34466
16034,527,71965
16035,527,538757
16036,527,510224
16037,527,1293
16038,527,80810
16039,527,113800
16040,527,646
16041,527,5174357
16042,527,11043334
16043,527,767439
16044,527,57138785
16045,527,12397342
16046,527,358512
16047,527,21507
16048,527,4192864
