trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
1696,2019,DE,DE,BUSIN,BUSIN,100960.26,2854828205.353,721.0,721.0,4084705.532,2809761032.198,351876.976,159165.217,35886325.846,4585099.583,654153.238,1360455.844,57149.461,116102.452,4183290.617,2809761032.198,351876.976,1813386.223,28276.751717
17161,2019,DE,DE,SUPPO,WHOLE,51365.99,2539167164.467,721.0,721.0,2143040.769,2518172770.5,297057.235,92101.514,16054327.802,2407866.649,370330.922,617085.705,132256.597,59429.59,2259016.907,2518172770.5,297057.235,881868.936,49432.847775
2918,2019,DE,DE,COMPU,COMPU,41666.84,1704811073.607,721.0,721.0,1905421.589,1688674545.935,152026.575,58838.93,11981508.552,2038732.026,410842.171,577634.414,91299.161,44424.175,1887620.661,1688674545.935,152026.575,797334.368,40915.295559
3184,2019,DE,DE,CONST,REALE,43126.76,1099432302.578,721.0,721.0,1779728.626,1081895838.006,232066.368,69192.964,13355887.438,2099589.176,349755.178,438431.729,118044.039,59831.791,1963343.288,1081895838.006,232066.368,692823.133,25493.041967
18665,2019,DE,DE,WHOLE,CONST,24304.3,966436789.552,721.0,721.0,933088.502,957187007.989,113046.814,36830.587,6962715.456,1204100.204,157905.911,219631.652,68188.924,26803.883,1120849.752,957187007.989,113046.814,339354.943,39764.024866
1804,2019,DE,DE,BUSIN,PUBLI,27819.82,915201718.356,721.0,721.0,1171315.54,903833351.153,83471.801,50383.801,8696186.796,1367009.265,190668.338,352931.428,74415.22,35253.682,1293548.559,903833351.153,83471.801,264789.547,32897.470881
644,2019,DE,DE,AUXIL,INSUR,23190.32,915148345.328,721.0,721.0,890051.732,905224453.908,70417.549,35050.241,7782969.537,1145402.362,138125.137,238479.474,54121.507,27193.469,1070941.442,905224453.908,70417.549,253937.817,39462.514762
14793,2019,DE,DE,REALE,BUSIN,19235.13,813230885.356,721.0,721.0,757865.69,804995711.764,74595.405,33438.662,6425084.879,944188.955,128106.159,225962.698,16490.938,24581.123,872850.829,804995711.764,74595.405,411330.513,42278.418984
3083,2019,DE,DE,CONST,CONST,27662.52,812352776.067,721.0,721.0,1012144.972,801778347.61,190760.455,49046.462,7992886.869,1329589.698,158943.331,259668.551,51378.843,36583.694,1239495.164,801778347.61,190760.455,454484.93,29366.549977
14906,2019,DE,DE,REALE,REALE,16387.06,752493005.101,721.0,721.0,661901.051,745486931.608,59347.968,26918.826,5426168.051,831737.597,134374.766,161232.105,24990.871,23058.077,783548.982,745486931.608,59347.968,359291.565,45919.951785
1729,2019,DE,DE,BUSIN,FINAN,17836.0,746813303.711,721.0,721.0,775931.197,740149248.711,92222.343,29163.977,4940186.496,826550.988,129676.091,216637.314,58190.894,26213.346,763483.327,740149248.711,92222.343,201612.539,41871.120414
14805,2019,DE,DE,REALE,CONST,20411.64,738173942.769,721.0,721.0,819135.998,729463895.907,68405.646,34158.012,6749415.031,1038932.175,149220.988,242291.132,39304.406,25166.349,972743.457,729463895.907,68405.646,430912.14,36164.362235
13531,2019,DE,DE,POSTT,POSTT,18868.28,708125954.165,721.0,721.0,768975.823,700585261.577,74744.453,29319.103,5748159.703,919493.506,114058.108,258037.527,22541.781,24525.285,847879.944,700585261.577,74744.453,401590.91,37529.968506
5805,2019,DE,DE,FINAN,FINAN,18898.15,691268651.786,721.0,721.0,780443.697,683013571.929,78917.26,26604.86,6474201.983,894912.058,121036.398,240918.064,41115.834,23531.063,821429.288,683013571.929,78917.26,145045.934,36578.64139
1809,2019,DE,DE,BUSIN,REALE,22751.23,679422307.971,721.0,721.0,882208.59,670425877.065,78484.594,35391.952,6873273.29,1127072.481,111014.752,282958.175,39853.02,24925.201,1046753.808,670425877.065,78484.594,275816.984,29863.102257
15955,2019,DE,DE,SALEM,MOTO1,19570.62,675578690.766,721.0,721.0,773503.793,667591906.068,110611.766,35500.517,6131797.6,935371.022,99347.043,271913.487,27385.456,24218.303,888343.229,667591906.068,110611.766,249637.883,34520.045393
3179,2019,DE,DE,CONST,PUBLI,17880.92,635507009.779,721.0,721.0,695648.829,628335620.954,46465.522,27282.625,5539198.651,862793.198,119147.574,187178.55,26842.216,23330.969,807622.318,628335620.954,46465.522,297862.236,35541.068904
