trade_id,factor_id,level
18875,8,593077890
18876,8,534372111
18877,8,4647232924
18878,8,6873936939
18879,8,4533135593
18880,8,633513188
19255,8,2300600025
19256,8,3573983749
19257,8,2350340580
19258,8,1861422589
19259,8,7766118876
19260,8,2958890664
19261,8,1629195756
19262,8,7476026152
19263,8,2531295520
19264,8,5958012678
19265,8,1098250997
19266,8,1399383105
19267,8,987956344
19268,8,1772262661
19269,8,160857966193
19270,8,4447149651
19271,8,37252765490
19272,8,3044500677
19273,8,1868453095
19274,8,1433673680
19275,8,3797973857
19276,8,2824520877
19277,8,4470678949
19278,8,2625250601
28382,414,33936821203
28383,414,6119741675
28384,414,5289776682
28385,414,19637441775
28386,414,108939144334
28387,414,20337100310
28388,414,19339722422
28389,414,2321191987
28390,414,3032827806
28391,414,8955486482
28392,414,5511810386
28393,414,894951113988
28394,414,13610617424
28395,414,5414265679
28396,414,150980678769
28397,414,2654873119
28398,414,3905270684
28399,414,254050211105
28400,414,147419779420
28401,414,4014369069
28402,414,3503102266
28403,414,19838825621
28404,414,29156464586
28405,414,30717847281
28406,414,4452375580
28407,414,33524221437
28408,414,208812560611
28409,414,184168423386
28410,414,5583887845
28411,414,2515977694
28412,414,5173018930
28413,414,75940909817
28414,414,3253554552
28415,414,22103482398
28416,414,101662468080
28417,414,43224024433
28418,414,21934896229
28419,414,76582039707
28420,414,6658442553
28421,414,26597788358
28422,414,75725640135
28423,414,5451169953
28424,414,2828184610
28425,414,365665803741
28426,414,3286100562
28427,414,2863341389
28428,414,2015568757
28429,414,807763438549
28430,414,1887946032
28431,414,1937942883
28432,414,2142619009
28433,414,19330089741
28434,414,42945948300
28435,414,605503477940
28436,414,31894775514
28437,414,2130370482
28438,414,2488171999
28439,414,4323857141
28440,414,12154039468
28441,414,830783744094
28442,414,4393389927
28443,414,4595813426
28444,414,2542447061
28445,414,28856111345
28446,414,9977456638
28447,414,4740192094
28448,414,209573282894
28449,414,1068329496296
28450,414,2285695530
28451,414,151819443267
28452,414,848308174649
28453,414,38308912518
28454,414,9293228327
28455,414,88956138645
28456,414,1956298235
28457,414,104661517169
28458,414,426828650717
28459,414,73947041924
28460,414,260418092803
28461,414,177522013441
28462,414,2242265679
28463,414,115856702790
28464,414,57923186476
28465,414,6247032200
28466,414,96405854890
28467,414,4478900716
28468,414,12192135514520
28469,414,18953793943
28470,414,2783735843
28471,414,11785286278
28472,414,169604379446
28473,414,2251610066
28474,414,8524136727
28475,414,248290572537
28476,414,2823646120
28477,414,142623954740
