trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
1282,2019,FR,FR,BUSIN,BUSIN,107215.58,3031708335.907,721.0,721.0,4337786.697,2983848880.03,373678.654,169026.814,38109779.429,4869184.283,694683.421,1444747.294,60690.341,123295.956,4442479.94,2983848880.03,373678.654,1925740.442,28276.751717
2201,2019,FR,FR,CONST,CONST,51402.52,2540972946.396,721.0,721.0,2144564.837,2519963621.826,297268.493,92167.013,16065745.173,2409579.053,370594.29,617524.559,132350.654,59471.855,2260623.455,2519963621.826,297268.493,882496.095,49432.847775
519,2019,FR,FR,AUXIL,INSUR,23827.77,974920252.061,721.0,721.0,1089642.204,965692351.17,86938.541,33647.872,6851794.617,1165877.657,234945.889,330328.385,52210.713,25404.591,1079462.493,965692351.17,86938.541,455966.901,40915.295559
4635,2019,FR,FR,FINAN,FINAN,18832.12,748840887.961,721.0,721.0,723001.059,741673720.161,87594.012,28538.079,5395040.918,932993.731,122352.961,170180.982,52836.0,20768.915,868487.347,741673720.161,87594.012,262948.244,39764.024866
1413,2019,FR,FR,BUSIN,WHOLE,22756.07,748617150.184,721.0,721.0,958113.26,739318047.606,68278.305,41212.967,7113311.138,1118186.908,155962.981,288691.023,60870.198,28836.824,1058097.484,739318047.606,68278.305,216592.683,32897.470881
1293,2019,FR,FR,BUSIN,CONST,26136.28,666293282.9,721.0,721.0,1078575.94,655665590.296,140640.094,41933.284,8094120.999,1272422.287,211963.506,265704.505,71538.693,36260.096,1189852.656,655665590.296,140640.094,419874.328,25493.041967
2574,2019,FR,FR,DIST1,ELEC3,22230.62,652836613.247,721.0,721.0,813396.981,644338613.038,153302.128,39415.543,6423378.3,1068507.256,127732.715,208679.212,41289.93,29400.004,996103.97,644338613.038,153302.128,365240.83,29366.549977
4465,2019,FR,FR,FABRI,CONST,15803.6,623649798.288,721.0,721.0,606547.109,616886924.362,47987.728,23885.828,5303891.338,780561.923,94128.689,162517.56,36882.399,18531.642,729818.742,616886924.362,47987.728,173052.018,39462.514762
13649,2019,FR,FR,WHOLE,CONST,14391.6,608454094.653,721.0,721.0,567030.213,602292590.974,55811.8,25018.591,4807206.998,706436.076,95848.2,169063.831,12338.413,18391.438,653061.352,602292590.974,55811.8,307754.832,42278.418984
1383,2019,FR,FR,BUSIN,REALE,14671.15,530572783.003,721.0,721.0,588765.386,524312315.739,49167.509,24551.546,4851235.88,746746.943,107254.659,174150.119,28250.588,18088.663,699172.882,524312315.739,49167.509,309724.091,36164.362235
