trade_id,factor_id,level
7457,434,5927690
7457,434,5416918
7458,434,359775
7458,434,328774
7459,434,25870302
7459,434,23641130
7460,434,4516379
7460,434,4127216
7461,434,10661924
7461,434,9743216
7462,434,2358185
7462,434,2154987
7463,434,2026499
7463,434,1851882
7464,434,1484032
7464,434,1356157
7465,434,1160910
7465,434,1060878
7466,434,24437990
7466,434,22332236
7467,434,2144537
7467,434,1959748
7468,434,18413202
7468,434,16826587
7469,434,355154
7469,434,324551
7470,434,83644856
7470,434,76437410
7471,434,1310126
7471,434,1197236
7472,434,144842
7472,434,132362
7473,434,243419
7473,434,222444
7474,434,7816273
7474,434,7142766
7475,434,4618180
7475,434,4220244
7476,434,14546685
7476,434,13293238
7477,434,274094
7477,434,250476
7478,434,11470952
7478,434,10482532
7479,434,99011
7479,434,90480
7480,434,241096359
7480,434,220321754
7481,434,4357990
7481,434,3982474
7482,434,194568
7482,434,177803
7483,434,79853
7483,434,72972
7484,434,1077581
7484,434,984729
7485,434,4504141
7485,434,4116031
7486,434,2038370
7486,434,1862729
7487,434,2496993
7487,434,2281834
7488,434,1252717
7488,434,1144774
7489,434,1111155
7489,434,1015410
7490,434,62083
7490,434,56733
7491,434,14018271
7491,434,12810356
7492,434,437590
7492,434,399884
7493,434,161971
7493,434,148014
7494,434,101325
7494,434,92594
7495,434,1167350
7495,434,1066763
7496,434,5917844
7496,434,5407919
7497,434,2335212
7497,434,2133993
7498,434,27998250
7498,434,25585718
7499,434,2544507
7499,434,2325254
7500,434,6347690
7500,434,5800727
7501,434,100043
7501,434,91422
7502,434,278803
7502,434,254779
7503,434,244060
7503,434,223030
7504,434,822533
7504,434,751658
7505,434,85020
7505,434,77694
7506,434,3055094
7506,434,2791845
7507,434,7564287
7507,434,6912494
7508,434,80414
7508,434,73485
7509,434,1051001
7509,434,960439
7510,434,497748
7510,434,454858
7511,434,101710
7511,434,92946
7512,434,3389233
7512,434,3097192
7513,434,185677
7513,434,169678
7514,434,91941
7514,434,84018
7515,434,6723405
7515,434,6144068
