trade_id,factor_id,level
15208,8,1017579591
15209,8,2311288038
15462,8,976041287
15463,8,3224546551
15464,8,17840747528
15465,8,2025711026
15466,8,815082997
15467,8,1462708415
15468,8,91480752592
15469,8,679080408
15470,8,1576305116
15471,8,3240800043
15472,8,18322084576
15473,8,646428857
15474,8,621768679
15475,8,6953482111
15476,8,21792524403
15477,8,10648487508
15478,8,3864450569
15479,8,6189234122
15480,8,4191121324
15481,8,3265811349
15482,8,2206582884
15483,8,737403405
15484,8,664132173
15485,8,16363679745
15486,8,1304105053
15487,8,6738528113
15488,8,1573812505
15489,8,1943864312
15490,8,3628309277
15491,8,6353942675
15492,8,2354884353
15493,8,1537383417
15494,8,1670002447
15495,8,1114998455
15496,8,1355519111
15497,8,5817683333
15498,8,8485671957
15499,8,672600560
15500,8,5755669928
15501,8,1185723069
15502,8,632172575
15503,8,20849330546
15504,8,1562120664
15505,8,1343232961
15506,8,83498217408
15507,8,47198157844
15508,8,2465426074
15509,8,122732847934
15510,8,15744458565
15511,8,954505281
15512,8,6462535918
15513,8,42497900436
15514,8,13635710969
15515,8,6663067872
15516,8,51812313370
15517,8,3826249648
15518,8,11687077224
15519,8,1866228193
15520,8,1568079205
15521,8,1293396423
15522,8,4178230005
15523,8,3849889883
15524,8,4268249857
15525,8,703123369
15526,8,709858770
15527,8,2241247463
15528,8,948410401
15529,8,14871937543
15530,8,54227449661
23871,414,56581426434
23872,414,2217013237975
23873,414,2195209496
23874,414,692298887900
23875,414,31155807025
23876,414,95253990461
23877,414,12676595926
23878,414,5100690541
23879,414,10128670673
23880,414,1968080051046
23881,414,1961938510
23882,414,22411851003
23883,414,4992497082
23884,414,1816020567
23885,414,114709978495
23886,414,6011332445
23887,414,384624218876
23888,414,334826599064
23889,414,4383356353
23890,414,29841174392
23891,414,174677379303
23892,414,174579001655
23893,414,5777357961
23894,414,75903199256
23895,414,366239427083
23896,414,22871668627
23897,414,3606570600
23898,414,2890485442
23899,414,41035684368
23900,414,5835546398
23901,414,13244731919
23902,414,16188745147
23903,414,63716930110
23904,414,12636757796
23905,414,359090841280
23906,414,7623533107
23907,414,289284076229
23908,414,10083727862
23909,414,5828511933
23910,414,249389214187
23911,414,7326977665
23912,414,19272075913
23913,414,42669305001
23914,414,3456242685
23915,414,5890279171
23916,414,58638559291
23917,414,5886569365
23918,414,2896718911
23919,414,8645483941
23920,414,1979857511
23921,414,63340165825
23922,414,122542290365
23923,414,48004850462
23924,414,4725333231
23925,414,10059515019
23926,414,36307114914
23927,414,6649008303
23928,414,5810750764
23929,414,2574622741
23930,414,7134447525
23931,414,2368914550
23932,414,2382875948
23933,414,188816978975
23934,414,94610454447
23935,414,55672444251
23936,414,327540530886
23937,414,3274971890
23938,414,3594877185
23939,414,24448127941
23940,414,73526936005
23941,414,248765565258
23942,414,332455054339
23943,414,562329752554
23944,414,682490218573
23945,414,1987398363
23946,414,52443343148
23947,414,130200929865
23948,414,3233897188
23949,414,65149657417
23950,414,5777084212
23951,414,679036329588
23952,414,16678974486
23953,414,2476845947
23954,414,3819021380
23955,414,191370684160
23956,414,3009611632
23957,414,14545795966
23958,414,1984228316
23959,414,544498005170
23960,414,1828712236
23961,414,58158142472
24091,414,169650142141
24091,412,6485985181
24092,414,20414167091
24092,412,780464924
24093,414,25928559115642
24093,412,991288590002
24094,414,45525171160
24094,412,1740497130
24095,414,31444878052
24095,412,1202185925
24096,414,2375439680303
24096,412,90816702958
24097,414,2857928111883
24097,412,109262975845
24098,414,66369544959
24098,412,2537409516
24099,414,284372946122
24099,412,10872013965
24100,414,387012793380
24100,412,14796092778
24101,414,102002814835
24101,412,3899724086
24102,414,21842758847458
24102,412,835082178037
24103,414,38543217588
24103,412,1473566335
24104,414,65507017608685
24104,412,2504433772464
24105,414,16992820888
24105,412,649661610
24106,414,217606872431
24106,412,8319444547
24107,414,139480046270
24107,412,5332536135
24108,414,1140033851275
24108,412,43585242973
24109,414,38217276074
24109,412,1461105090
24110,414,363808298221
24110,412,13908949331
24111,414,25190179328
24111,412,963059198
24112,414,3942606499689
24112,412,150731894533
24113,414,2873730666651
24113,412,109867131756
24114,414,74221342146
24114,412,2837595767
24115,414,2128416770254
24115,412,81372638168
24116,414,526023387768
24116,412,20110681046
24117,414,22449282126
24117,412,858270493
24118,414,21939541579
24118,412,838782330
24119,414,11009559198566
24119,412,420912337080
24120,414,18431179322189
24120,412,704652259344
24121,414,55918959446
24121,412,2137867601
24122,414,183420952582
24122,412,7012464389
24123,414,523007484473
24123,412,19995378437
24124,414,21709144474122
24124,412,829973895577
24125,414,446065301040
24125,412,17053760733
24126,414,359489184966
24126,412,13743823006
24127,414,677430186644
24127,412,25899195229
24128,414,15089386999
24128,412,576890412
24129,414,125948927256
24129,412,4815220698
24130,414,227814601428
24130,412,8709701685
24131,414,206532177231
24131,412,7896041961
24132,414,101912561400
24132,412,3896273559
24133,414,34407590416
24133,412,1315454964
24134,414,154303674484
24134,412,5899266181
24135,414,149917369134
24135,412,5731570999
24136,414,688652239250
24136,412,26328231515
24137,414,701414449973
24137,412,26816150409
24138,414,1017870794301
24138,412,38914761904
24139,414,1535583362510
24139,412,58707707569
24140,414,228498043822
24140,412,8735830737
24141,414,63254845530
24141,412,2418329779
24142,414,328381071603
24142,412,12554512112
24143,414,47644266002
24143,412,1821513377
24144,414,312444368971
24144,412,11945227523
24145,414,72689590727
24145,412,2779034561
24146,414,158166262911
24146,412,6046938862
24147,414,7672023775465
24147,412,293313237998
24148,414,304069960075
24148,412,11625061024
24149,414,376605969242
24149,412,14398223926
24150,414,94597043783
24150,412,3616590098
24151,414,450066233067
24151,412,17206722502
24152,414,3832272773142
24152,412,146513666913
24315,414,8741688035
24315,414,3981139449
24315,414,1689979504
24316,414,1831136217693
24316,414,833936032066
24316,414,354002872667
24317,414,22710241574976
24317,414,10342697917999
24317,414,4390438394930
24318,414,12231641192
24318,414,5570533870
24318,414,2364671769
24319,414,12974068664
24319,414,5908650180
24319,414,2508200937
24320,414,276090029344
24320,414,125736917516
24320,414,53374873239
24321,414,10460450198
24321,414,4763898091
24321,414,2022257757
24322,414,7004881454
24322,414,3190163019
24322,414,1354212829
24323,414,12905052779
24323,414,5877218966
24323,414,2494858499
24324,414,6953477910
24324,414,3166752818
24324,414,1344275282
24325,414,22020374820
24325,414,10028518810
24325,414,4257070484
24326,414,211077790451
24326,414,96129044538
24326,414,40806436711
24327,414,50526352036
24327,414,23010710576
24327,414,9767964608
24328,414,9810113033
24329,414,1069059126
24330,414,32365809960
24331,414,12218239204
24332,414,123481924593
24333,414,4802136326
24334,414,14751533694708
24335,414,10017643327
24336,414,32560729979
24337,414,7466049477
24338,414,10835129396
24339,414,4040080553
24340,414,1746550419
24341,414,3797125449
24342,414,7969223423
24343,414,403239808127
24344,414,438943047389
24345,414,212814845007
24346,414,15583122860
24347,414,2806876028
24348,414,10526469292
24349,414,81370820784
24350,414,4698827085
24351,414,2801469025
24352,414,141117416554
24353,414,15464915636
24354,414,9658128483
24355,414,8129856861
24356,414,2201480092
24357,414,1999335177
24358,414,2654678391
24359,414,11148128228
24360,414,7129274658
