trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
1187,2019,GB,GB,BUSIN,BUSIN,82951.68,4100537770.096,721.0,721.0,3460827.526,4066633619.701,479722.024,148736.066,25926366.111,3888498.669,598052.76,996540.629,213583.091,95973.704,3648119.069,4066633619.701,479722.024,1424142.896,49432.847775
2359,2019,GB,GB,CONST,CONST,107481.68,3039232779.539,721.0,721.0,4348552.717,2991254540.541,374606.093,169446.324,38204364.678,4881269.186,696407.566,1448333.034,60840.97,123601.966,4453505.8,2991254540.541,374606.093,1930519.966,28276.751717
4948,2019,GB,GB,FINAN,REALE,34520.88,1412432008.155,721.0,721.0,1578637.353,1399062932.521,125953.664,48747.917,9926651.959,1689084.74,340381.783,478568.768,75641.142,36805.326,1563889.326,1399062932.521,125953.664,660589.669,40915.295559
1222,2019,GB,GB,BUSIN,FINAN,34863.59,888778962.988,721.0,721.0,1438729.205,874602518.69,187602.006,55935.459,10796873.768,1697303.86,282741.414,354427.368,95426.575,48367.905,1587162.945,874602518.69,187602.006,560076.891,25493.041967
6680,2019,GB,GB,HEALT,HEALT,19984.55,794666143.137,721.0,721.0,767245.048,787060381.106,92954.321,30284.465,5725189.994,990088.204,129840.34,180595.193,56069.295,22039.867,921634.358,787060381.106,92954.321,279039.34,39764.024866
1236,2019,GB,GB,BUSIN,HEALT,23053.23,758392962.631,721.0,721.0,970624.776,748972427.78,69169.917,41751.146,7206200.267,1132788.745,157999.622,292460.892,61665.071,29213.39,1071914.644,748972427.78,69169.917,219421.058,32897.470881
3207,2019,GB,GB,EDUCA,EDUCA,16887.02,666404276.031,721.0,721.0,648129.107,659177771.485,51277.54,25523.327,5667501.019,834073.553,100581.706,173658.995,39410.882,19802.083,779851.66,659177771.485,51277.54,184915.645,39462.514762
7345,2019,GB,GB,INSUR,INSUR,20398.96,599047078.317,721.0,721.0,746378.306,591249258.627,140671.02,36167.956,5894133.272,980469.136,117208.361,191485.388,37887.906,26977.633,914031.414,591249258.627,140671.02,335147.337,29366.549977
3050,2019,GB,GB,DISTR,DISTR,13373.8,565423119.811,721.0,721.0,526928.81,559697368.824,51864.689,23249.231,4467232.618,656475.638,89069.642,157107.33,11465.818,17090.762,606875.671,559697368.824,51864.689,285989.853,42278.418984
1201,2019,GB,GB,BUSIN,CONST,14127.25,510902986.383,721.0,721.0,566938.229,504874611.91,47344.734,23641.352,4671387.184,719062.974,103278.433,167693.894,27203.261,17418.066,673252.615,504874611.91,47344.734,298241.765,36164.362235
2194,2019,GB,GB,COMPU,COMPU,13030.96,489051518.405,721.0,721.0,531076.134,483843705.955,51620.602,20248.59,3969839.284,635027.84,78771.708,178207.908,15567.982,16937.846,585569.518,483843705.955,51620.602,277349.874,37529.968506
12441,2019,GB,GB,RECRE,RECRE,13154.08,481158375.136,721.0,721.0,543228.772,475412416.889,54930.453,18518.345,4506376.064,622904.612,84247.53,167691.308,28618.725,16378.825,571756.842,475412416.889,54930.453,100959.397,36578.64139
4868,2019,GB,GB,FINAN,FINAN,16084.91,480345312.131,721.0,721.0,623713.345,473984918.365,55487.885,25021.784,4859340.892,796829.86,78486.407,200048.823,28175.718,17621.887,740045.298,473984918.365,55487.885,195000.067,29863.102257
431,2019,GB,GB,AUXIL,INSUR,13830.27,477421548.195,721.0,721.0,546623.781,471777404.637,78167.712,25087.694,4333251.394,661012.977,70207.098,192157.272,19352.9,17114.719,627779.126,471777404.637,78167.712,176415.429,34520.045393
1301,2019,GB,GB,BUSIN,REALE,11202.44,469058714.175,721.0,721.0,487347.089,464873152.597,57923.036,18317.319,3102833.752,519140.382,81446.997,136065.626,36548.553,16464.086,479528.827,464873152.597,57923.036,126628.861,41871.120414
1302,2019,GB,GB,BUSIN,RECRE,11905.15,423121756.457,721.0,721.0,463164.292,418347032.356,30936.831,18164.823,3688008.828,574449.326,79328.678,124623.829,17871.598,15533.803,537716.451,418347032.356,30936.831,198317.234,35541.068904
1307,2019,GB,GB,BUSIN,RETA1,12546.88,418369970.413,721.0,721.0,440345.764,413606740.677,37464.692,23615.384,3665184.521,596619.376,93130.103,86525.747,11652.892,13525.82,545661.274,413606740.677,37464.692,208319.311,33344.542262
3049,2019,GB,GB,DISTR,DIST1,8972.89,412034676.174,721.0,721.0,362430.193,408198434.238,32496.542,14739.658,2971149.739,455425.803,73578.176,88284.167,13683.988,12625.669,429039.671,408198434.238,32496.542,196733.501,45919.951785
1332,2019,GB,GB,BUSIN,WHOLE,17178.55,395622230.118,721.0,721.0,679087.793,388660717.259,90928.725,27850.669,5325139.434,838506.237,133666.735,150359.905,56529.206,17992.474,781443.214,388660717.259,90928.725,191318.95,23030.013017
1200,2019,GB,GB,BUSIN,COMPU,14700.97,381070814.662,721.0,721.0,598913.852,375568794.481,43211.066,24089.344,4100695.884,735110.034,118809.501,171855.705,19796.723,21104.06,683862.329,375568794.481,43211.066,113111.897,25921.474206
14160,2019,GB,GB,SUPPO,WHOLE,13320.31,347203646.833,721.0,721.0,521508.429,342226482.265,54930.934,21765.45,3719939.82,659019.935,84266.902,122106.632,35289.511,17225.06,613857.608,342226482.265,54930.934,153795.167,26065.733217
