trade_id,factor_id,level
8126,414,1709716364
8127,414,705371812
8128,414,2048836498
8129,414,511151227
8130,414,19519686649
8131,414,2361472508
8132,414,478230940
8133,414,456811381
8134,414,1561326487
8135,414,694245645
8136,414,56633872337
8137,414,828478548
8138,414,699979590
8139,414,676187054
8140,414,803633521
8141,414,836048916
8142,414,784418662
8143,414,430970691
8144,414,602017719
8145,414,729286294
8146,414,463650281
8147,414,1218161938
8148,414,2474079583
8149,414,964066138
8150,414,430832475
31094,414,92947596542
31095,414,1078213421
31096,414,909313485
31097,414,2040057924
31098,414,459655713
31099,414,2388921855
31100,414,13628833242
31101,414,1084650538
31102,414,731145450
31103,414,647633826
31104,414,2888321311
31105,414,2551991252
31106,414,463320120
31107,414,569517415
31108,414,1036639256
31109,414,999961028
31110,414,677629846
31111,414,1393031290
31112,414,1401315380
31113,414,468283664
31114,414,1256437219
31115,414,455314960
31116,414,1990352564
31117,414,1326088961
31118,414,504194483
31119,414,618010982
31120,414,757693911
31121,414,521503354
31122,414,3703431408
31123,414,1040830879
45725,414,945799049
45726,414,25037565453
45727,414,1642756791
45728,414,748845861
54476,414,4041071306
54477,414,2175839162
54478,414,1662327778
54479,414,5536342173
54480,414,951463965
54481,414,2127096997
54482,414,947172832
54483,414,522040797
54484,414,740849225
54485,414,364385816668
54486,414,747522945
54487,414,1358940565
54488,414,985444992
54489,414,1170759460
54490,414,2018401071
54491,414,2007036922
54492,414,2339904434
54493,414,614274906
54494,414,1543082461
54495,414,882059645
54496,414,1734510651
54497,414,2381730128
54498,414,3283796069
54499,414,555824311771
54500,414,1625950537
54501,414,941899393
54502,414,1001864901
54503,414,1297246890
54504,414,4734641663
54505,414,452374712
54506,414,698716234
54507,414,5134594490
54508,414,729011078
54509,414,1287425634
54510,414,135749159041
54511,414,822997918
54512,414,780856081
54513,414,3100846717
54514,414,2297990676
60153,414,1056766023
60154,414,1768182290
69847,414,3902674613
69848,414,159752015960
69849,414,11668834697
69850,414,1765666057
69851,414,99368217802
69852,414,1185688584
69853,414,12156769327
69854,414,917533319
69855,414,161118728401
69856,414,53981403814
69857,414,50190399848
69858,414,288721606725
69859,414,264079789592
69860,414,143972473894
69861,414,6124766086
69862,414,61278568162
69863,414,364487880395
69864,414,187109683712
69865,414,3731342074
69866,414,45163643734
69867,414,63092685953
69868,414,8042088091
69869,414,4581059715
69870,414,4204946256
69871,414,1288629135
69872,414,899360653
69873,414,30114498770
69874,414,10192425655
69875,414,59402506311
69876,414,15965395849
69877,414,5453180082
69878,414,121584070043
69879,414,9327232388
69880,414,82496467147
69881,414,31524505357
69882,414,729074741
69883,414,11419287135
69884,414,32419568260
69885,414,12375882867
69886,414,2540447042
69887,414,20880253109
69888,414,754506484
69889,414,1107103177
69890,414,5581962687
69891,414,77643780272
69892,414,1272651106
69893,414,2458808583
69894,414,11233440390
69895,414,3474595287
69896,414,17978024758
69897,414,1491968907
69898,414,5270623722
69899,414,585817499
69900,414,13174168057
69901,414,57278300876
69902,414,645717156
69903,414,587012650
69904,414,1956526830
69905,414,15222955760
69906,414,71583587448
69907,414,31253166927
69908,414,3845341761
69909,414,567218904
69910,414,499116491
69911,414,5104825296
69912,414,328096513829
69913,414,9671497307
69914,414,1404418330
69915,414,1703260638
69916,414,22467364318
69917,414,145396972662
69918,414,12381360517
69919,414,150085269256
69920,414,22667825268
69921,414,319126887393
69922,414,16880078788
69923,414,21008089175
69924,414,9129937164
69925,414,1190737961
69926,414,1376087990
69927,414,1030128238
69928,414,3181050952
69929,414,61874857910
69930,414,2453690416
69931,414,334143317627
69932,414,1303964398
69933,414,57461368289
69934,414,2458572460
69935,414,988382038
69936,414,456386354404
69937,414,2022298054
69938,414,1041334557
92494,414,1669981883
92495,414,971069307
92496,414,1743293669
92497,414,567124360
92498,414,509934929
92499,414,737749979
92500,414,1156978651
92501,414,808671454
92502,414,7090965614
92503,414,1950840982
92504,414,643075533
92505,414,5115240822
92506,414,767381680
92507,414,2340988559
100253,414,432651644
100254,414,3312714603
100255,414,71796698710
100256,414,2919464635
100257,414,7594516922
100258,414,2776455202
100259,414,58299006198
100260,414,1695910924
100261,414,1458857965
100262,414,27421335244
100263,414,947513808
100264,414,1661814461
100265,414,604794424
100266,414,28016909059
100267,414,3705671899
100268,414,1819548259
100269,414,3803781601
100270,414,15000059694
100271,414,40753793888
100272,414,536403376
100273,414,5838847190
100274,414,1007568686
100275,414,3568136593
100276,414,432741170
100277,414,1450583610
100278,414,1417191969
100279,414,1292430736
100280,414,5514690203
100281,414,6576901631
100282,414,486797596
100283,414,1192825836
100284,414,4355353694
100285,414,1111462925
100286,414,7098714660
100287,414,607265013
100288,414,14415802165
100289,414,2249356013
100290,414,2546422489
100291,414,598682037
100292,414,9226148635
100293,414,3271707060
100294,414,19550104231
100295,414,702692750
100296,414,4787425536
100297,414,1812038226
100298,414,709500493
100299,414,35884326113
100300,414,2333038207
100301,414,646692338
100302,414,509823694
100303,414,678031385
100304,414,2833822412
100305,414,6476445415
100306,414,497267870
28647,527,13833
28648,527,19553
28649,527,49456
28650,527,5693
28651,527,4919
28652,527,20673
28653,527,1996
28654,527,2600
28655,527,37602
28656,527,8531
28657,527,13893
73002,527,7606
73003,527,4140
73004,527,102104
73005,527,8749
73006,527,119400
73007,527,3957
73008,527,146288
73009,527,32501
73010,527,6296
73011,527,18895
73012,527,3460
168365,527,14934
168366,527,2317
168367,527,17037
168368,527,42487
168369,527,2088
168370,527,3079
168371,527,15479
168372,527,3822
168373,527,2438
168374,527,27631
168375,527,6686
168376,527,2105
