trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
12435,2019,IN,IN,VEGET,FOOD5,41140.51,2033692568.204,721.0,721.0,1716423.458,2016877549.649,237921.748,73766.771,12858376.398,1928530.18,296608.767,494241.825,105928.141,47598.881,1809312.108,2016877549.649,237921.748,706314.387,49432.847775
8465,2019,IN,IN,PADDY,PADDY,39823.7,1629398455.751,721.0,721.0,1821134.929,1613975730.22,145301.653,56236.18,11451504.412,1948548.356,392668.495,552082.654,87260.527,42459.064,1804121.429,1613975730.22,145301.653,762064.142,40915.295559
2510,2019,IN,IN,CONST,CONST,52878.07,1495220056.69,721.0,721.0,2139369.937,1471616065.013,184296.033,83362.993,18795510.73,2401451.984,342613.625,712540.552,29932.106,60808.813,2191004.006,1471616065.013,184296.033,949763.438,28276.751717
551,2019,IN,IN,AUXIL,FINAN,31244.68,1242414232.452,721.0,721.0,1199542.947,1230523066.486,145328.667,47347.997,8951001.113,1547945.243,202997.81,282350.065,87661.077,34458.049,1440921.641,1230523066.486,145328.667,436261.757,39764.024866
1138,2019,IN,IN,BITUM,BASIC,37608.28,1237217296.173,721.0,721.0,1583445.285,1221848945.949,112841.523,68111.444,11755957.729,1847994.243,257755.379,477111.066,100598.366,47657.762,1748686.239,1221848945.949,112841.523,357956.285,32897.470881
11875,2019,IN,IN,TEXTI,TEXTI,26651.44,1051732844.42,721.0,721.0,1022890.599,1040327827.294,80927.261,40281.436,8944565.907,1316351.923,158740.104,274072.173,62199.059,31252.052,1230777.824,1040327827.294,80927.261,291837.65,39462.514762
696,2019,IN,IN,BASIC,CONST,40111.81,1047632279.112,721.0,721.0,1655309.523,1006261548.372,431685.665,64355.751,37266570.869,1952808.932,325304.132,407781.392,109791.695,55649.009,1826087.862,1006261548.372,431685.665,1840230.969,26117.801194
5453,2019,IN,IN,GASDI,LANDT,33106.93,972236314.426,721.0,721.0,1211350.692,959580675.58,228305.051,58699.561,9566010.113,1591273.43,190225.826,310775.321,61490.99,43783.928,1483446.903,959580675.58,228305.051,543934.564,29366.549977
4409,2019,IN,IN,FABRI,CONST,17966.38,759590141.269,721.0,721.0,707876.837,751898160.081,69675.089,31233.047,6001286.004,881910.211,119656.271,211058.188,15403.195,22959.751,815277.551,751898160.081,69675.089,384199.134,42278.418984
12983,2019,IN,IN,WHOLE,WHOLE,19974.57,722367584.967,721.0,721.0,801596.017,713844044.44,66940.891,33426.594,6604891.278,1016685.747,146025.751,237103.005,38462.789,24627.467,951914.313,713844044.44,66940.891,421685.112,36164.362235
8766,2019,IN,IN,PFERT,PFERT,30103.86,693292287.67,721.0,721.0,1190040.128,681092864.058,159344.393,48805.786,9331826.726,1469406.578,234238.901,263492.177,99062.336,31530.188,1369408.776,681092864.058,159344.393,335269.21,23030.013017
5495,2019,IN,IN,GASDI,RAILW,21629.5,645923970.276,721.0,721.0,838712.047,637371100.726,74614.978,33646.982,6534392.41,1071503.133,105541.265,269007.164,37888.101,23696.285,995144.503,637371100.726,74614.978,262218.063,29863.102257
4616,2019,IN,IN,FINAN,REALE,17984.09,620811603.149,721.0,721.0,710798.218,613472282.534,101644.81,32622.599,5634711.619,859543.369,91293.284,249870.297,25165.402,22254.999,816327.975,613472282.534,101644.81,229400.507,34520.045393
6278,2019,IN,IN,LANDT,CONST,16418.39,600562400.013,721.0,721.0,678036.156,593390527.603,68561.967,23113.848,5624676.124,777484.313,105154.356,209305.5,35720.734,20443.386,713643.738,593390527.603,68561.967,126013.431,36578.64139
9157,2019,IN,IN,POSTT,POSTT,15566.22,584199746.36,721.0,721.0,634400.53,577978719.336,61663.734,24188.088,4742197.939,758576.733,94097.268,212879.442,18596.837,20233.216,699495.966,577978719.336,61663.734,331310.138,37529.968506
12871,2019,IN,IN,WHOLE,CONST,21383.1,554281475.099,721.0,721.0,871142.162,546278584.969,62852.08,35038.834,5964612.55,1069244.503,172812.776,249970.425,28795.059,30696.63,994702.837,546278584.969,62852.08,164525.402,25921.474206
10106,2019,IN,IN,RAWMI,DAIRY,11453.5,525944167.771,721.0,721.0,462626.224,521047373.426,41480.409,18814.527,3792542.15,581331.036,93919.311,112690.862,17467.01,16116.112,547650.297,521047373.426,41480.409,251121.674,45919.951785
1678,2019,IN,IN,CERAM,CONST,12000.49,502473961.822,721.0,721.0,522065.181,497990225.256,62049.411,19622.226,3323876.353,556123.395,87249.195,145758.798,39152.234,17636.97,513689.955,497990225.256,62049.411,135649.767,41871.120414
