trade_id,year,region1,region2,industry1,industry2,amount
67372,2019,WM,IN,CRUDE,GASDI,30325.93
67379,2019,WM,IN,CRUDE,MOTOR,18868.50
1626,2019,AU,IN,BITUM,BASIC,10887.92
67376,2019,WM,IN,CRUDE,LIQUE,7262.01
63707,2019,WF,IN,CRUDE,GASDI,6912.07
58335,2019,WA,IN,CRUDE,GASDI,6045.94
67375,2019,WM,IN,CRUDE,KEROS,5186.03
65335,2019,WL,IN,CRUDE,GASDI,4838.32
67380,2019,WM,IN,CRUDE,NAPHT,4834.54
63714,2019,WF,IN,CRUDE,MOTOR,4300.62
58342,2019,WA,IN,CRUDE,MOTOR,3761.72
68719,2019,WM,IN,PFERT,PFERT,3760.07
53937,2019,US,IN,CRUDE,GASDI,3726.62
40007,2019,MX,IN,CRUDE,GASDI,3708.14
1636,2019,AU,IN,BITUM,CEMEN,3443.97
57503,2019,WA,IN,BASIC,CONST,3403.67
69656,2019,ZA,IN,BITUM,BASIC,3138.06
65342,2019,WL,IN,CRUDE,MOTOR,3010.36
36679,2019,KR,IN,BASIC,CONST,2812.01
1816,2019,AU,IN,COKIN,COKEO,2412.55
53944,2019,US,IN,CRUDE,MOTOR,2318.67
40014,2019,MX,IN,CRUDE,MOTOR,2307.17
59325,2019,WA,IN,LANDT,ALUM1,2263.92
8633,2019,CN,IN,CHEM1,CHEM1,2197.12
53398,2019,US,IN,BITUM,BASIC,2063.59
1631,2019,AU,IN,BITUM,BITUM,1890.66
66736,2019,WM,IN,BASIC,CONST,1844.52
68418,2019,WM,IN,NATU1,GASDI,1834.80
8924,2019,CN,IN,FABRI,CONST,1834.71
58465,2019,WA,IN,FABRI,CONST,1820.90
8436,2019,CN,IN,BASIC,CONST,1732.05
63711,2019,WF,IN,CRUDE,LIQUE,1655.20
8706,2019,CN,IN,CHEM1,RUBBE,1579.00
58339,2019,WA,IN,CRUDE,LIQUE,1447.79
67373,2019,WM,IN,CRUDE,HEAVY,1341.51
27827,2019,ID,IN,BITUM,BASIC,1336.00
63710,2019,WF,IN,CRUDE,KEROS,1182.03
65339,2019,WL,IN,CRUDE,LIQUE,1158.61
68424,2019,WM,IN,NATU1,MOTOR,1141.59
67374,2019,WM,IN,CRUDE,KERO1,1121.21
63715,2019,WF,IN,CRUDE,NAPHT,1101.92
10066,2019,CN,IN,PFERT,PFERT,1045.29
58636,2019,WA,IN,FINAN,REALE,1036.57
58338,2019,WA,IN,CRUDE,KEROS,1033.91
69666,2019,ZA,IN,BITUM,CEMEN,992.60
58343,2019,WA,IN,CRUDE,NAPHT,963.84
67382,2019,WM,IN,CRUDE,NONSP,951.47
60057,2019,WA,IN,OFFIC,OFFIC,949.68
34137,2019,JP,IN,BASIC,CONST,948.30
10354,2019,CN,IN,RADIO,COMPU,930.90
60383,2019,WA,IN,PLAST,RUBBE,919.34
53941,2019,US,IN,CRUDE,LIQUE,892.40
58321,2019,WA,IN,CROPS,TOBAC,891.81
40011,2019,MX,IN,CRUDE,LIQUE,887.97
67269,2019,WM,IN,COPP1,BASIC,884.54
10395,2019,CN,IN,RADIO,POSTT,863.83
67388,2019,WM,IN,CRUDE,REFI1,851.64
68715,2019,WM,IN,PFERT,PADDY,831.46
65338,2019,WL,IN,CRUDE,KEROS,827.40
65343,2019,WL,IN,CRUDE,NAPHT,771.32
64369,2019,WF,IN,NATU1,GASDI,744.15
10626,2019,CN,IN,TEXTI,TEXTI,736.07
57628,2019,WA,IN,BITUM,BASIC,727.61
67508,2019,WM,IN,FABRI,CONST,692.07
30946,2019,IE,IN,RENTI,COMPU,683.88
9236,2019,CN,IN,GLASS,CONST,681.79
59022,2019,WA,IN,GLASS,CONST,661.03
68701,2019,WM,IN,PFERT,GASDI,658.91
37961,2019,KR,IN,PLAST,RUBBE,653.45
53408,2019,US,IN,BITUM,CEMEN,652.74
3381,2019,BE,IN,CHEMI,CONST,648.63
10163,2019,CN,IN,PLAST,RUBBE,647.24
53940,2019,US,IN,CRUDE,KEROS,637.29
40010,2019,MX,IN,CRUDE,KEROS,634.13
68691,2019,WM,IN,PFERT,CHEM1,624.15
53646,2019,US,IN,CHEM1,CHEM1,615.59
8589,2019,CN,IN,CERAM,CONST,600.66
53945,2019,US,IN,CRUDE,NAPHT,594.09
10445,2019,CN,IN,RUBBE,CONST,591.71
40015,2019,MX,IN,CRUDE,NAPHT,591.15
54203,2019,US,IN,FINAN,REALE,579.38
62243,2019,WA,IN,WOODW,CONST,571.20
18987,2019,FI,IN,COMPU,COMPU,563.61
9837,2019,CN,IN,OFFIC,OFFIC,562.12
5585,2019,BR,IN,CRUDE,GASDI,550.43
69661,2019,ZA,IN,BITUM,BITUM,544.92
58903,2019,WA,IN,FURNI,WOODW,537.99
58116,2019,WA,IN,CONST,COLLE,517.47
61388,2019,WA,IN,RUBBE,CONST,502.09
36995,2019,KR,IN,FABRI,CONST,500.96
59731,2019,WA,IN,MOTO1,MOTO1,499.05
27783,2019,ID,IN,BASIC,CONST,487.43
34592,2019,JP,IN,COPP1,BASIC,478.84
55525,2019,US,IN,PLAST,RUBBE,472.36
51744,2019,TR,IN,CRUDE,GASDI,468.22
64375,2019,WF,IN,NATU1,MOTOR,463.00
66959,2019,WM,IN,CEMEN,CONST,460.61
53718,2019,US,IN,CHEM1,RUBBE,442.40
68422,2019,WM,IN,NATU1,LIQUE,439.37
12187,2019,DE,IN,AIRTR,SUPPO,438.28
67813,2019,WM,IN,GASDI,CONST,438.23
8722,2019,CN,IN,CHEM1,WOODW,432.52
55442,2019,US,IN,PLANT,TEXTI,428.67
67874,2019,WM,IN,GASDI,RAILW,428.41
47310,2019,RU,IN,CRUDE,GASDI,427.91
27836,2019,ID,IN,BITUM,CEMEN,422.59
60337,2019,WA,IN,PLAST,ELECT,416.59
37392,2019,KR,IN,LEAD1,ELECT,411.11
68709,2019,WM,IN,PFERT,MOTOR,409.94
8657,2019,CN,IN,CHEM1,HEALT,406.35
67364,2019,WM,IN,CRUDE,BITU1,401.22
67026,2019,WM,IN,CHEM1,CHEM1,393.07
9735,2019,CN,IN,NONME,CONST,390.35
10632,2019,CN,IN,TEXTI,WEARI,388.08
59795,2019,WA,IN,MOTOR,GASDI,386.48
57305,2019,WA,IN,ALUM1,MACHI,380.09
53318,2019,US,IN,BASIC,CONST,373.64
8654,2019,CN,IN,CHEM1,FURNI,369.72
37487,2019,KR,IN,MOTO1,MOTO1,363.91
60843,2019,WA,IN,RADIO,COMPU,363.17
8694,2019,CN,IN,CHEM1,PLAST,360.49
8615,2019,CN,IN,CHEM1,ALUM1,359.01
53403,2019,US,IN,BITUM,BITUM,358.34
61850,2019,WA,IN,TEXTI,TEXTI,349.38
10384,2019,CN,IN,RADIO,MOTO1,348.62
67842,2019,WM,IN,GASDI,LANDT,346.50
55043,2019,US,IN,NATU1,GASDI,345.73
35689,2019,JP,IN,PLAST,RUBBE,344.25
16316,2019,DK,IN,SEACO,MOTO1,343.05
5591,2019,BR,IN,CRUDE,MOTOR,342.47
55676,2019,US,IN,PREC1,FURNI,341.89
60882,2019,WA,IN,RADIO,POSTT,337.00
58922,2019,WA,IN,GASDI,CONST,336.82
