trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_intensity
59325,2019,WA,IN,LANDT,ALUM1,2263.92,17745646.584,1.0,1.0,17745646.584,17745646.584,7838.460098
58116,2019,WA,IN,CONST,COLLE,517.47,14590568.742,3.0,3.0,14590568.742,14590568.742,28195.970282
62070,2019,WA,IN,VEGET,FOOD5,305.56,13014649.721,2.0,2.0,13014649.721,13014649.721,42592.779556
58321,2019,WA,IN,CROPS,TOBAC,891.81,11619876.837,2.0,2.0,11619876.837,11619876.837,13029.543106
64824,2019,WF,IN,VEGET,FOOD5,187.49,11505447.533,6.0,6.0,11505447.533,11505447.533,61365.659678
8436,2019,CN,IN,BASIC,CONST,1732.05,9319883.079,1.0,1.0,9319883.079,9319883.079,5380.839513
10626,2019,CN,IN,TEXTI,TEXTI,736.07,8312189.86,2.0,2.0,8312189.86,8312189.86,11292.662192
10445,2019,CN,IN,RUBBE,CONST,591.71,6794246.362,2.0,2.0,6794246.362,6794246.362,11482.392324
62085,2019,WA,IN,VEGET,VEGET,143.0,6090669.023,2.0,2.0,6090669.023,6090669.023,42592.09107
64836,2019,WF,IN,VEGET,VEGET,87.74,5384384.089,6.0,6.0,5384384.089,5384384.089,61367.495886
10354,2019,CN,IN,RADIO,COMPU,930.9,4859948.708,1.0,1.0,4859948.708,4859948.708,5220.69901
10395,2019,CN,IN,RADIO,POSTT,863.83,4509763.692,1.0,1.0,4509763.692,4509763.692,5220.661116
10632,2019,CN,IN,TEXTI,WEARI,388.08,4382404.283,2.0,2.0,4382404.283,4382404.283,11292.528043
62155,2019,WA,IN,WHOLE,COMPU,165.42,4275470.746,2.0,2.0,4275470.746,4275470.746,25846.153706
62062,2019,WA,IN,VEGET,BEVER,62.97,2681983.287,2.0,2.0,2681983.287,2681983.287,42591.444926
58315,2019,WA,IN,CROPS,RAWMI,202.49,2638341.517,2.0,2.0,2638341.517,2638341.517,13029.490429
62153,2019,WA,IN,WHOLE,COKE1,94.57,2444320.037,2.0,2.0,2444320.037,2444320.037,25846.674812
64817,2019,WF,IN,VEGET,BEVER,38.64,2370975.681,6.0,6.0,2370975.681,2370975.681,61360.65427
62146,2019,WA,IN,WHOLE,BLAST,86.04,2223729.069,2.0,2.0,2223729.069,2223729.069,25845.293689
58688,2019,WA,IN,FISHF,RETAI,103.34,2022425.748,2.0,2.0,2022425.748,2022425.748,19570.599458
62171,2019,WA,IN,WHOLE,HOTEL,75.21,1943985.1,2.0,2.0,1943985.1,1943985.1,25847.428533
60674,2019,WA,IN,PUBLI,ELEC2,334.52,1930817.378,1.0,1.0,1930817.378,1930817.378,5771.904155
61514,2019,WA,IN,SALEM,MOTO1,270.86,1845575.56,1.0,1.0,1845575.56,1845575.56,6813.761943
10384,2019,CN,IN,RADIO,MOTO1,348.62,1820022.985,1.0,1.0,1820022.985,1820022.985,5220.649948
63695,2019,WF,IN,CROPS,TOBAC,135.38,1765443.866,2.0,2.0,1765443.866,1765443.866,13040.654942
10480,2019,CN,IN,RUBBE,MOTO1,145.3,1668344.963,2.0,2.0,1668344.963,1668344.963,11482.071321
58286,2019,WA,IN,CROPS,FOOD5,117.36,1529155.838,2.0,2.0,1529155.838,1529155.838,13029.616888
58268,2019,WA,IN,CROPS,ANIMA,116.11,1512863.692,2.0,2.0,1512863.692,1512863.692,13029.57275
10400,2019,CN,IN,RADIO,RADIO,281.68,1470580.916,1.0,1.0,1470580.916,1470580.916,5220.750199
10512,2019,CN,IN,RUBBE,RUBBE,127.48,1463776.332,2.0,2.0,1463776.332,1463776.332,11482.399843
62072,2019,WA,IN,VEGET,HOTEL,30.43,1296049.195,2.0,2.0,1296049.195,1296049.195,42591.166448
59350,2019,WA,IN,LANDT,CONST,164.77,1291521.302,1.0,1.0,1291521.302,1291521.302,7838.327984
10367,2019,CN,IN,RADIO,FINAN,225.99,1179832.483,1.0,1.0,1179832.483,1179832.483,5220.728718
64825,2019,WF,IN,VEGET,HOTEL,18.67,1145757.0,6.0,6.0,1145757.0,1145757.0,61368.880557
67182,2019,WM,IN,CONST,COLLE,118.01,991295.825,1.0,1.0,991295.825,991295.825,8400.100203
62203,2019,WA,IN,WHOLE,REALE,35.48,917130.872,2.0,2.0,917130.872,917130.872,25849.2354
9444,2019,CN,IN,MACHI,CONST,81.95,880923.164,2.0,2.0,880923.164,880923.164,10749.52
10560,2019,CN,IN,TEXTI,CHEM1,76.14,859793.325,2.0,2.0,859793.325,859793.325,11292.268519
62144,2019,WA,IN,WHOLE,BIOG1,32.99,852625.285,2.0,2.0,852625.285,852625.285,25844.961655
10578,2019,CN,IN,TEXTI,FURNI,74.35,839596.157,2.0,2.0,839596.157,839596.157,11292.483618
53511,2019,US,IN,BUSIN,FINAN,138.72,802518.895,1.0,1.0,802518.895,802518.895,5785.170812
9478,2019,CN,IN,MACHI,MACHI,73.58,790901.626,2.0,2.0,790901.626,790901.626,10748.866893
55614,2019,US,IN,POSTT,POSTT,155.46,789096.201,1.0,1.0,789096.201,789096.201,5075.879332
10388,2019,CN,IN,RADIO,OFFIC,140.7,734539.779,1.0,1.0,734539.779,734539.779,5220.609659
10381,2019,CN,IN,RADIO,MACHI,139.55,728530.843,1.0,1.0,728530.843,728530.843,5220.572146
59373,2019,WA,IN,LANDT,FURNI,92.12,722040.074,1.0,1.0,722040.074,722040.074,7838.038146
53567,2019,US,IN,BUSIN,REALE,120.47,696930.959,1.0,1.0,696930.959,696930.959,5785.099685
10347,2019,CN,IN,RADIO,BUSIN,131.08,684320.344,1.0,1.0,684320.344,684320.344,5220.631248
62187,2019,WA,IN,WHOLE,NFERT,26.36,681341.998,2.0,2.0,681341.998,681341.998,25847.572003
61282,2019,WA,IN,RETA1,MOTO1,48.91,676763.88,2.0,2.0,676763.88,676763.88,13836.922511
53495,2019,US,IN,BUSIN,COMPU,110.7,640436.12,1.0,1.0,640436.12,640436.12,5785.330804
8455,2019,CN,IN,BASIC,MOTO1,117.41,631762.776,1.0,1.0,631762.776,631762.776,5380.82596
62169,2019,WA,IN,WHOLE,GASWO,24.27,627282.348,2.0,2.0,627282.348,627282.348,25845.997033
10398,2019,CN,IN,RADIO,PUBLI,118.02,616152.639,1.0,1.0,616152.639,616152.639,5220.747661
53485,2019,US,IN,BUSIN,BUSIN,106.35,615245.681,1.0,1.0,615245.681,615245.681,5785.102783
10459,2019,CN,IN,RUBBE,FURNI,53.53,614685.293,2.0,2.0,614685.293,614685.293,11483.00566
61269,2019,WA,IN,RETA1,HOTEL,43.09,596355.792,2.0,2.0,596355.792,596355.792,13839.772383
59356,2019,WA,IN,LANDT,DISTR,73.08,572843.393,1.0,1.0,572843.393,572843.393,7838.579543
53563,2019,US,IN,BUSIN,PUBLI,98.64,570666.875,1.0,1.0,570666.875,570666.875,5785.349503
10440,2019,CN,IN,RUBBE,CHEM1,46.55,534530.357,2.0,2.0,534530.357,534530.357,11482.929259
59365,2019,WA,IN,LANDT,FABRI,67.22,526886.638,1.0,1.0,526886.638,526886.638,7838.24216
62184,2019,WA,IN,WHOLE,MEMBE,20.09,519303.279,2.0,2.0,519303.279,519303.279,25848.844151
10473,2019,CN,IN,RUBBE,MACHI,43.27,496806.511,2.0,2.0,496806.511,496806.511,11481.54636
58299,2019,WA,IN,CROPS,MEATA,37.99,495011.153,2.0,2.0,495011.153,495011.153,13030.038247
59452,2019,WA,IN,LANDT,WHOLE,63.02,494005.823,1.0,1.0,494005.823,494005.823,7838.873738
10467,2019,CN,IN,RUBBE,LANDT,42.2,484578.229,2.0,2.0,484578.229,484578.229,11482.896422
53558,2019,US,IN,BUSIN,POSTT,83.28,481782.199,1.0,1.0,481782.199,481782.199,5785.088845
9483,2019,CN,IN,MACHI,MOTO1,44.22,475289.059,2.0,2.0,475289.059,475289.059,10748.282655
10374,2019,CN,IN,RADIO,HEALT,90.98,474982.561,1.0,1.0,474982.561,474982.561,5220.735997
53592,2019,US,IN,BUSIN,WHOLE,79.81,461729.901,1.0,1.0,461729.901,461729.901,5785.364002
59442,2019,WA,IN,LANDT,TEXTI,58.68,459932.594,1.0,1.0,459932.594,459932.594,7837.978766
8452,2019,CN,IN,BASIC,MACHI,85.29,458945.99,1.0,1.0,458945.99,458945.99,5381.005862
58108,2019,WA,IN,CONST,BUSIN,16.26,458359.015,3.0,3.0,458359.015,458359.015,28189.361316
59444,2019,WA,IN,LANDT,TRAN1,57.29,449059.256,1.0,1.0,449059.256,449059.256,7838.35322
8443,2019,CN,IN,BASIC,FABRI,79.71,428904.167,1.0,1.0,428904.167,428904.167,5380.807515
10489,2019,CN,IN,RUBBE,OFFIC,36.56,419776.467,2.0,2.0,419776.467,419776.467,11481.850848
58278,2019,WA,IN,CROPS,CONST,31.21,406682.39,2.0,2.0,406682.39,406682.39,13030.51554
63690,2019,WF,IN,CROPS,RAWMI,30.74,400851.396,2.0,2.0,400851.396,400851.396,13040.058426
10518,2019,CN,IN,RUBBE,TEXTI,34.16,392189.696,2.0,2.0,392189.696,392189.696,11480.962998
10404,2019,CN,IN,RADIO,RENTI,75.09,392026.072,1.0,1.0,392026.072,392026.072,5220.749394
58292,2019,WA,IN,CROPS,HOTEL,30.08,391938.814,2.0,2.0,391938.814,391938.814,13029.880785
10563,2019,CN,IN,TEXTI,CONST,32.86,371035.063,2.0,2.0,371035.063,371035.063,11291.389623
58185,2019,WA,IN,CONST,REALE,12.07,340344.231,3.0,3.0,340344.231,340344.231,28197.533637
62183,2019,WA,IN,WHOLE,MEDIC,13.08,338129.003,2.0,2.0,338129.003,338129.003,25850.841208
62158,2019,WA,IN,WHOLE,ELEC2,12.88,332991.754,2.0,2.0,332991.754,332991.754,25853.39705
10403,2019,CN,IN,RADIO,RECRE,63.58,331924.432,1.0,1.0,331924.432,331924.432,5220.579302
58183,2019,WA,IN,CONST,RADIO,11.49,323939.521,3.0,3.0,323939.521,323939.521,28193.1698
58273,2019,WA,IN,CROPS,BUSIN,24.17,314934.21,2.0,2.0,314934.21,314934.21,13029.963177
62180,2019,WA,IN,WHOLE,MEATA,11.88,306971.278,2.0,2.0,306971.278,306971.278,25839.333165
59328,2019,WA,IN,LANDT,BASIC,38.13,298899.821,1.0,1.0,298899.821,298899.821,7838.967244
10402,2019,CN,IN,RADIO,REALE,56.79,296460.325,1.0,1.0,296460.325,296460.325,5220.290984
59399,2019,WA,IN,LANDT,MOTO1,37.69,295437.983,1.0,1.0,295437.983,295437.983,7838.630486
10680,2019,CN,IN,VEGET,FOOD5,7.32,294282.495,2.0,2.0,294282.495,294282.495,40202.526639
58269,2019,WA,IN,CROPS,BEVER,22.41,292014.262,2.0,2.0,292014.262,292014.262,13030.53378
59414,2019,WA,IN,LANDT,PFERT,36.87,288973.242,1.0,1.0,288973.242,288973.242,7837.625224
62175,2019,WA,IN,WHOLE,LEAD1,11.07,286188.099,2.0,2.0,286188.099,286188.099,25852.583469
