trade_id,factor_id,level
5847,8,737492720
5965,8,2214651160
5966,8,792510042
5967,8,735228615
5968,8,205803146566
5969,8,1321534299
5970,8,609550372
5971,8,20827987491
5972,8,8657179575
5973,8,3433139450
5974,8,30064189402
5975,8,20112103330
5976,8,25191942820
5977,8,2308857319
5978,8,4232874025
5979,8,21215551463
5980,8,4191118827
5981,8,3285225178
5982,8,27190892952
5983,8,8895838680
5984,8,2275726430
5985,8,4218833894
5986,8,19641285753
5987,8,1205932654
5988,8,5773205851
5989,8,4365136104
5990,8,15144400455
5991,8,697028453
5992,8,3463167951
5993,8,5016067965
5994,8,774913651
5995,8,3359916409
5996,8,10791197115
5997,8,719402449
5998,8,3927075941
5999,8,6207854455
6000,8,1280755075
6001,8,75819694054
6002,8,7817540643
6003,8,4527018304
6004,8,54240818996
6005,8,8578636856
6006,8,21539178656
6007,8,7317731163
6008,8,2820013589
6009,8,4215949728
6010,8,8289445376
6011,8,9906993492
6012,8,2444919503
6013,8,12058465099
6014,8,3353616048
6015,8,1241677700
6016,8,1221382635
6017,8,6320109868
6018,8,743222966
6019,8,17283396037
6020,8,26314593281
8425,414,287639355047
8425,412,10996893789
8426,414,5383788533140
8426,412,205830494478
8427,414,63239323149670
8427,412,2417736334600
8428,414,93035740503
8428,412,3556899078
8429,414,31359357367
8429,412,1198916338
8430,414,34040229310
8430,412,1301410185
8431,414,731412520967
8431,412,27963022680
8432,414,434725583057
8432,412,16620225919
8433,414,481524165620
8433,412,18409407521
8434,414,34131662128
8434,412,1304905802
8435,414,134136892787
8435,412,5128259180
8436,414,2505964929831382
8436,412,95806883475781
8437,414,4559703527538
8437,412,174324460549
8438,414,18288778353923
8438,412,699208051881
8439,414,164519719686
8439,412,6289841261
8440,414,22986774436
8440,412,878819649
8441,414,24654950278
8441,412,942596570
8442,414,59808413387182
8442,412,2286567391285
8443,414,115325352466575
8443,412,4409065136563
8444,414,6725970772801
8444,412,257144180439
8445,414,60704071957856
8445,412,2320809792403
8446,414,14120581043303
8446,412,539851474584
8447,414,1374374587160
8447,412,52544448790
8448,414,363775269854
8448,412,13907686606
8449,414,85720935660
8449,412,3277242868
8450,414,753856048449
8450,412,28821073165
8451,414,36657450726
8451,412,1401470575
8452,414,123403109886710
8452,412,4717890194202
8453,414,7741336140737
8453,412,295963156050
8454,414,40853863115
8454,412,1561905858
8455,414,169870731910640
8455,412,6494418666587
8456,414,67005311375
8456,412,2561715842
8457,414,333613554072
8457,412,12754557943
8458,414,2060183065291
8458,412,78763958955
8459,414,2273089978266
8459,412,86903716842
8460,414,25462780904106
8460,412,973481174460
8461,414,444487976541
8461,412,16993457198
8462,414,160514838482
8462,412,6136728509
8463,414,55886216393
8463,412,2136615783
8464,414,9225026979431
8464,412,352686932829
8465,414,3749829821523
8465,412,143361746403
8466,414,462383774948
8466,412,17677641024
8467,414,25838841776014
8467,412,987858558480
8468,414,50705701184
8468,412,1938556740
8469,414,131225879765
8469,412,5016966687
8470,414,4150646597759
8470,412,158685586620
8471,414,3268821910477
8471,412,124972076086
8472,414,161868224593
8472,412,6188470536
8473,414,50414798214
