trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
3130,2019,IT,IT,CONST,CONST,32103.86,1586985224.36,721.0,721.0,1339405.331,1573863680.617,185661.444,57563.654,10033991.21,1504922.105,231457.664,385679.962,82660.672,37143.628,1411890.68,1573863680.617,185661.444,551170.081,49432.847775
1704,2019,IT,IT,BUSIN,BUSIN,39386.94,1113734723.292,721.0,721.0,1593538.405,1096152973.353,137275.373,62094.044,14000088.381,1788753.735,255200.356,530745.391,22295.331,45294.261,1631998.734,1096152973.353,137275.373,707444.042,28276.751717
5888,2019,IT,IT,FABRI,FABRI,17308.95,708200805.065,721.0,721.0,791537.035,701497480.535,63153.827,24442.461,4977275.273,846915.934,170669.208,239956.886,37926.865,18454.383,784142.298,701497480.535,63153.827,331223.119,40915.295559
1856,2019,IT,IT,BUSIN,WHOLE,14484.68,575969175.697,721.0,721.0,556094.533,570456565.747,67372.725,21949.995,4149582.803,717609.894,94107.487,130894.294,40638.683,15974.361,667994.963,570456565.747,67372.725,202246.012,39764.024866
1718,2019,IT,IT,BUSIN,CONST,16979.31,558576356.299,721.0,721.0,714890.667,551637884.701,50945.462,30750.817,5307555.959,834328.694,116370.876,215405.137,45417.946,21516.43,789493.317,551637884.701,50945.462,161609.378,32897.470881
18509,2019,IT,IT,SUPPO,WHOLE,12190.83,481080808.832,721.0,721.0,467887.867,475863956.575,37017.53,18425.426,4091399.279,602122.156,72610.471,125365.356,28450.926,14295.23,562979.082,475863956.575,37017.53,133491.593,39462.514762
5922,2019,IT,IT,FABRI,MACHI,18126.78,462106763.265,721.0,721.0,748044.816,454735942.103,97540.738,29082.77,5613666.162,882486.676,147006.99,184278.984,49615.559,25148.138,825220.625,454735942.103,97540.738,291203.246,25493.041967
8268,2019,IT,IT,HEALT,HEALT,14598.62,428711103.824,721.0,721.0,534149.45,423130554.302,100671.934,25883.783,4218166.606,701677.749,83880.763,137037.497,27114.674,19306.681,654131.254,423130554.302,100671.934,239849.905,29366.549977
15979,2019,IT,IT,REALE,RETA1,10083.53,426315706.18,721.0,721.0,397291.904,421998624.883,39104.753,17529.372,3368188.108,494967.159,67156.411,118455.224,8644.957,12886.032,457569.953,421998624.883,39104.753,215629.609,42278.418984
18497,2019,IT,IT,SUPPO,SUPPO,11300.7,408682608.308,721.0,721.0,453506.439,403860378.121,37872.101,18911.241,3736746.016,575194.391,82614.705,134142.058,21760.491,13933.097,538549.67,403860378.121,37872.101,238570.189,36164.362235
16139,2019,IT,IT,RECRE,RECRE,12140.44,362551201.17,721.0,721.0,470761.381,357750553.924,41880.703,18885.743,3667694.537,601424.882,59239.344,150991.254,21266.243,13300.508,558565.484,357750553.924,41880.703,147180.594,29863.102257
1818,2019,IT,IT,BUSIN,PUBLI,10173.24,351180706.592,721.0,721.0,402084.335,347028999.719,57498.436,18453.952,3187443.659,486226.492,51642.785,141346.629,14235.564,12589.208,461780.407,347028999.719,57498.436,129767.278,34520.045393
1823,2019,IT,IT,BUSIN,REALE,7522.31,345424112.513,721.0,721.0,303838.815,342208047.112,27243.07,12356.808,2490826.188,381800.521,61683.343,74011.926,11471.8,10584.571,359680.037,342208047.112,27243.07,164929.068,45919.951785
18431,2019,IT,IT,SUPPO,LANDT,8620.95,323543981.993,721.0,721.0,351346.393,320098626.414,34150.871,13395.949,2626344.181,420118.185,52113.348,117897.796,10299.379,11205.646,387397.823,320098626.414,34150.871,183487.586,37529.968506
1955,2019,IT,IT,CEMEN,CONST,8828.1,322919904.056,721.0,721.0,364577.221,319063618.097,36865.485,12428.22,3024364.952,418050.081,56541.06,112542.696,19206.89,10992.324,383723.269,319063618.097,36865.485,67756.897,36578.64139
1756,2019,IT,IT,BUSIN,HEALT,7625.58,319291578.41,721.0,721.0,331740.604,316442437.093,39428.619,12468.729,2112120.842,353382.523,55441.546,92620.833,24878.858,11207.22,326418.658,316442437.093,39428.619,86197.16,41871.120414
7130,2019,IT,IT,FOOD5,HOTEL,11677.83,303874449.889,721.0,721.0,475751.883,298335996.554,34325.047,19135.558,3257419.709,1751821.139,94377.252,136514.917,15725.681,16764.175,1629694.099,298335996.554,34325.047,89851.316,26021.482578
1829,2019,IT,IT,BUSIN,RETA1,12427.98,286216541.178,721.0,721.0,491292.31,281180170.671,65783.223,20148.822,3852521.103,606625.049,96702.429,108779.256,40896.574,13016.821,565342.281,281180170.671,65783.223,138411.454,23030.013017
3939,2019,IT,IT,DISTR,DISTR,8408.07,280363245.455,721.0,721.0,295089.935,277171251.186,25106.301,15825.432,2456158.664,399813.936,62409.494,57983.701,7808.98,9064.089,365665.264,277171251.186,25106.301,139601.507,33344.542262
14547,2019,IT,IT,POSTT,POSTT,6137.02,275854603.299,721.0,721.0,249556.187,273228551.934,23216.292,9501.786,2042469.952,301307.147,52566.678,58165.808,14565.632,8456.101,281746.59,273228551.934,23216.292,92303.713,44949.275593
9603,2019,IT,IT,LANDT,SUPPO,7760.66,275822151.797,721.0,721.0,301924.847,272709632.397,20166.922,11841.179,2404117.763,374468.689,51712.317,81239.058,11650.033,10126.085,350523.475,272709632.397,20166.922,129277.886,35541.068904
1717,2019,IT,IT,BUSIN,COMPU,12102.79,269712450.174,721.0,721.0,446902.748,264864049.518,38959.39,20223.244,3811728.952,530586.323,69246.689,101458.607,40121.456,13880.073,496015.65,264864049.518,38959.39,230814.777,22285.146662
15913,2019,IT,IT,REALE,HOTEL,6046.67,256166414.904,721.0,721.0,244914.638,253888409.21,27495.341,10259.705,1695609.144,299726.867,46678.853,66742.491,11988.511,7455.804,281001.161,253888409.21,27495.341,90584.619,42364.87437
645,2019,IT,IT,AUXIL,FINAN,9383.12,244577902.667,721.0,721.0,367362.034,241071878.227,38694.561,15332.063,2620407.612,464228.17,59359.463,86014.604,24858.71,12133.712,432414.831,241071878.227,38694.561,108336.706,26065.733217
7121,2019,IT,IT,FOOD5,FOOD5,7461.69,243997278.99,721.0,721.0,292077.079,240418000.033,34478.466,10366.254,2134993.262,1107363.896,50078.966,63109.978,24633.324,9723.933,1045722.227,240418000.033,34478.466,82222.505,32700.002143
666,2019,IT,IT,AUXIL,INSUR,6145.49,242213179.771,721.0,721.0,258821.064,239707224.957,11719.489,10628.31,1924129.412,300656.54,58308.606,61155.418,6751.73,8125.862,272488.451,239707224.957,11719.489,100520.526,39413.159857
2961,2019,IT,IT,COMPU,COMPU,7194.99,234257006.094,721.0,721.0,273798.154,231300743.482,27946.074,13688.467,2269689.482,371140.436,22142.123,102194.689,5357.451,8755.252,345501.33,231300743.482,27946.074,102446.398,32558.350476
6140,2019,IT,IT,FINAN,REALE,6414.11,234191769.5,721.0,721.0,269156.249,231473524.332,30496.647,10394.194,2072393.458,335804.619,50525.304,77624.371,9401.037,8373.775,314033.354,231473524.332,30496.647,77997.196,36511.966508
9617,2019,IT,IT,LANDT,WHOLE,7269.36,228346832.428,721.0,721.0,316707.636,225304033.015,24186.237,12470.808,2301523.879,387910.853,62030.535,94892.719,10617.866,9733.811,363427.874,225304033.015,24186.237,85560.053,31412.233323
10396,2019,IT,IT,MACHI,MACHI,7624.83,225207937.115,721.0,721.0,303661.697,222063325.302,29296.851,11879.247,2451983.759,347790.259,52729.339,81616.285,11708.0,9694.043,318530.291,222063325.302,29296.851,124997.482,29536.125673
20418,2019,IT,IT,WHOLE,WHOLE,6192.53,208952406.968,721.0,721.0,253140.401,206303365.927,23041.771,10791.161,2055270.194,306797.514,48176.287,69069.231,5716.793,6038.643,288934.316,206303365.927,23041.771,142524.467,33742.655581
14408,2019,IT,IT,PLAST,RUBBE,5283.41,201918849.123,721.0,721.0,203129.955,199823115.477,8009.285,9768.458,1622707.502,252118.446,46482.105,45358.195,10335.847,6587.311,235274.832,199823115.477,8009.285,102589.717,38217.524122
1758,2019,IT,IT,BUSIN,HOTEL,7562.09,198304328.541,721.0,721.0,319178.074,195363202.452,35239.557,12155.602,2200187.044,374365.812,52586.462,102949.389,8773.324,10557.813,351360.35,195363202.452,35239.557,102144.527,26223.481675
18485,2019,IT,IT,SUPPO,RETA1,5502.73,189999832.492,721.0,721.0,222797.124,187632812.495,32496.656,10836.367,1846088.42,254801.431,45441.299,67572.459,2079.9,7096.483,238318.104,187632812.495,32496.656,75777.136,34528.285504
14892,2019,IT,IT,PRINT,BUSIN,4726.65,188523612.982,721.0,721.0,188044.602,186738482.424,20526.438,7833.508,1327258.652,241467.357,35014.932,50932.113,5649.701,6395.174,226958.242,186738482.424,20526.438,62324.684,39885.249168
5930,2019,IT,IT,FABRI,MOTO1,6277.96,187403687.783,721.0,721.0,270971.099,184800831.553,25275.206,10107.482,1991877.559,304624.884,57570.768,80696.961,7869.269,8168.965,284881.378,184800831.553,25275.206,115671.641,29851.048395
20801,2019,IT,IT,WOODW,FURNI,4451.91,180109598.578,721.0,721.0,200332.803,178260019.081,15085.056,6867.837,1410548.865,216744.935,36034.613,70596.039,8185.589,4609.664,201481.843,178260019.081,15085.056,73502.354,40456.702534
6146,2019,IT,IT,FINAN,RETA1,5661.28,173914837.677,721.0,721.0,219705.422,171806626.191,21829.91,8959.012,1579517.093,278200.05,45977.843,53892.3,8333.205,7615.771,259642.241,171806626.191,21829.91,92583.093,30720.055831
15775,2019,IT,IT,RAWMI,DAIRY,4705.29,173417945.378,721.0,721.0,188650.976,171288227.355,17998.623,7522.767,1694710.652,220835.006,36479.035,54220.198,4607.023,5821.955,206084.657,171288227.355,17998.623,86811.683,36855.952636
6083,2019,IT,IT,FINAN,INSUR,3902.8,169515308.821,721.0,721.0,143794.664,167892549.905,10965.793,6874.395,1261294.549,199829.514,28694.478,36105.262,2215.727,4822.156,185859.151,167892549.905,10965.793,68737.737,43434.280214
1842,2019,IT,IT,BUSIN,SUPPO,5201.45,164009673.418,721.0,721.0,193983.504,161846949.447,25401.434,8266.477,1683488.895,251583.662,31767.399,52764.462,12859.422,6101.38,231967.436,161846949.447,25401.434,37284.247,31531.529365
9531,2019,IT,IT,LANDT,LANDT,6510.24,156493490.126,721.0,721.0,259300.99,153723457.693,28328.32,10175.446,2166667.818,305559.859,36774.42,84924.155,6055.891,7546.825,283220.711,153723457.693,28328.32,133774.153,24038.05238
6062,2019,IT,IT,FINAN,FINAN,5570.81,153413012.335,721.0,721.0,219153.651,151109855.628,19991.875,9315.495,1774469.349,280226.337,40793.148,58822.695,9705.795,6094.384,261335.107,151109855.628,19991.875,130976.627,27538.726385
18972,2019,IT,IT,TEXTI,TEXTI,4865.55,153285917.684,721.0,721.0,188010.317,151392404.815,21725.705,7458.207,1434154.474,242164.165,35899.708,41405.631,11613.416,6231.681,225054.829,151392404.815,21725.705,107482.376,31504.335108
1824,2019,IT,IT,BUSIN,RECRE,6032.59,149920167.791,721.0,721.0,255075.712,147390085.807,28555.577,8896.838,1931401.39,306152.468,49685.66,77637.103,8123.287,8883.403,291957.496,147390085.807,28555.577,145128.071,24851.708436
1077,2019,IT,IT,BEVER,HOTEL,4156.4,148236437.193,721.0,721.0,166480.015,146663915.829,19442.612,6415.352,1186791.325,193392.06,24912.234,49472.15,9218.608,5378.541,178588.277,146663915.829,19442.612,44205.911,35664.622556
3618,2019,IT,IT,DAIRY,DAIRY,5092.64,145568846.281,721.0,721.0,202077.152,143654687.855,16587.389,7433.619,1440096.371,247963.896,26684.827,68075.82,6894.246,6518.519,233557.362,143654687.855,16587.389,93544.952,28584.161904
16465,2019,IT,IT,RENTI,WHOLE,3235.19,144783411.009,721.0,721.0,135051.526,143541829.068,15796.534,3840.687,937119.103,149774.09,20250.926,41519.85,8227.279,4258.934,139942.067,143541829.068,15796.534,65748.198,44752.676353
15860,2019,IT,IT,REALE,BUSIN,4948.6,144725489.208,721.0,721.0,210890.207,142763380.538,14465.289,8681.388,1488612.046,239459.741,41790.567,61510.339,8169.713,6108.101,219809.355,142763380.538,14465.289,71345.27,29245.744091
1783,2019,IT,IT,BUSIN,MOTO1,4569.78,136045051.705,721.0,721.0,199741.449,134439001.49,15043.681,7585.552,1154629.115,229050.418,41565.714,54686.367,9978.92,6412.372,216279.523,134439001.49,15043.681,86858.805,29770.59108
6135,2019,IT,IT,FINAN,PUBLI,2946.57,132084669.603,721.0,721.0,140370.965,130869920.702,12001.257,5208.392,905120.225,152048.061,32723.528,39912.676,6103.738,4386.034,142812.255,130869920.702,12001.257,39120.549,44826.584674
9895,2019,IT,IT,LEATH,LEATH,4525.96,131942683.489,721.0,721.0,194524.675,130150070.456,22239.367,6838.561,1351978.997,217031.432,29735.28,58786.995,13534.659,4720.183,202239.757,130150070.456,22239.367,68168.571,29152.419263
9590,2019,IT,IT,LANDT,RETA1,4863.39,128004742.68,721.0,721.0,195238.651,126062259.305,8939.315,8032.462,1497917.805,232355.142,28126.704,55154.71,12792.349,5370.481,216997.285,126062259.305,8939.315,50883.292,26320.065362
1739,2019,IT,IT,BUSIN,FABRI,4005.88,126228326.345,721.0,721.0,147468.313,124799342.339,21722.943,7164.636,1049917.441,202710.673,20550.985,37921.007,7844.607,4901.81,189679.206,124799342.339,21722.943,17447.713,31510.760768
17102,2019,IT,IT,RUBBE,RUBBE,3693.72,125337222.848,721.0,721.0,151116.812,123815674.743,13223.779,5944.52,1181489.567,169773.427,26578.06,45238.749,5768.44,4734.494,160610.964,123815674.743,13223.779,47012.471,33932.518666
16334,2019,IT,IT,RENTI,CONST,3650.69,120325867.046,721.0,721.0,157012.8,118796611.132,21292.543,6760.437,1169790.033,174400.101,30444.611,44186.054,7927.438,5208.113,165453.078,118796611.132,21292.543,76007.802,32959.760222
1832,2019,IT,IT,BUSIN,SALEM,3377.98,119810432.006,721.0,721.0,120860.582,118457713.668,16179.393,5370.929,1052863.266,157444.168,22972.299,24143.387,6940.584,5199.267,147486.064,118457713.668,16179.393,63618.201,35468.070269
6172,2019,IT,IT,FINAN,WHOLE,2978.52,118500464.764,721.0,721.0,115612.878,117310911.469,9491.88,5159.202,924067.609,135221.726,17980.78,33220.827,4838.682,3441.651,126359.88,117310911.469,9491.88,37969.266,39785.015633
2949,2019,IT,IT,COMPU,BUSIN,4149.37,117972679.971,721.0,721.0,160448.399,116173146.043,14521.205,7611.998,1402999.825,213952.501,26349.126,40639.361,9157.388,4616.443,199550.02,116173146.043,14521.205,113901.274,28431.467903
5900,2019,IT,IT,FABRI,FURNI,3336.49,117059126.734,721.0,721.0,128114.999,115686389.663,18184.572,4599.927,1055044.467,166793.105,19172.327,34878.985,8504.886,4581.548,157128.98,115686389.663,18184.572,55895.842,35084.512986
14344,2019,IT,IT,PLAST,GASDI,2865.26,112286480.068,721.0,721.0,120524.138,111163915.989,13413.13,4570.645,840458.406,143597.76,28278.279,30920.701,5417.326,3676.021,133984.833,111163915.989,13413.13,42629.735,39188.932267
908,2019,IT,IT,BASIC,FABRI,2866.45,111791519.709,721.0,721.0,114420.022,108663575.671,26943.334,4135.594,2840891.608,141553.479,18822.603,32738.342,7038.251,3925.827,129965.882,108663575.671,26943.334,148853.551,38999.989433
17049,2019,IT,IT,RUBBE,MACHI,2909.1,111429733.516,721.0,721.0,126986.042,110223134.608,14412.744,5274.61,918114.631,141810.88,29659.408,32289.733,6326.441,4133.569,130669.425,110223134.608,14412.744,45680.303,38303.851197
3649,2019,IT,IT,DAIRY,HOTEL,2787.71,109013791.693,721.0,721.0,119016.807,107706828.551,8193.322,4336.241,1039563.159,135853.612,20146.884,35571.117,9296.925,2837.407,126219.728,107706828.551,8193.322,60996.997,39105.140669
18980,2019,IT,IT,TEXTI,WEARI,4035.62,108253406.842,721.0,721.0,158722.029,106620038.689,22760.946,5685.907,1247327.074,198872.198,28028.596,42439.485,8333.519,5838.374,186175.756,106620038.689,22760.946,97622.547,26824.479719
5867,2019,IT,IT,FABRI,CONST,4685.78,107430118.44,721.0,721.0,185652.921,105428142.651,22298.764,6661.212,1579055.608,208307.284,28240.777,59021.011,4106.888,5256.412,194185.517,105428142.651,22298.764,73592.373,22926.837888
15973,2019,IT,IT,REALE,REALE,2507.65,106599411.787,721.0,721.0,105078.869,105617630.127,6590.876,4815.808,743116.759,122179.349,20489.387,27556.994,4842.992,2820.05,112113.653,105617630.127,6590.876,52449.577,42509.685078
18382,2019,IT,IT,SUPPO,CONST,2686.2,104685180.849,721.0,721.0,103849.732,103683910.129,8749.942,3648.087,747110.4,137912.559,22143.102,24275.567,2313.456,3117.235,129010.958,103683910.129,8749.942,29059.076,38971.476751
3233,2019,IT,IT,CONST,REALE,2610.85,103319851.947,721.0,721.0,102710.638,102306354.76,9194.299,4710.566,758845.539,138036.144,18846.713,28370.576,4047.882,3581.089,126441.27,102306354.76,9194.299,26965.027,39573.262327
16981,2019,IT,IT,RUBBE,BUSIN,3807.86,103036600.459,721.0,721.0,144842.923,101505938.537,17132.059,5288.559,1170723.017,192675.363,26963.901,37446.618,5770.479,4537.091,182039.605,101505938.537,17132.059,57531.841,27058.925606
11466,2019,IT,IT,MOTO1,SALEM,3031.31,102785787.13,721.0,721.0,115182.564,101584278.514,7101.691,5692.547,942617.789,130914.024,16077.068,32801.583,3438.37,4006.958,122308.153,101584278.514,7101.691,41489.268,33908.042111
2448,2019,IT,IT,CHEM1,HEALT,2640.97,102049937.785,721.0,721.0,109190.29,100965714.635,11376.936,4206.099,839733.378,119716.446,19275.476,34644.828,1700.42,3335.03,112206.017,100965714.635,11376.936,48437.457,38641.081794
1726,2019,IT,IT,BUSIN,EDUCA,3066.58,101749821.711,721.0,721.0,132832.747,100536758.04,17874.245,5955.57,908886.213,147514.894,24334.118,42094.767,6264.261,4088.491,137566.816,100536758.04,17874.245,65750.851,33180.22739
1767,2019,IT,IT,BUSIN,LANDT,2395.06,101693206.207,721.0,721.0,102573.595,100862657.593,9020.424,4135.602,595165.83,119653.162,21799.314,26292.043,4897.729,3393.493,111384.908,100862657.593,9020.424,22248.671,42459.565191
16006,2019,IT,IT,REALE,WHOLE,2985.39,100057736.421,721.0,721.0,100888.532,98855618.39,16091.193,4496.208,942904.239,137737.86,15649.202,22261.475,2880.288,3957.495,129612.551,98855618.39,16091.193,70656.074,33515.800757
16994,2019,IT,IT,RUBBE,CONST,4027.09,98589755.411,721.0,721.0,175526.568,96932907.723,22023.144,7251.915,1252931.216,199114.845,35006.339,51724.701,9590.551,4078.772,183700.146,96932907.723,22023.144,71021.913,24481.636966
16027,2019,IT,IT,RECRE,BUSIN,2977.29,98586823.36,721.0,721.0,108784.842,97351307.846,16030.028,3943.995,967990.548,138766.1,16826.446,27147.924,4207.083,3569.561,126610.592,97351307.846,16030.028,37878.424,33112.939405
754,2019,IT,IT,AUXIL,WHOLE,2722.47,98079329.804,721.0,721.0,112512.737,96902437.718,15065.358,3705.256,909489.472,136119.263,15461.381,38060.42,2837.665,3699.565,127611.94,96902437.718,15065.358,69764.127,36025.862472
6026,2019,IT,IT,FINAN,BUSIN,2532.06,96854222.133,721.0,721.0,109592.074,95832288.314,12548.479,4451.351,782964.295,112377.621,17162.723,33586.66,9178.611,2482.966,106595.559,95832288.314,12548.479,41763.432,38251.156028
2984,2019,IT,IT,COMPU,FINAN,1978.49,93308419.617,721.0,721.0,81654.532,92467090.697,9761.933,3695.272,650265.423,95951.76,13853.702,23178.17,5280.096,2636.176,90048.968,92467090.697,9761.933,41609.878,47161.430999
16320,2019,IT,IT,RENTI,BUSIN,3624.97,92715690.362,721.0,721.0,158597.794,91331229.734,8019.662,5105.653,1030024.24,182713.279,37098.64,44621.069,3208.638,4897.06,171775.764,91331229.734,8019.662,23023.223,25576.95384
20269,2019,IT,IT,WHOLE,BUSIN,2831.34,91495791.675,721.0,721.0,129211.773,90342392.116,9683.109,4411.04,873908.47,136185.168,27032.466,38679.978,6119.545,3871.465,125780.923,90342392.116,9683.109,42298.192,32315.367167
20323,2019,IT,IT,WHOLE,HOTEL,2554.87,90879846.94,721.0,721.0,103951.004,89718736.822,10234.749,3406.374,913762.394,129755.597,17360.13,27726.692,7002.876,3205.868,121057.454,89718736.822,10234.749,32950.252,35571.221604
18370,2019,IT,IT,SUPPO,BUSIN,2790.5,90858707.446,721.0,721.0,108308.944,89739609.003,7940.62,5093.455,859476.196,138279.229,14372.477,31011.411,4828.722,3623.451,128688.111,89739609.003,7940.62,27065.09,32560.009836
14305,2019,IT,IT,PLAST,CHEM1,1929.43,90847042.809,721.0,721.0,69382.966,90095322.138,9400.517,3303.073,577746.372,91887.743,10512.462,19774.958,1206.087,2031.379,82903.458,90095322.138,9400.517,46245.405,47084.912544
