trade_id,factor_id,level
14525,8,971081223
14526,8,911097162
14527,8,6922836703
14528,8,640376228
14529,8,643855579
14728,8,8816428048
14729,8,15788738457
14730,8,1031417411
14731,8,644584686
14732,8,10136106355
14733,8,1024189817
14734,8,4944592606
14735,8,15504374028
14736,8,40333938065
14737,8,1070295068
14738,8,1739138592
14739,8,6237280494
14740,8,854295838
14741,8,11343944134
14742,8,2628157639
14743,8,39006483251
14744,8,810175316
14745,8,35492527074
14746,8,1283750746
14747,8,1573674501
14748,8,701623211
14749,8,13139959612
14750,8,815127112
14751,8,936692481
14752,8,12590669869
14753,8,26301501814
14754,8,1488178046
14755,8,2493147753
14756,8,727131188
14757,8,14901859535
14758,8,566665132961
14759,8,21176646654
14760,8,3856880383
14761,8,206811083237
14762,8,8003554266
14763,8,2715838299
14764,8,3959514983
14765,8,15826548361
14766,8,15512172063
14767,8,95877352364
14768,8,2908621995
14769,8,3120619962
14770,8,8632110042
14771,8,2254346244
14772,8,1081671038
14773,8,1332749013
14774,8,664550589
14775,8,1130790194
14776,8,55202695153
14777,8,24937801309
22259,414,13297254680
22260,414,13083925798
22261,414,9360606744
22262,414,4205657442
22263,414,45927554928
22264,414,4861897243
22265,414,3071217696
22266,414,8128101898
22267,414,11037653119
22268,414,17817276998
22269,414,3404718216
22270,414,89397325827
22271,414,12507985007
22272,414,2027006559
22273,414,4174941798
22274,414,110360331425
22275,414,2747140516
22276,414,2407043951
22277,414,2472507205
22278,414,21011491140
22279,414,2684228486
22280,414,5200027637
22281,414,3258725529
22282,414,20469975383
22283,414,6634373366
22284,414,1953176611
22285,414,11859157423
22286,414,149542374114
22287,414,2375455976
22288,414,21463435517
22289,414,10728170308
22290,414,17446920195
22291,414,3652974327
22292,414,8284183716
22293,414,1907590503
22294,414,8420795610
22295,414,2146808172
22296,414,9229335438
22297,414,54565466035
22298,414,8130857160
22299,414,227372345137
22300,414,3705483140
22301,414,6790315889
22302,414,11519994528
22303,414,8171961154
22304,414,8545186441
22305,414,9275119425
22306,414,8669103448
22307,414,12625717670
22308,414,182016491589
22309,414,2537542603
22310,414,2388684097
22311,414,160807022510
22312,414,5203488989
22463,414,25260180786
22463,412,965735461
22464,414,308475814702
22464,412,11793503605
22465,414,17632078983
22465,412,674101428
22466,414,6148978864715
22466,412,235084894674
22467,414,27934550510
22467,412,1067980718
22468,414,306925576300123
22468,412,11734235612907
22469,414,1113576292874
22469,412,42573729928
22470,414,935193429161
22470,412,35753879405
22471,414,16214425831
22471,412,619902373
22472,414,64223787323
22472,412,2455373910
22473,414,259279596909
22473,412,9912656731
22474,414,14135898414460
22474,412,540437081181
22475,414,12039354483956
22475,412,460282990571
22476,414,1888606641800
22476,412,72204329082
22477,414,13372020925749
22477,412,511232872982
22478,414,77674124340
22478,412,2969600927
22479,414,35765586990
22479,412,1367373256
22480,414,3159967447919
22480,412,120810402997
22481,414,10743548003831
22481,412,410742321038
22482,414,1632871061950
22482,412,62427165560
22483,414,50004062528
22483,412,1911732018
22484,414,339335819691
22484,412,12973328936
22485,414,17106526249
22485,412,654008740
22486,414,53193537993
22486,412,2033670558
22487,414,35325380190
22487,412,1350543475
22488,414,34377513271
22488,412,1314305068
22489,414,16301982058786
22489,412,623249781726
22490,414,247178002256966
22490,412,9449994203073
22491,414,318359280031
22491,412,12171363646
22492,414,390291097295
22492,412,14921427365
22493,414,2644000563739
22493,412,101084197510
22494,414,490610660860
22494,412,18756798173
22495,414,2532888183034
22495,412,96836200747
22496,414,164589646780
22496,412,6292514681
22497,414,18438518909432
22497,412,704932863023
22498,414,55552489349551
22498,412,2123856886641
22499,414,2367573851744
22499,412,90515980265
22500,414,713356639739
22500,412,27272718643
22501,414,403610512081
22501,412,15430649025
22502,414,333580186084
22502,412,12753282234
22503,414,339383106103
22503,412,12975136768
22504,414,24590656192
22504,412,940138509
22505,414,687549041359
22505,412,26286054567
22506,414,931306188043
22506,412,35605264214
22507,414,462063916137
22507,412,17665412331
22508,414,406379664025
22508,412,15536517952
22509,414,115495291922
22509,412,4415562183
22510,414,348188372287
22510,412,13311775602
22511,414,24225563165
22511,412,926180442
22512,414,177751562823945
22512,412,6795714921780
22513,414,69882855246
22513,412,2671728758
22514,414,55342401183
22514,412,2115824894
22515,414,49941960738
22515,412,1909357771
22516,414,10336172598131
22516,412,395167734355
22517,414,135965785095672
22517,412,5198180538876
22518,414,1885379424370
22518,412,72080947609
22519,414,185077325744
22519,412,7075790076
22520,414,293861746499
22520,412,11234785359
22521,414,394244509864
22521,412,15072572392
22522,414,2302144837229
22522,412,88014528671
22523,414,16247589162
22523,412,621170258
22524,414,6157682431742
22524,412,235417645393
22525,414,168769866244
22525,412,6452330883
22526,414,148305859305
22526,412,5669960506
22527,414,1219591681421
22527,412,46626860863
22528,414,969114000303
22528,412,37050714875
22529,414,20254040479
22529,412,774343038
22530,414,139581967446
22530,412,5336432737
22531,414,40244662999
22531,412,1538615203
22532,414,10723963436288
22532,412,409993572978
22533,414,1495902424263
22533,412,57190644429
22534,414,100090807833
22534,412,3826625125
22535,414,224431510668
22535,412,8580360936
22536,414,4602707749635
22536,412,175968577929
22537,414,155624347713
22537,412,5949757544
22538,414,1116649091636
22538,412,42691207739
22539,414,56458381761
22539,412,2158490543
22540,414,18342081829
22540,412,701245926
22541,414,9767592135347
22541,412,373430031047
22542,414,21115191861029
22542,412,807266176041
22543,414,3259156275050
22543,412,124602544016
22544,414,1531680562638
22544,412,58558497543
22545,414,24597703116884
22545,412,940407923606
22546,414,9952307501055
22546,412,380491982836
22547,414,405803358523
22547,412,15514484908
22548,414,704042758537
22548,412,26916634677
22549,414,50972368475
22549,412,1948751840
22550,414,288910397270
22550,412,11045487683
22551,414,188092088678
22551,412,7191049088
22552,414,3629930636159
22552,412,138777816618
22553,414,36827213915
22553,412,1407960882
22554,414,63402024432
22554,412,2423956654
22555,414,743373878609
22555,412,28420323732
22556,414,954558511171
22556,412,36494236197
22557,414,26251966418
22557,412,1003652947
22558,414,40957220651841
22558,412,1565857374846
22559,414,485552812600
22559,412,18563428875
22560,414,3842712501192
22560,412,146912793731
22561,414,130572052779
22561,412,4991969878
22562,414,14518753029038
22562,412,555074200404
22563,414,54734649221
22563,412,2092589604
22564,414,145128172277
22564,412,5548472656
22565,414,1613750521167
22565,412,61696157955
22713,414,9035909976
22713,414,4115134002
22713,414,1746859713
22714,414,24244935888
22714,414,11041628382
22714,414,4687131885
22715,414,8320337998
22715,414,3789248221
22715,414,1608522361
22716,414,8079312309
22716,414,3679480305
22716,414,1561926272
22717,414,413597546409
22717,414,188360589121
22717,414,79958398585
22718,414,1709860550620
22718,414,778704669370
22718,414,330557356100
22719,414,25113001768
22719,414,11436962933
22719,414,4854949993
22720,414,129335904033
22720,414,58902155706
22720,414,25003755114
22721,414,778302150245
22721,414,354454354981
22721,414,150464610075
22722,414,14918547371
22722,414,6794204646
22722,414,2884115651
22723,414,1051092792573
22723,414,478688665705
22723,414,203201632088
22724,414,3407482233844
22724,414,1551835513913
22724,414,658748643431
22725,414,6569944428
22725,414,2992084005
22725,414,1270128993
22726,414,64018707635
22726,414,29155398985
22726,414,12376362932
22727,414,30350026074
22727,414,13822008474
22727,414,5867393322
22728,414,228199391548
22728,414,103926563883
22728,414,44116455875
22729,414,27922111886
22729,414,12716287826
22729,414,5398018849
22730,414,39760765876
22730,414,18107847470
22730,414,7686716697
22731,414,9986992979
22731,414,4548276211
22731,414,1930727037
22732,414,36928606137
22732,414,16818025319
22732,414,7139191792
22733,414,23262868752
22733,414,10594375380
22733,414,4497274580
22734,414,11025743286
22734,414,5021343862
22734,414,2131542568
22735,414,226539779953
22735,414,103170743593
22735,414,43795612856
22736,414,25717101799
22736,414,11712082162
22736,414,4971737125
22737,414,64640525082
22737,414,29438587079
22737,414,12496575268
22738,414,87244163049
22738,414,39732735583
22738,414,16866404610
22739,414,45998556073
22739,414,20948661799
22739,414,8892632253
22740,414,34274054570
22740,414,15609089480
22740,414,6626002838
22741,414,39112841978
22741,414,17812769977
22741,414,7561457353
22742,414,56738195772
22742,414,25839708369
22742,414,10968864085
22743,414,26907816543
22743,414,12254357454
22743,414,5201931053
22744,414,9107282989
22744,414,4147638698
22744,414,1760657841
22745,414,8563151164
22745,414,3899830190
22745,414,1655464013
