trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
11153,2019,JP,JP,MOTO1,MOTO1,167816.66,4745310028.878,721.0,721.0,6789618.406,4670399143.402,584891.707,264565.237,59650434.173,7621375.953,1087336.854,2261356.656,94994.127,192986.089,6953487.037,4670399143.402,584891.707,3014219.845,28276.751717
8138,2019,JP,JP,HEALT,HEALT,85612.68,4232078578.025,721.0,721.0,3571847.123,4197086819.226,495110.986,153507.358,26758055.84,4013237.492,617237.645,1028508.572,220434.605,99052.437,3765146.775,4197086819.226,495110.986,1469827.857,49432.847775
793,2019,JP,JP,BASIC,CONST,43100.73,1788424026.662,721.0,721.0,1970993.275,1746787269.259,314516.598,60863.767,37181492.411,2108891.353,424980.572,597512.672,94441.059,45952.954,1952579.761,1746787269.259,314516.598,2401465.935,41494.0542
771,2019,JP,JP,BASIC,BASIC,57112.12,1491642995.929,721.0,721.0,2356867.868,1432738395.55,614644.005,91631.202,53061002.919,2780454.386,463175.525,580608.548,156323.946,79234.342,2600026.004,1432738395.55,614644.005,2620163.286,26117.801194
14030,2019,JP,JP,PLAST,RUBBE,32871.22,1307092009.458,721.0,721.0,1261988.924,1294581811.48,152894.207,49812.845,9416973.603,1628528.397,213565.499,297048.685,92224.549,36251.871,1515933.345,1294581811.48,152894.207,458972.733,39764.024866
5818,2019,JP,JP,FABRI,CONST,39530.86,1300465315.738,721.0,721.0,1664392.891,1284311317.174,118610.116,71593.382,12356936.269,1942465.906,270932.141,501501.551,105741.074,50094.083,1838081.159,1284311317.174,118610.116,376255.436,32897.470881
6081,2019,JP,JP,FINAN,REALE,31560.55,1245458670.262,721.0,721.0,1211303.776,1231952885.462,95833.803,47701.148,10592126.336,1558819.737,187979.523,324555.391,73655.927,37008.58,1457483.162,1231952885.462,95833.803,345593.211,39462.514762
19809,2019,JP,JP,WHOLE,WHOLE,38611.31,1133880964.788,721.0,721.0,1412750.657,1119121191.086,266263.199,68458.988,11156461.259,1855839.599,221852.897,362445.031,71714.523,51063.473,1730085.763,1119121191.086,266263.199,634369.483,29366.549977
16323,2019,JP,JP,RETA1,HOTEL,29256.17,1058030729.487,721.0,721.0,1174074.303,1045546548.318,98046.37,48958.957,9673991.583,1489109.955,213879.658,347277.854,56335.326,36071.133,1394241.127,1045546548.318,98046.37,617629.883,36164.362235
6936,2019,JP,JP,FOOD5,HOTEL,24887.86,1054662698.274,721.0,721.0,980583.713,1041564084.827,96517.154,43265.46,8313258.759,3664988.361,165753.397,292367.558,21337.218,31804.909,3388080.441,1041564084.827,96517.154,532210.399,42376.592374
