trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
12484,2019,KR,KR,OFFIC,OFFIC,34877.16,1724077341.094,721.0,721.0,1455110.196,1709822289.503,201699.854,62536.305,10900780.058,1634925.178,251452.193,418997.023,89801.335,40352.29,1533857.21,1709822289.503,201699.854,598783.046,49432.847775
11395,2019,KR,KR,MOTO1,MOTO1,58246.68,1647026908.728,721.0,721.0,2356576.103,1621026448.614,203007.259,91826.68,20703783.231,2645266.842,377398.536,784883.441,32971.056,66982.617,2413452.481,1621026448.614,203007.259,1046191.116,28276.751717
18625,2019,KR,KR,TEXTI,TEXTI,17295.61,707654995.022,721.0,721.0,790926.998,700956836.742,63105.154,24423.623,4973439.289,846263.216,170537.674,239771.952,37897.635,18440.16,783537.959,700956836.742,63105.154,330967.845,40915.295559
7188,2019,KR,KR,FOOD5,FOOD5,14137.99,563584253.8,721.0,721.0,542784.442,556802719.975,65760.163,21424.623,4050262.772,2101301.825,91855.029,127761.347,39665.998,15592.016,1956019.625,556802719.975,65760.163,197405.266,39863.11023
6265,2019,KR,KR,FABRI,CONST,17074.9,561721025.541,721.0,721.0,718915.353,554743491.784,51232.275,30923.937,5337436.4,839025.791,117026.02,216617.823,45673.64,21637.563,793938.001,554743491.784,51232.275,162519.205,32897.470881
6288,2019,KR,KR,FABRI,FABRI,12788.6,504670316.281,721.0,721.0,490830.466,499197658.818,38832.662,19328.906,4292018.576,631646.853,76170.882,131512.571,29846.0,14996.188,590584.422,499197658.818,38832.662,140037.272,39462.514762
964,2019,KR,KR,BASIC,BASIC,16586.37,496783868.419,721.0,721.0,606879.308,480744065.669,228758.876,29408.122,14377538.162,797218.283,95301.979,155696.54,30806.611,21935.481,743197.851,480744065.669,228758.876,775219.474,29951.331631
20490,2019,KR,KR,WOODW,WOODW,10886.8,460276691.797,721.0,721.0,428940.808,455615704.954,42219.9,18925.79,3636503.317,534397.029,72506.197,127891.556,9333.628,13912.553,494020.701,455615704.954,42219.9,232807.006,42278.418984
6552,2019,KR,KR,FINAN,REALE,17844.5,454910587.379,721.0,721.0,736395.859,447654548.621,96021.781,28629.877,5526247.123,868744.118,144717.717,181409.292,48842.919,24756.518,812369.844,447654548.621,96021.781,286668.472,25493.041967
10427,2019,KR,KR,MACHI,MACHI,11343.07,410214892.336,721.0,721.0,455206.782,405374582.04,38014.095,18982.146,3750756.292,577350.981,82924.454,134645.0,21842.078,13985.337,540568.868,405374582.04,38014.095,239464.667,36164.362235
14466,2019,KR,KR,POSTT,POSTT,9233.44,386614478.079,721.0,721.0,401688.391,383164592.903,47742.177,15097.77,2557463.31,427893.527,67131.443,112150.013,30124.587,13570.271,395244.309,383164592.903,47742.177,104371.904,41871.120414
17066,2019,KR,KR,RUBBE,RUBBE,10492.5,383801394.785,721.0,721.0,433312.546,379218066.502,43815.894,14771.366,3594561.6,496866.877,67200.991,133760.859,22828.048,13064.754,456068.282,379218066.502,43815.894,80531.399,36578.64139
8351,2019,KR,KR,HEALT,HEALT,11033.64,380881753.648,721.0,721.0,436090.547,376378916.89,62361.356,20014.691,3457021.151,527349.012,56010.464,153300.996,15439.535,13653.938,500835.405,376378916.89,62361.356,140742.323,34520.045393
15473,2019,KR,KR,RADIO,RADIO,12549.57,374769092.196,721.0,721.0,486625.93,369806664.257,43292.073,19522.188,3791294.989,621692.761,61235.696,156079.624,21982.911,13748.732,577389.011,369806664.257,43292.073,152140.546,29863.102257
8995,2019,KR,KR,INSUR,INSUR,9914.71,372098754.048,721.0,721.0,404073.518,368136348.348,39275.947,15406.301,3020483.928,483166.005,59934.083,135590.91,11845.024,12887.295,445535.245,368136348.348,39275.947,211023.867,37529.968506
2124,2019,KR,KR,CEMEN,CONST,7485.41,343729666.292,721.0,721.0,302348.362,340529377.004,27109.431,12296.193,2478607.669,379927.633,61380.761,73648.867,11415.526,10532.65,357915.66,340529377.004,27109.431,164120.024,45919.951785
14320,2019,KR,KR,PLAST,RUBBE,9293.39,330297014.337,721.0,721.0,361554.991,326569772.496,24149.888,14179.812,2878930.913,448426.238,61925.498,97283.768,13950.915,12125.987,419751.846,326569772.496,24149.888,154810.263,35541.068903
16682,2019,KR,KR,RETA1,HOTEL,9607.18,320347019.526,721.0,721.0,337173.944,316699801.616,28686.816,18082.363,2806441.715,456833.072,71309.972,66252.999,8922.651,10356.757,417814.315,316699801.616,28686.816,159510.661,33344.542262
1011,2019,KR,KR,BASIC,FABRI,12799.26,302770099.558,721.0,721.0,505969.434,289580294.727,135496.93,20750.759,11902840.023,624747.685,99591.368,112028.985,42118.34,13405.692,582231.613,289580294.727,135496.93,396428.556,23655.281599
