trade_id,factor_id,level
6493,527,4134
7903,527,3684
11993,527,481006
11994,527,13412
11995,527,25753
11996,527,679925
11997,527,1719725
11998,527,197975
11999,527,23958
12000,527,52699
12001,527,3662
12002,527,13028
12003,527,171058
12004,527,3663
12005,527,8424
12006,527,718865
12007,527,31655
12008,527,69418
12009,527,5654
12010,527,5024
12011,527,61722
12012,527,18520
12013,527,30070
12014,527,17857
12015,527,90414
12016,527,1307524
12017,527,29216
12018,527,296661
12019,527,15020
12020,527,9178
12021,527,41586
12022,527,483104
12023,527,6600
14004,527,3798
23228,527,8415
29555,527,29498
29556,527,22297
29557,527,4411
29558,527,67084
29559,527,74817
29560,527,75297
29561,527,4822
29562,527,13037
29563,527,5419
29564,527,11937
29565,527,77181
29566,527,16700
32084,527,8636
32085,527,34773
32086,527,36130
32087,527,1375196
32088,527,61881
32089,527,4435
32090,527,29679
32091,527,21982
32092,527,117665
32093,527,3754
32094,527,16268
32095,527,5818
32096,527,8785
32097,527,12935
32098,527,16809
32099,527,356175
32100,527,5376
32101,527,29066
32102,527,4585
32103,527,21825
32104,527,8058
32105,527,35430
32106,527,29848
32107,527,51620
34014,527,4623
34015,527,6846
38376,527,7258
38377,527,79488
38378,527,20972
38379,527,991362
38380,527,137621
38381,527,183647
38382,527,4788
38383,527,71567
38384,527,93760
38385,527,3954
38386,527,3707
38387,527,33876
38388,527,10348
38389,527,5070
38390,527,8682
38391,527,15830
38392,527,5916
38393,527,9781
38394,527,218310
38395,527,4858
46160,527,11004
46161,527,6143
46162,527,63214
46163,527,9721
46164,527,23441
46165,527,11889
46166,527,5504
46167,527,23979
46168,527,17410
50250,527,3924
57450,527,4453
57451,527,84091
57452,527,15195
57453,527,4774
57454,527,9866
57455,527,13828
57456,527,103127
57457,527,29742
57458,527,15192
57459,527,7115
57460,527,9074
57461,527,3740
57462,527,6249
57463,527,29256
57464,527,38557
57465,527,167570
57466,527,41454
57467,527,4925
57468,527,5924
64594,527,10253
64595,527,267865
64596,527,2121977
64597,527,3708
64598,527,4048
64599,527,7346
64600,527,14947
64601,527,8359
64602,527,13152
64603,527,150610
64604,527,186013
64605,527,4687
64606,527,97541
72157,527,82200
75848,527,29716
75849,527,4610
75850,527,33900
75851,527,84539
75852,527,4154
75853,527,6127
75854,527,30799
75855,527,7606
75856,527,4852
75857,527,3753
75858,527,54980
75859,527,13304
75860,527,4188
