trade_id,year,region1,region2,industry1,industry2,amount
83590,2019,WM,KR,CRUDE,GASDI,15946.10
83573,2019,WM,KR,CRUDE,CHEM1,10834.68
83594,2019,WM,KR,CRUDE,KEROS,10137.96
1896,2019,AU,KR,BITUM,ELEC1,7956.05
83598,2019,WM,KR,CRUDE,MOTOR,6086.29
83599,2019,WM,KR,CRUDE,NAPHT,6016.39
75212,2019,WA,KR,OFFIC,OFFIC,5169.35
13271,2019,CN,KR,OFFIC,OFFIC,5068.43
67543,2019,US,KR,CRUDE,GASDI,4206.99
72277,2019,WA,KR,CRUDE,GASDI,3116.74
14053,2019,CN,KR,RADIO,OFFIC,3093.87
11040,2019,CN,KR,CHEM1,PLAST,3014.98
67530,2019,US,KR,CRUDE,CHEM1,2858.47
45730,2019,JP,KR,CHEM1,PLAST,2791.95
10565,2019,CN,KR,BASIC,CONST,2778.83
18311,2019,DE,KR,MOTO1,MOTO1,2695.15
67546,2019,US,KR,CRUDE,KEROS,2674.66
83592,2019,WM,KR,CRUDE,HEAVY,2550.64
45216,2019,JP,KR,BASIC,CONST,2261.90
80990,2019,WL,KR,COPP1,COPP1,2153.72
72264,2019,WA,KR,CRUDE,CHEM1,2117.69
14066,2019,CN,KR,RADIO,RADIO,2037.84
72280,2019,WA,KR,CRUDE,KEROS,1981.51
60294,2019,RU,KR,CRUDE,GASDI,1964.47
50989,2019,MX,KR,CRUDE,GASDI,1888.31
83607,2019,WM,KR,CRUDE,PLAST,1861.50
67368,2019,US,KR,CHEM1,PLAST,1740.91
10547,2019,CN,KR,BASIC,BASIC,1661.91
67550,2019,US,KR,CRUDE,MOTOR,1605.72
67551,2019,US,KR,CRUDE,NAPHT,1587.28
69901,2019,US,KR,PLAST,RUBBE,1585.27
14361,2019,CN,KR,TEXTI,TEXTI,1584.78
10581,2019,CN,KR,BASIC,FABRI,1543.11
59871,2019,RU,KR,BITUM,ELEC1,1512.00
77617,2019,WA,KR,VEGET,FOOD5,1396.75
45198,2019,JP,KR,BASIC,BASIC,1352.76
48598,2019,JP,KR,RADIO,OFFIC,1352.45
60282,2019,RU,KR,CRUDE,CHEM1,1334.77
50977,2019,MX,KR,CRUDE,CHEM1,1283.03
18113,2019,DE,KR,MACHI,MACHI,1275.04
45232,2019,JP,KR,BASIC,FABRI,1256.05
68019,2019,US,KR,FOOD5,FOOD5,1253.27
60297,2019,RU,KR,CRUDE,KEROS,1248.94
84943,2019,WM,KR,NATU1,GASDI,1244.26
83610,2019,WM,KR,CRUDE,REFI1,1232.69
11737,2019,CN,KR,FOOD5,FOOD5,1214.34
69014,2019,US,KR,MOTO1,MOTO1,1207.67
50992,2019,MX,KR,CRUDE,KEROS,1200.52
11460,2019,CN,KR,FABRI,FABRI,1193.80
72284,2019,WA,KR,CRUDE,MOTOR,1189.60
72285,2019,WA,KR,CRUDE,NAPHT,1175.93
78046,2019,WA,KR,WOODW,WOODW,1170.56
13709,2019,CN,KR,PLAST,RUBBE,1153.96
84909,2019,WM,KR,NATU1,CHEM1,1130.19
80802,2019,WL,KR,CEREA,FOOD5,1095.26
11887,2019,CN,KR,FURNI,FURNI,1058.25
11059,2019,CN,KR,CHEM1,RUBBE,1034.09
68908,2019,US,KR,MEATC,HOTEL,1008.35
11358,2019,CN,KR,ELECT,MOTO1,1006.94
84302,2019,WM,KR,KEROS,AIRTR,1006.75
10847,2019,CN,KR,CERAM,CONST,1004.19
