trade_id,factor_id,level
6904,8,3249625158
6905,8,1199667429
6906,8,36113236007
6907,8,20429463264
6908,8,667934592
6909,8,939117656
6910,8,1125771965
6911,8,60641104786
6912,8,26313903887
6913,8,649428363
6914,8,832295787
6915,8,198558078998
6916,8,596159001
6917,8,1815563246
6918,8,10921818987971
6919,8,3968660195
6920,8,63893586092
6921,8,34404567445
6922,8,584389196
6923,8,26760817329
6924,8,30921165618
6925,8,47472774695
6926,8,2151607622
6927,8,520092090
6928,8,1158848734
6929,8,573708068
6930,8,1216252970
7071,8,2982920004
7072,8,1122056359
7073,8,952027314
7074,8,746484640
7075,8,4709170240
7076,8,3020973428
7077,8,33132283109
7078,8,2713829277
7079,8,1728001168
7080,8,10651085886
7081,8,17054192645
7082,8,14719818898
7083,8,1914434170
7084,8,2588289070
7085,8,1517351840
7086,8,35636080736
7087,8,1485240104
7088,8,617770606
7089,8,2587952102
7090,8,13681339972
7091,8,15986158361
7092,8,619601507
7093,8,673903155
7094,8,10580463533
7095,8,9941709486
7096,8,1974655043
7097,8,4445069200
7098,8,25401243228
7099,8,626818038
7100,8,18856885934
7101,8,9642115620
7102,8,954466648
7103,8,1029098340
7104,8,983728423
7105,8,18572994800
7106,8,996649244
7107,8,1169183344
7108,8,17395649944
7109,8,1241188430
7110,8,16746117923
7111,8,6357696320
7112,8,199538868817
7113,8,2710738669
7114,8,2249258665
7115,8,3425509504
7116,8,74144615186
7117,8,29350500279
7118,8,6010795289
7119,8,4950368259
7120,8,8334943265
7121,8,611918832
7122,8,11320524199
7123,8,29060273462
7124,8,29446932852
7125,8,1912537599
7126,8,12532570021
7127,8,3507829536
7128,8,6110117332
7129,8,10152627980
7130,8,4226989549
7131,8,1714802609
7132,8,42088246505
7133,8,55607427623
10543,414,692350780885
10543,412,26469632435
10544,414,33154831350
10544,412,1267560063
10545,414,5621889370248
10545,412,214933454733
10546,414,16499019744
10546,412,630782835
10547,414,2404484450125396
10547,412,91927129063212
10548,414,628236950307
10548,412,24018462340
10549,414,46772321701
10549,412,1788177608
10550,414,34953791241
10550,412,1336337059
10551,414,251111705899
10551,412,9600385728
10552,414,235995445485
10552,412,9022467903
10553,414,184883291861
10553,412,7068371863
10554,414,4074493244297
10554,412,155774127097
10555,414,323565758158
10555,412,12370415292
10556,414,11933831035674
10556,412,456248667267
10557,414,308969981103
10557,412,11812396345
10558,414,5803422309856
10558,412,221873737490
10559,414,22443719417
10559,412,858057822
10560,414,2125327617250
10560,412,81254535109
10561,414,99104050954
10561,412,3788899896
10562,414,72885136071
10562,412,2786510559
10563,414,54692398513
10563,412,2090974295
10564,414,137202870893
10564,412,5245476227
10565,414,4020459166355044
10565,412,153708321407368
10566,414,3731514798455
10566,412,142661534975
10567,414,35695084077
10567,412,1364677821
10568,414,42205255003
10568,412,1613571643
10569,414,30532833969437
10569,412,1167317080727
10570,414,4310716245502
10570,412,164805294804
10571,414,483214997921
10571,412,18474050634
10572,414,26948159095
10572,412,1030269461
10573,414,827120080072
10573,412,31622069483
10574,414,3180375970142
