trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,energy,land,material,water,CO2_total,Water_total,Energy_total,Land_total,impact_intensity
17331,2019,RU,RU,REALE,RETA1,22114.34,2347350343359011.0,1.0,1.0,2347350343359011.0,0.0,0.0,0.0,0.0,2347350343359011.0,0.0,0.0,0.0,106146072790.73267
17325,2019,RU,RU,REALE,REALE,21236.54,2254176092542265.0,1.0,1.0,2254176092542265.0,0.0,0.0,0.0,0.0,2254176092542265.0,0.0,0.0,0.0,106146109137.47084
1027,2019,RU,RU,BASIC,BASIC,8757.32,1559804213527928.2,2.0,2.0,1559777320043247.0,26893484681.15,0.0,0.0,0.0,1559777320043247.0,0.0,26893484681.15,0.0,178114333326.62598
17266,2019,RU,RU,REALE,LANDT,10433.69,1107495474092932.4,1.0,1.0,1107495474092932.4,0.0,0.0,0.0,0.0,1107495474092932.4,0.0,0.0,0.0,106146097314.84567
1051,2019,RU,RU,BASIC,CONST,5853.89,1042662635811079.9,2.0,2.0,1042644658662806.8,17977148273.225,0.0,0.0,0.0,1042644658662806.8,0.0,17977148273.225,0.0,178114490673.9074
1073,2019,RU,RU,BASIC,FABRI,4411.81,785807338211457.5,2.0,2.0,785793789653613.2,13548557844.145,0.0,0.0,0.0,785793789653613.2,0.0,13548557844.145,0.0,178114501352.38312
17359,2019,RU,RU,REALE,WHOLE,7113.44,755063586455662.8,1.0,1.0,755063586455662.8,0.0,0.0,0.0,0.0,755063586455662.8,0.0,0.0,0.0,106146054012.63844
3779,2019,RU,RU,CONST,PUBLI,14110.12,749256152273156.1,1.0,1.0,749256152273156.1,0.0,0.0,0.0,0.0,749256152273156.1,0.0,0.0,0.0,53100622267.78767
17202,2019,RU,RU,REALE,BUSIN,5390.04,572131937049925.8,1.0,1.0,572131937049925.8,0.0,0.0,0.0,0.0,572131937049925.8,0.0,0.0,0.0,106146139370.00946
5530,2019,RU,RU,ELEC2,REALE,1551.82,472112146116041.0,5.0,3.0,472082537100581.94,29580653450.012,0.0,0.0,28362009.056,472082537100581.94,28362009.056,29580653450.012,0.0,304231254988.36273
3784,2019,RU,RU,CONST,REALE,8720.02,463038636542650.8,1.0,1.0,463038636542650.8,0.0,0.0,0.0,0.0,463038636542650.8,0.0,0.0,0.0,53100639280.94784
5474,2019,RU,RU,ELEC2,LANDT,1216.6,370127489817366.6,5.0,3.0,370104276878114.9,23190703943.294,0.0,0.0,22235308.506,370104276878114.9,22235308.506,23190703943.294,0.0,304231045386.6239
17240,2019,RU,RU,REALE,FINAN,3413.43,362322217006774.3,1.0,1.0,362322217006774.3,0.0,0.0,0.0,0.0,362322217006774.3,0.0,0.0,0.0,106146080923.52101
17344,2019,RU,RU,REALE,SUPPO,3395.63,360433126832457.6,1.0,1.0,360433126832457.6,0.0,0.0,0.0,0.0,360433126832457.6,0.0,0.0,0.0,106146172236.80367
17257,2019,RU,RU,REALE,HOTEL,3308.11,351142697609556.94,1.0,1.0,351142697609556.94,0.0,0.0,0.0,0.0,351142697609556.94,0.0,0.0,0.0,106146016187.35681
3677,2019,RU,RU,CONST,CONST,6022.65,319806459063228.94,1.0,1.0,319806459063228.94,0.0,0.0,0.0,0.0,319806459063228.94,0.0,0.0,0.0,53100621663.75748
5433,2019,RU,RU,ELEC2,DISTR,927.52,282180730598579.5,5.0,3.0,282163033333886.6,17680312762.079,0.0,0.0,16951930.813,282163033333886.6,16951930.813,17680312762.079,0.0,304231424226.5175
17313,2019,RU,RU,REALE,POSTT,2352.79,249739825144415.4,1.0,1.0,249739825144415.4,0.0,0.0,0.0,0.0,249739825144415.4,0.0,0.0,0.0,106146245582.65523
1107,2019,RU,RU,BASIC,MACHI,1387.2,247079561321944.16,2.0,2.0,247075301280626.28,4260041317.883,0.0,0.0,0.0,247075301280626.28,0.0,4260041317.883,0.0,178113870618.47186
5430,2019,RU,RU,ELEC2,CRUDE,711.05,216323730566205.78,5.0,3.0,216310163593326.16,13553977290.218,0.0,0.0,12995589.408,216310163593326.16,12995589.408,13553977290.218,0.0,304231390993.89044
5397,2019,RU,RU,ELEC2,ALUM1,705.19,214539744026413.75,5.0,3.0,214526288938147.72,13442199849.143,0.0,0.0,12888416.901,214526288938147.72,12888416.901,13442199849.143,0.0,304229702670.78906
