trade_id,factor_id,level
8422,8,845440291
8423,8,505707519
8424,8,7351425389
8425,8,542182073
8426,8,5825025896
8427,8,822803081
8428,8,486080040783
8429,8,606874397
8430,8,253909622767
8431,8,421230160715
8432,8,926312701
8433,8,863317034
8434,8,823230987024
8435,8,1133153655
8436,8,627870006
8437,8,1592591483
8438,8,3897234731
8439,8,12692115721
8440,8,53907256876
8441,8,953004677
8442,8,4635810722
8443,8,2298296352
8444,8,3511505784
8445,8,4061100464
8446,8,871478208
8447,8,1002143712
8448,8,1037249859
8449,8,101602600881
8450,8,5009069877
8451,8,1033091456
8452,8,490983438
8453,8,509549572
8454,8,574692611
8455,8,12407577709
8456,8,23847167860
8654,8,6680225747
8655,8,17689667514
8656,8,22674904258
8657,8,636914303
8658,8,2801192699
8659,8,1674657602
8660,8,885056641
8661,8,992891083
8662,8,9531198215
8663,8,12149978700
8664,8,1114435416
8665,8,2172489853
8666,8,2281107187
8667,8,1000899721
8668,8,40246513937
8669,8,1854218478
8670,8,25467135058
8671,8,2530675245
8672,8,17943215913
8673,8,1329203062
8674,8,3114723922
8675,8,966485376
8676,8,1717711158
8677,8,1850160443
8678,8,3332624793
8679,8,33444732083
13308,414,77423911013
13309,414,2481568926
13310,414,15073981791
13311,414,58323803031
13312,414,6050420572
13313,414,4117461903
13314,414,10073797629
13315,414,9530390444
13316,414,45360233155
13317,414,20004245278
13318,414,6620640188
13319,414,6995940384
13320,414,2847715147
13321,414,5275844188
13322,414,2555254125875
13323,414,5386989811
13324,414,18748695315
13325,414,21502683708
13326,414,3925021016
13327,414,3400616745
13328,414,1837580052
13329,414,20726796179
13330,414,2462727964
13331,414,69518477368
13332,414,7070299613
13333,414,3850787059
13334,414,24797217141
13335,414,11586991634
13336,414,3442071991
13337,414,6216034742
13338,414,3725580715
13339,414,5170613235
13340,414,6524689809
13341,414,5019333241
13342,414,70025939962
13343,414,7843784600
13344,414,6508881636
13345,414,2342132426
13346,414,61314079859
13347,414,4169633852
13348,414,2553304612
13349,414,3649714111
13350,414,220644039050
13351,414,2747919772
13352,414,6896254515
13353,414,13538096315
13354,414,16738509081
13355,414,1925662520
13356,414,32975682467
13357,414,22876944025
13358,414,2826526666
13359,414,5365537139
13360,414,133348679409
13361,414,3493037109
13362,414,29769062626
13363,414,31944864390
13364,414,11098030768
13559,414,63308029937
13559,412,2420363100
13560,414,870301948735
13560,412,33272978564
13561,414,22977478232
13561,412,878464241
13562,414,242715875728
13562,412,9279400261
13563,414,277471817425782
13563,412,10608173228391
13564,414,67658229809
13564,412,2586677915
13565,414,22486034727
13565,412,859675602
13566,414,6954612790641
13566,412,265885515524
13567,414,27248443196
13567,412,1041749783
13568,414,4528782947744
13568,412,173142319350
13569,414,2202060628001
13569,412,84188155821
13570,414,3314653532436
13570,412,126724289300
13571,414,182191956534
13571,412,6965477985
13572,414,22133984654
13572,412,846216187
13573,414,9982077137983
13573,412,381630121723
13574,414,18154598587125
13574,412,694078153561
13575,414,57932701335
13575,412,2214856042
13576,414,366618302003
13576,412,14016380087
13577,414,1406829258918
