trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
3625,2019,US,US,CONST,REALE,173110.35,2.4046504272717764e+16,5.0,3.0,2.40449969135378e+16,3024491701.662,1504334688260.811,0.0,0.0,0.0,2.40449969135378e+16,0.0,3024491701.662,1504334688260.811,0.0,138908530152.69025
2193,2019,US,US,BUSIN,BUSIN,389532.68,2.29090019664588e+16,1.0,1.0,2.29090019664588e+16,0.0,0.0,0.0,0.0,0.0,2.29090019664588e+16,0.0,0.0,0.0,0.0,58811501942.42702
2245,2019,US,US,BUSIN,HEALT,259298.4,1.5249728750033184e+16,1.0,1.0,1.5249728750033184e+16,0.0,0.0,0.0,0.0,0.0,1.5249728750033184e+16,0.0,0.0,0.0,0.0,58811503464.862045
2312,2019,US,US,BUSIN,REALE,255903.78,1.5050085756355452e+16,1.0,1.0,1.5050085756355452e+16,0.0,0.0,0.0,0.0,0.0,1.5050085756355452e+16,0.0,0.0,0.0,0.0,58811502340.27591
4035,2019,US,US,CRUDE,MOTOR,83496.86,1.226081543267296e+16,6.0,3.0,1.2259638275703112e+16,0.0,1126714389056.082,0.0,50442580791.053,0.0,1.2259638275703112e+16,0.0,0.0,1126714389056.082,0.0,146841634915.049
21357,2019,US,US,WOODW,CONST,59976.68,1.1465681177837918e+16,5.0,3.0,1.1465121251750392e+16,0.0,559926087524.776,0.0,0.0,0.0,1.1465121251750392e+16,0.0,0.0,559926087524.776,0.0,191168987310.36658
3620,2019,US,US,CONST,PUBLI,73560.83,1.0218226220768288e+16,5.0,3.0,1.0217585689532558e+16,1285215516.564,639246020214.172,0.0,0.0,0.0,1.0217585689532558e+16,0.0,1285215516.564,639246020214.172,0.0,138908522657.6194
21484,2019,US,US,WOODW,WOODW,52443.13,1.0025500763239006e+16,5.0,3.0,1.0025011168305154e+16,0.0,489594933852.471,0.0,0.0,0.0,1.0025011168305154e+16,0.0,0.0,489594933852.471,0.0,191169000844.13358
5159,2019,US,US,ELEC1,REALE,9994.38,9786128805691120.0,5.0,3.0,9785818272165682.0,0.0,310099121682.777,0.0,0.0,434403755.347,9785818272165682.0,434403755.347,0.0,310099121682.777,0.0,979163170270.8043
2345,2019,US,US,BUSIN,WHOLE,159641.32,9388745664427536.0,1.0,1.0,9388745664427536.0,0.0,0.0,0.0,0.0,0.0,9388745664427536.0,0.0,0.0,0.0,0.0,58811501085.22991
2230,2019,US,US,BUSIN,FINAN,159145.98,9359614453906208.0,1.0,1.0,9359614453906208.0,0.0,0.0,0.0,0.0,0.0,9359614453906208.0,0.0,0.0,0.0,0.0,58811504091.439865
6903,2019,US,US,FINAN,FINAN,198897.43,9326409647046222.0,1.0,1.0,9326409647046222.0,0.0,0.0,0.0,0.0,0.0,9326409647046222.0,0.0,0.0,0.0,0.0,46890548797.16758
6984,2019,US,US,FINAN,REALE,187989.89,8814948987767864.0,1.0,1.0,8814948987767864.0,0.0,0.0,0.0,0.0,0.0,8814948987767864.0,0.0,0.0,0.0,0.0,46890548144.73195
3979,2019,US,US,CRUDE,CRUDE,59521.32,8740208631349544.0,6.0,3.0,8739369486713136.0,0.0,803186287434.947,0.0,35958348972.667,0.0,8739369486713136.0,0.0,0.0,803186287434.947,0.0,146841646511.69604
2318,2019,US,US,BUSIN,RETA1,119885.67,7050656206799900.0,1.0,1.0,7050656206799900.0,0.0,0.0,0.0,0.0,0.0,7050656206799900.0,0.0,0.0,0.0,0.0,58811501047.62229
5330,2019,US,US,ELEC2,REALE,11544.36,6960904772347436.0,4.0,2.0,6960517660968496.0,0.0,387111378939.574,0.0,0.0,0.0,6960517660968496.0,0.0,0.0,387111378939.574,0.0,602970175249.8567
4005,2019,US,US,CRUDE,GASDI,46911.45,6888553896061939.0,6.0,3.0,6887892528204683.0,0.0,633027455400.596,0.0,28340401855.301,0.0,6887892528204683.0,0.0,0.0,633027455400.596,0.0,146841632395.97028
2247,2019,US,US,BUSIN,HOTEL,116784.9,6868295594869177.0,1.0,1.0,6868295594869177.0,0.0,0.0,0.0,0.0,0.0,6868295594869177.0,0.0,0.0,0.0,0.0,58811503840.55796
2307,2019,US,US,BUSIN,PUBLI,108230.27,6365184614759855.0,1.0,1.0,6365184614759855.0,0.0,0.0,0.0,0.0,0.0,6365184614759855.0,0.0,0.0,0.0,0.0,58811500837.61091
3967,2019,US,US,CRUDE,CHEM1,41470.41,6089583586797807.0,6.0,3.0,6088998927824509.0,0.0,559605638652.782,0.0,25053334645.456,0.0,6088998927824509.0,0.0,0.0,559605638652.782,0.0,146841653767.05478
2206,2019,US,US,BUSIN,COMPU,102516.62,6029156282936877.0,1.0,1.0,6029156282936877.0,0.0,0.0,0.0,0.0,0.0,6029156282936877.0,0.0,0.0,0.0,0.0,58811500837.00455
6924,2019,US,US,FINAN,INSUR,124822.18,5852980316234282.0,1.0,1.0,5852980316234282.0,0.0,0.0,0.0,0.0,0.0,5852980316234282.0,0.0,0.0,0.0,0.0,46890547146.62316
285,2019,US,US,AIRTR,BUSIN,16883.45,4670358465569524.0,5.0,2.0,4670096994086581.0,0.0,261471482942.839,0.0,0.0,0.0,4670096994086581.0,0.0,0.0,261471482942.839,0.0,276623466505.3365
2207,2019,US,US,BUSIN,CONST,76412.22,4493917711242991.0,1.0,1.0,4493917711242991.0,0.0,0.0,0.0,0.0,0.0,4493917711242991.0,0.0,0.0,0.0,0.0,58811505689.05067
