trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
11268,2019,WM,WM,NATUR,ELEC2,29804.18,2126549709096537.5,2.0,2.0,2126533620040132.8,0.0,0.0,0.0,16089056404.633,0.0,2126533620040132.8,0.0,0.0,0.0,0.0,71350720237.78334
4498,2019,WM,WM,ELEC2,PUBLI,4005.12,1764811059364600.5,5.0,3.0,1764710135279048.2,0.0,100618189113.952,0.0,0.0,305896438.266,1764710135279048.2,305896438.266,0.0,100618189113.952,0.0,440638747244.67694
4406,2019,WM,WM,ELEC2,CRUDE,3903.32,1719954227158648.2,5.0,3.0,1719855868296578.2,0.0,98060740710.622,0.0,0.0,298121359.381,1719855868296578.2,298121359.381,0.0,98060740710.622,0.0,440638796501.09344
11288,2019,WM,WM,NATUR,FURNI,15294.93,1091304050822492.6,2.0,2.0,1091295794230910.0,0.0,0.0,0.0,8256591582.685,0.0,1091295794230910.0,0.0,0.0,0.0,0.0,71350705810.51973
4409,2019,WM,WM,ELEC2,DISTR,1889.78,832710183417312.6,5.0,3.0,832662563297671.2,0.0,47475785165.559,0.0,0.0,144334475.843,832662563297671.2,144334475.843,0.0,47475785165.559,0.0,440638689909.5729
1859,2019,WM,WM,CEMEN,CONST,9468.98,731203843895031.6,1.0,1.0,731203843895031.6,0.0,0.0,0.0,0.0,0.0,731203843895031.6,0.0,0.0,0.0,0.0,77220972469.58296
259,2019,WM,WM,AIRTR,PUBLI,6568.29,605453671664899.0,1.0,1.0,605453671664899.0,0.0,0.0,0.0,0.0,0.0,605453671664899.0,0.0,0.0,0.0,0.0,92178279531.64355
7404,2019,WM,WM,FURNI,CONST,2751.47,572976359290854.0,5.0,2.0,572931360726115.5,0.0,44998564738.546,0.0,0.0,0.0,572931360726115.5,0.0,0.0,44998564738.546,0.0,208243724006.0237
4410,2019,WM,WM,ELEC2,EDUCA,1115.1,491354460072117.4,5.0,3.0,491326361030408.8,0.0,28013874756.27,0.0,0.0,85166952.272,491326361030408.8,85166952.272,0.0,28013874756.27,0.0,440637126779.7663
4973,2019,WM,WM,ELEC6,CRUDE,1680.96,481165492555683.25,4.0,2.0,481145917898028.5,0.0,19574657654.727,0.0,0.0,0.0,481145917898028.5,0.0,0.0,19574657654.727,0.0,286244463018.56274
4402,2019,WM,WM,ELEC2,CONST,1068.9,471000654145955.4,5.0,3.0,470973719075449.1,0.0,26853431499.186,0.0,0.0,81639007.054,470973719075449.1,81639007.054,0.0,26853431499.186,0.0,440640522168.5427
4508,2019,WM,WM,ELEC2,RESEA,888.61,391554227263250.4,5.0,3.0,391531835488153.0,0.0,22323906617.701,0.0,0.0,67868479.672,391531835488153.0,67868479.672,0.0,22323906617.701,0.0,440636755453.1801
4503,2019,WM,WM,ELEC2,REALE,856.11,377234297321803.4,5.0,3.0,377212724459204.8,0.0,21507476206.467,0.0,0.0,65386392.118,377212724459204.8,65386392.118,0.0,21507476206.467,0.0,440637648575.30383
10761,2019,WM,WM,MEDIC,PUBLI,1912.92,327333425170024.6,3.0,2.0,327321861222484.5,0.0,11563947540.121,0.0,0.0,0.0,327321861222484.5,0.0,0.0,11563947540.121,0.0,171117153446.05347
4509,2019,WM,WM,ELEC2,RETA1,719.35,316971628771304.4,5.0,3.0,316953502144315.06,0.0,18071685984.873,0.0,0.0,54941004.454,316953502144315.06,54941004.454,0.0,18071685984.873,0.0,440636169835.6911
4468,2019,WM,WM,ELEC2,NATUR,653.35,287893142177529.25,5.0,3.0,287876678459242.3,0.0,16413817485.175,0.0,0.0,49900801.746,287876678459242.3,49900801.746,0.0,16413817485.175,0.0,440641527783.7748
4439,2019,WM,WM,ELEC2,HEALT,606.28,267150390087062.75,5.0,3.0,267135112582606.2,0.0,15231199016.468,0.0,0.0,46305440.107,267135112582606.2,46305440.107,0.0,15231199016.468,0.0,440638632458.7035
4976,2019,WM,WM,ELEC6,DISTR,907.12,259659964228750.25,4.0,2.0,259649400805177.6,0.0,10563423572.667,0.0,0.0,0.0,259649400805177.6,0.0,0.0,10563423572.667,0.0,286246543157.19006
11320,2019,WM,WM,NATUR,NATUR,3430.01,244733854947184.03,2.0,2.0,244732003339022.9,0.0,0.0,0.0,1851608161.11,0.0,244732003339022.9,0.0,0.0,0.0,0.0,71350770098.97464
4441,2019,WM,WM,ELEC2,HOTEL,524.28,231017806067666.94,5.0,3.0,231004594873924.72,0.0,13171151198.461,0.0,0.0,40042543.748,231004594873924.72,40042543.748,0.0,13171151198.461,0.0,440638220164.1622
4436,2019,WM,WM,ELEC2,GASDI,512.9,226002505615837.38,5.0,3.0,225989581231614.62,0.0,12885210985.967,0.0,0.0,39173236.784,225989581231614.62,39173236.784,0.0,12885210985.967,0.0,440636587279.85455
