trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,CO2_total,CH4_total,N2O_total,impact_intensity
62,2020,US,US,93197,HEALT,7926.33,5392.569,4.0,4.0,5392.569,4471.711,413.066,189.691,0.680336
1,2020,US,US,93197,93197,2946.1,2400.704,4.0,4.0,2400.704,2105.549,218.332,6.054,0.814875
16,2020,US,US,93197,BUSIN,2768.66,1890.76,4.0,4.0,1890.76,1535.165,175.099,47.78,0.682915
33,2020,US,US,93197,EDUCA,513.87,971.47,4.0,4.0,971.47,910.994,37.53,0.686,1.890498
64,2020,US,US,93197,HOTEL,393.35,412.874,4.0,4.0,412.874,385.863,5.372,12.269,1.049635
67,2020,US,US,93197,INSUR,224.35,364.641,4.0,4.0,364.641,337.259,13.325,7.602,1.625322
48,2020,US,US,93197,FINAN,234.56,332.825,4.0,4.0,332.825,319.779,6.212,4.778,1.418933
24,2020,US,US,93197,COLLE,311.16,202.614,4.0,4.0,202.614,178.933,11.808,4.462,0.651157
25,2020,US,US,93197,COMPU,172.12,160.853,4.0,4.0,160.853,150.522,2.006,2.936,0.93454
82,2020,US,US,93197,MEMBE,143.45,158.862,4.0,4.0,158.862,141.367,5.675,6.377,1.107438
52,2020,US,US,93197,FOOD3,206.59,151.296,4.0,4.0,151.296,125.499,16.24,4.141,0.732349
58,2020,US,US,93197,FURNI,130.22,90.127,4.0,4.0,90.127,84.609,1.616,3.401,0.692113
37,2020,US,US,93197,ELEC2,78.88,83.774,4.0,4.0,83.774,79.412,1.301,2.009,1.062044
26,2020,US,US,93197,CONST,99.39,79.89,4.0,4.0,79.89,71.744,4.934,2.234,0.803803
47,2020,US,US,93197,FABRI,69.45,69.988,4.0,4.0,69.988,63.304,3.645,0.098,1.007747
56,2020,US,US,93197,FORES,32.19,62.442,4.0,4.0,62.442,59.333,2.152,0.671,1.939795
31,2020,US,US,93197,DIST1,104.7,46.521,4.0,4.0,46.521,30.844,9.286,3.636,0.444327
27,2020,US,US,93197,COPP1,21.1,30.91,4.0,4.0,30.91,28.694,0.909,0.985,1.464929
45,2020,US,US,93197,ELECT,28.97,29.425,4.0,4.0,29.425,27.68,0.944,0.212,1.015706
39,2020,US,US,93197,ELEC4,56.86,27.703,4.0,4.0,27.703,19.639,5.379,1.616,0.487214
70,2020,US,US,93197,LANDT,97.38,25.124,4.0,4.0,25.124,17.345,3.823,3.585,0.258
5,2020,US,US,93197,ANIMA,10.0,20.253,4.0,4.0,20.253,19.274,0.821,0.134,2.0253
61,2020,US,US,93197,GLASS,32.3,16.536,4.0,4.0,16.536,13.902,1.41,0.399,0.51195
36,2020,US,US,93197,ELEC1,42.08,10.362,4.0,4.0,10.362,7.723,0.681,0.486,0.246245
81,2020,US,US,93197,MEDIC,13.97,8.635,4.0,4.0,8.635,7.242,0.776,0.522,0.61811
7,2020,US,US,93197,BASIC,7.98,8.067,4.0,4.0,8.067,7.189,0.537,0.112,1.010902
2,2020,US,US,93197,AIRTR,8.28,7.153,4.0,4.0,7.153,6.138,0.644,0.188,0.863889
50,2020,US,US,93197,FISHF,4.06,6.779,4.0,4.0,6.779,6.338,0.165,0.147,1.669704
77,2020,US,US,93197,MEAT4,3.07,5.576,4.0,4.0,5.576,5.316,0.07,0.147,1.816287
57,2020,US,US,93197,FOUND,6.75,4.902,4.0,4.0,4.902,3.906,0.655,0.214,0.726222
17,2020,US,US,93197,CEMEN,4.19,4.623,4.0,4.0,4.623,4.185,0.22,0.073,1.103341
40,2020,US,US,93197,ELEC5,5.5,3.917,4.0,4.0,3.917,2.993,0.528,0.157,0.712182
92,2020,US,US,93197,OFFIC,16.88,3.382,4.0,4.0,3.382,2.406,0.8,0.159,0.200355
75,2020,US,US,93197,MACHI,4.01,2.846,4.0,4.0,2.846,2.539,0.087,0.148,0.709726
8,2020,US,US,93197,BEVER,10.51,2.812,4.0,4.0,2.812,1.262,0.994,0.298,0.267555
6,2020,US,US,93197,AUXIL,3.54,2.634,4.0,4.0,2.634,2.23,0.267,0.08,0.744068
83,2020,US,US,93197,MOTO1,8.37,2.558,4.0,4.0,2.558,1.239,0.76,0.194,0.305615
30,2020,US,US,93197,DAIRY,1.23,2.445,4.0,4.0,2.445,2.39,0.018,0.024,1.987805
49,2020,US,US,93197,FISH5,1.73,2.439,4.0,4.0,2.439,2.274,0.097,0.02,1.409827
54,2020,US,US,93197,FOOD5,7.14,1.537,4.0,4.0,1.537,0.796,0.283,0.142,0.215266
28,2020,US,US,93197,CROPS,1.48,1.432,4.0,4.0,1.432,1.304,0.045,0.06,0.967568
88,2020,US,US,93197,NONF1,0.64,1.275,4.0,4.0,1.275,1.213,0.013,0.028,1.992187
53,2020,US,US,93197,FOOD4,0.58,1.251,4.0,4.0,1.251,1.164,0.048,0.02,2.156897
29,2020,US,US,93197,CRUDE,0.69,1.153,4.0,4.0,1.153,1.109,0.016,0.013,1.671014
3,2020,US,US,93197,ALUM1,1.64,1.098,4.0,4.0,1.098,0.892,0.154,0.044,0.669512
98,2020,US,US,93197,PAPER,1.81,1.082,4.0,4.0,1.082,0.808,0.139,0.067,0.59779
20,2020,US,US,93197,CHEM1,1.14,1.071,4.0,4.0,1.071,0.944,0.05,0.039,0.939474
65,2020,US,US,93197,INERT,0.93,0.954,4.0,4.0,0.954,0.878,0.034,0.021,1.025806
34,2020,US,US,93197,ELE11,0.94,0.857,4.0,4.0,0.857,0.752,0.057,0.008,0.911702
76,2020,US,US,93197,MEAT1,0.54,0.755,4.0,4.0,0.755,0.701,0.011,0.022,1.398148
66,2020,US,US,93197,INLAN,0.37,0.545,4.0,4.0,0.545,0.492,0.027,0.01,1.472973
84,2020,US,US,93197,MOTOR,0.51,0.514,4.0,4.0,0.514,0.488,0.013,0.012,1.007843
96,2020,US,US,93197,PAPE3,0.75,0.499,4.0,4.0,0.499,0.44,0.025,0.026,0.665333
41,2020,US,US,93197,ELEC6,0.57,0.427,4.0,4.0,0.427,0.364,0.041,0.006,0.749123
15,2020,US,US,93197,BRICK,0.6,0.407,4.0,4.0,0.407,0.304,0.047,0.03,0.678333
55,2020,US,US,93197,FOODW,0.27,0.404,4.0,4.0,0.404,0.378,0.004,0.01,1.496296
78,2020,US,US,93197,MEATA,0.27,0.389,4.0,4.0,0.389,0.366,0.011,0.006,1.440741
80,2020,US,US,93197,MEATP,0.38,0.359,4.0,4.0,0.359,0.321,0.017,0.009,0.944737
97,2020,US,US,93197,PAPE4,0.72,0.332,4.0,4.0,0.332,0.262,0.038,0.013,0.461111
68,2020,US,US,93197,INTER,0.35,0.318,4.0,4.0,0.318,0.277,0.025,0.003,0.908571
59,2020,US,US,93197,GASDI,0.38,0.293,4.0,4.0,0.293,0.237,0.026,0.013,0.771053
35,2020,US,US,93197,ELE12,0.28,0.288,4.0,4.0,0.288,0.254,0.023,0.001,1.028571
79,2020,US,US,93197,MEATC,0.53,0.27,4.0,4.0,0.27,0.214,0.019,0.022,0.509434
43,2020,US,US,93197,ELEC8,0.2,0.269,4.0,4.0,0.269,0.248,0.016,0.0,1.345
