trade_id,year,region1,region2,industry1,industry2,amount
13574,2020,CA,US,CRUDE,MOTOR,23819.46
109168,2020,WL,US,INSUR,INSUR,18335.37
13565,2020,CA,US,CRUDE,GASDI,15287.89
72997,2020,MX,US,CRUDE,MOTOR,8102.19
24436,2020,CN,US,RUBBE,MOTO1,6716.23
12441,2020,CA,US,ALUM1,ALUM1,6012.80
24771,2020,CN,US,TEXTI,HEALT,5678.52
19962,2020,CH,US,INSUR,INSUR,5617.48
72990,2020,MX,US,CRUDE,GASDI,5200.18
76910,2020,MX,US,VEGET,FOOD5,5110.85
101611,2020,WA,US,RUBBE,MOTO1,4705.79
111299,2020,WL,US,VEGET,FOOD5,4523.54
18862,2020,CA,US,WOODW,WOODW,4390.79
17169,2020,CA,US,PFERT,PFERT,4231.00
108119,2020,WL,US,CRUDE,MOTOR,4027.75
112457,2020,WM,US,CRUDE,MOTOR,3941.69
13570,2020,CA,US,CRUDE,LIQUE,3433.06
76420,2020,MX,US,RUBBE,MOTO1,3405.86
17934,2020,CA,US,RUBBE,MOTO1,3379.12
75886,2020,MX,US,PREC1,FURNI,3310.44
44606,2020,GB,US,INSUR,INSUR,3168.03
24829,2020,CN,US,TEXTI,RETA1,2991.74
13560,2020,CA,US,CRUDE,CHEM1,2626.93
108112,2020,WL,US,CRUDE,GASDI,2585.11
112450,2020,WM,US,CRUDE,GASDI,2529.87
74276,2020,MX,US,GLASS,MOTO1,2517.64
22601,2020,CN,US,GLASS,MOTO1,2461.02
75771,2020,MX,US,PLAST,RUBBE,2421.30
53992,2020,IE,US,INSUR,INSUR,2373.06
108045,2020,WL,US,CROPS,BEVER,2306.86
12691,2020,CA,US,BASIC,MOTO1,2074.77
24377,2020,CN,US,RUBBE,CONST,2072.47
98283,2020,WA,US,CROPS,BEVER,2036.31
13569,2020,CA,US,CRUDE,KEROS,2012.28
102373,2020,WA,US,VEGET,FOOD5,1999.84
23563,2020,CN,US,OFFIC,FINAN,1973.23
102146,2020,WA,US,TEXTI,HEALT,1945.51
72515,2020,MX,US,CATTL,MEATC,1925.60
24467,2020,CN,US,RUBBE,PUBLI,1922.39
102724,2020,WA,US,WOODW,WOODW,1912.85
107990,2020,WL,US,COPP1,COPP1,1893.67
24412,2020,CN,US,RUBBE,HEALT,1840.52
22149,2020,CN,US,FABRI,MOTO1,1803.74
13485,2020,CA,US,COPP1,COPP1,1704.22
17044,2020,CA,US,PAPER,PAPER,1684.17
97821,2020,WA,US,CEMEN,CONST,1657.76
25209,2020,CN,US,WOODW,WOODW,1652.45
72224,2020,MX,US,BASIC,MOTO1,1636.43
12663,2020,CA,US,BASIC,FABRI,1635.52
14796,2020,CA,US,FOOD5,FOOD5,1624.16
114269,2020,WM,US,PFERT,PFERT,1609.71
72892,2020,MX,US,COPP1,COPP1,1585.89
15785,2020,CA,US,LEAD1,RADIO,1566.82
101893,2020,WA,US,SEACO,PUBLI,1557.08
19305,2020,CH,US,CHEM1,RESEA,1531.74
24478,2020,CN,US,RUBBE,RUBBE,1526.38
101552,2020,WA,US,RUBBE,CONST,1452.10
73897,2020,MX,US,FOOD5,FOOD5,1439.03
73684,2020,MX,US,FABRI,MOTO1,1407.16
102288,2020,WA,US,VEGE1,CHEM1,1402.81
24814,2020,CN,US,TEXTI,PLAST,1399.23
19243,2020,CH,US,CHEM1,HEALT,1370.90
104836,2020,WF,US,CROPS,BEVER,1368.08
52974,2020,IE,US,AUXIL,INSUR,1351.80
74708,2020,MX,US,LEAD1,RADIO,1348.80
101641,2020,WA,US,RUBBE,PUBLI,1346.94
75881,2020,MX,US,PREC1,ELECT,1332.35
111587,2020,WL,US,WOODW,WOODW,1325.35
21712,2020,CN,US,CHEM1,RESEA,1299.88
72197,2020,MX,US,BASIC,FABRI,1289.98
101587,2020,WA,US,RUBBE,HEALT,1289.58
102466,2020,WA,US,WEARI,PUBLI,1257.80
111666,2020,WM,US,ALUM1,ALUM1,1237.90
12635,2020,CA,US,BASIC,BASIC,1230.38
15504,2020,CA,US,INSUR,INSUR,1211.91
19290,2020,CH,US,CHEM1,PLAST,1205.07
68668,2020,KR,US,RUBBE,MOTO1,1190.86
100478,2020,WA,US,OFFIC,FINAN,1174.27
72995,2020,MX,US,CRUDE,LIQUE,1167.75
21652,2020,CN,US,CHEM1,HEALT,1163.39
98581,2020,WA,US,FABRI,MOTO1,1161.99
22041,2020,CN,US,ELECT,RESEA,1159.34
72535,2020,MX,US,CEMEN,CONST,1149.32
29826,2020,DE,US,PLAST,RUBBE,1141.58
9950,2020,BR,US,CROPS,BEVER,1134.87
22096,2020,CN,US,FABRI,CONST,1132.00
16731,2020,CA,US,NONME,CONST,1125.78
21951,2020,CN,US,ELECT,CONST,1120.41
68493,2020,KR,US,PLAST,RUBBE,1118.45
13058,2020,CA,US,CATTL,MEATC,1118.25
13078,2020,CA,US,CEMEN,CONST,1107.51
30112,2020,DE,US,PUBLI,PUBLI,1096.86
16596,2020,CA,US,NATUR,PUBLI,1094.02
101652,2020,WA,US,RUBBE,RUBBE,1069.48
114765,2020,WM,US,RUBBE,MOTO1,1051.78
76362,2020,MX,US,RUBBE,CONST,1050.97
76741,2020,MX,US,TEXTI,HEALT,1045.44
101257,2020,WA,US,RAILW,CATTL,1044.33
17876,2020,CA,US,RUBBE,CONST,1042.72
102196,2020,WA,US,TEXTI,RETA1,1025.00
21698,2020,CN,US,CHEM1,PLAST,1022.66
58993,2020,IN,US,TEXTI,HEALT,1007.53
75389,2020,MX,US,NONME,CONST,1001.31
52957,2020,IE,US,AUXIL,FINAN,992.04
17056,2020,CA,US,PAPER,PUBLI,990.58
