flow_uuid,flowable,context,unit,compartment,flow_class,preferred,external_reference,cas_number,formula,synonyms,trade_relevance
21l21l21-a764-3063-af2d-bcb8309a97d8,Employment,economic,person*year,economic,economic,True,BEA,,,,20
22m22m22-a764-3063-af2d-bcb8309a97d9,Value added,economic,USD,economic,economic,True,BEA,,,,20
b6f010fb-a764-3063-af2d-bcb8309a97b7,Carbon dioxide,emission/air,kg,air,environmental,True,EPA,,,,15
7b8b7b8b-a764-3063-af2d-bcb8309a97b8,Methane,emission/air,kg,air,environmental,True,EPA,,,,15
17h17h17-a764-3063-af2d-bcb8309a97d4,Energy use,resource/natural,MJ,natural resources,resource,True,EPA,,,,14
18i18i18-a764-3063-af2d-bcb8309a97d5,Land use,resource/natural,m2,natural resources,resource,True,EPA,,,,14
16g16g16-a764-3063-af2d-bcb8309a97d3,Water use,resource/natural,L,natural resources,resource,True,EPA,,,,14
a1e1a1e1-a764-3063-af2d-bcb8309a97c1,Nitrogen oxides,emission/air,kg,air,environmental,True,EPA,,,,10
13d13d13-a764-3063-af2d-bcb8309a97d0,Nitrogen total,emission/water,kg,water,environmental,True,EPA,,,,10
b2f2b2f2-a764-3063-af2d-bcb8309a97c2,Particulate matter,emission/air,kg,air,environmental,True,EPA,,,,10
9d0d9d0d-a764-3063-af2d-bcb8309a97c0,Sulfur dioxide,emission/air,kg,air,environmental,True,EPA,,,,10
23n23n23-a764-3063-af2d-bcb8309a97e0,Tax revenue,economic,USD,economic,economic,True,BEA,,,,10
19j19j19-a764-3063-af2d-bcb8309a97d6,Fossil fuel depletion,resource/natural,MJ surplus,natural resources,resource,True,EPA,,,,9
20k20k20-a764-3063-af2d-bcb8309a97d7,Mineral depletion,resource/natural,kg Fe equiv,natural resources,resource,True,EPA,,,,9
e5i5e5i5-a764-3063-af2d-bcb8309a97c5,Ammonia,emission/air,kg,air,environmental,True,EPA,,,,5
f6j6f6j6-a764-3063-af2d-bcb8309a97c6,Benzene,emission/air,kg,air,environmental,True,EPA,,,,5
10a10a10-a764-3063-af2d-bcb8309a97c7,Biological oxygen demand,emission/water,kg,water,environmental,True,EPA,,,,5
c3g3c3g3-a764-3063-af2d-bcb8309a97c3,Carbon monoxide,emission/air,kg,air,environmental,True,EPA,,,,5
11b11b11-a764-3063-af2d-bcb8309a97c8,Chemical oxygen demand,emission/water,kg,water,environmental,True,EPA,,,,5
15f15f15-a764-3063-af2d-bcb8309a97d2,Heavy metals,emission/water,kg,water,environmental,True,EPA,,,,5
8c9c8c9c-a764-3063-af2d-bcb8309a97b9,Nitrous oxide,emission/air,kg,air,environmental,True,EPA,,,,5
14e14e14-a764-3063-af2d-bcb8309a97d1,Phosphorus total,emission/water,kg,water,environmental,True,EPA,,,,5
12c12c12-a764-3063-af2d-bcb8309a97c9,Suspended solids,emission/water,kg,water,environmental,True,EPA,,,,5
d4h4d4h4-a764-3063-af2d-bcb8309a97c4,Volatile organic compounds,emission/air,kg,air,environmental,True,EPA,,,,5
e551f124-11d0-437b-bc40-005e6cf2d004,1,environmental,kg,environmental,environmental,True,Generated,,,,2
811d69aa-2fce-4713-aaa1-7715ca5afe8c,1,environmental,kg,environmental,environmental,True,Generated,,,,2
6affca69-2096-4182-813e-26ee5cdfd2b3,2,environmental,kg,environmental,environmental,True,Generated,,,,2
d40ef532-0f54-490d-b57c-aaeb3d5b06f3,2,environmental,kg,environmental,environmental,True,Generated,,,,2
bf72fa99-5b60-4d02-9c29-7804b2a64ab2,3,environmental,kg,environmental,environmental,True,Generated,,,,2
d420066b-6d5e-40ef-af68-62a84e6db0a7,3,environmental,kg,environmental,environmental,True,Generated,,,,2
dc15bf69-e637-4726-8d6e-55710a77f60b,4,environmental,kg,environmental,environmental,True,Generated,,,,2
d2658787-425e-4b24-8ca6-c2b2b9a8f110,4,environmental,kg,environmental,environmental,True,Generated,,,,2
8261b647-6091-49d6-b221-4333a227f466,5,environmental,kg,environmental,environmental,True,Generated,,,,2
a0261ede-ddf2-44eb-ac49-e6b6e20eac1a,5,environmental,kg,environmental,environmental,True,Generated,,,,2
060a2432-d9aa-47bb-bbf4-981669e7e85b,6,environmental,kg,environmental,environmental,True,Generated,,,,2
4614c3e9-953d-4174-a857-7cc55b2b2493,6,environmental,kg,environmental,environmental,True,Generated,,,,2
6128b7d3-3deb-4339-ba6d-b3446fee442d,7,environmental,kg,environmental,environmental,True,Generated,,,,2
d39769e2-fef6-410f-a8e6-c0cf53aef1ac,7,environmental,kg,environmental,environmental,True,Generated,,,,2
60052153-f2c8-4756-bb25-98935c61d507,8,environmental,kg,environmental,environmental,True,Generated,,,,2
13ab5b0f-9394-4732-9399-b4fcb4b91b8c,8,environmental,kg,environmental,environmental,True,Generated,,,,2
11af4902-3eee-4f11-bec8-9810dcb50e3f,9,environmental,kg,environmental,environmental,True,Generated,,,,2
d9f7b698-2df2-43d0-9aff-d63494ea8b92,9,environmental,kg,environmental,environmental,True,Generated,,,,2
d5f901e4-bc7d-412c-9dbc-cc6987f111ea,10,environmental,kg,environmental,environmental,True,Generated,,,,2
224b97f4-ea50-4652-996d-d29cdb346052,10,environmental,kg,environmental,environmental,True,Generated,,,,2
843503bd-347f-4d68-82b9-d2955457cc3f,11,environmental,kg,environmental,environmental,True,Generated,,,,2
83e871db-8e76-4200-be0d-05b86f758579,11,environmental,kg,environmental,environmental,True,Generated,,,,2
6ffff4a1-c4ac-4bf0-860c-c4dd4f2f2367,12,environmental,kg,environmental,environmental,True,Generated,,,,2
7dffc5e4-e24c-467a-bae9-a932c33b9654,12,environmental,kg,environmental,environmental,True,Generated,,,,2
bd00eef2-1b52-4b91-a0ae-d532e4526b25,13,environmental,kg,environmental,environmental,True,Generated,,,,2
312e2d39-2821-4a22-bd35-267f52a9ca9c,13,environmental,kg,environmental,environmental,True,Generated,,,,2
77c7d079-6c51-49c9-92b3-bacd4f0ceb30,14,environmental,kg,environmental,environmental,True,Generated,,,,2
213a467f-2b47-49af-947c-e2c67b97876f,14,environmental,kg,environmental,environmental,True,Generated,,,,2
403d807e-6c0b-4eb7-8963-31b9fea0aed8,15,environmental,kg,environmental,environmental,True,Generated,,,,2
47564aa2-643c-4fe2-9708-997f16295ec4,15,environmental,kg,environmental,environmental,True,Generated,,,,2
35cf9dd3-a50c-45d8-8e56-ccab0b5c6933,16,environmental,kg,environmental,environmental,True,Generated,,,,2
4bab1320-bee6-4ffd-bff9-065c367dc141,16,environmental,kg,environmental,environmental,True,Generated,,,,2
e9f36f4d-be22-4df2-b0c8-a82e27b1b3a8,17,environmental,kg,environmental,environmental,True,Generated,,,,2
4689402b-a4f1-4c16-95c7-e922ecb48c69,17,environmental,kg,environmental,environmental,True,Generated,,,,2
5bcca3e5-29ca-443c-99ad-f71377dd1e08,18,environmental,kg,environmental,environmental,True,Generated,,,,2
df44e285-d32e-4b1c-ba1b-7386730c7b32,18,environmental,kg,environmental,environmental,True,Generated,,,,2
28e8c41c-f0be-4aa2-95c5-a00ca3684a21,19,environmental,kg,environmental,environmental,True,Generated,,,,2
c8459494-4ed5-4db0-ace6-fc71a67b551c,19,environmental,kg,environmental,environmental,True,Generated,,,,2
7399b7ae-7464-47f5-9357-a4955e786c89,20,environmental,kg,environmental,environmental,True,Generated,,,,2
dcf3e6f7-5387-4b29-92d9-ad775aa82d09,20,environmental,kg,environmental,environmental,True,Generated,,,,2
d62f0bc7-552e-410e-830b-f32b38728797,21,environmental,kg,environmental,environmental,True,Generated,,,,2
76652702-080a-4013-af84-54a6f3380f1a,21,environmental,kg,environmental,environmental,True,Generated,,,,2
9c7fd12e-9099-42a2-a56f-df79db6a2c42,22,environmental,kg,environmental,environmental,True,Generated,,,,2
71670ec9-b4f9-42dc-aef7-5f0228ee4ff5,22,environmental,kg,environmental,environmental,True,Generated,,,,2
259b80ed-f0b9-4da2-98b8-def220d11df9,23,environmental,kg,environmental,environmental,True,Generated,,,,2
7690c902-b14e-45ed-bebe-a8ddfba3f730,23,environmental,kg,environmental,environmental,True,Generated,,,,2
e634ded0-4365-4e57-b852-ac7f355c8824,24,environmental,kg,environmental,environmental,True,Generated,,,,2
4ab2d459-9465-4d47-a071-d189346d8e37,24,environmental,kg,environmental,environmental,True,Generated,,,,2
45e63dc7-8d5e-4117-8b6c-048d183e3a5b,25,environmental,kg,environmental,environmental,True,Generated,,,,2
920f4261-66e9-4282-9053-51f431fee14a,25,environmental,kg,environmental,environmental,True,Generated,,,,2
5ab1f51e-bc93-45cc-b341-b16324876fb3,26,environmental,kg,environmental,environmental,True,Generated,,,,2
4bff9be5-9e4b-46e7-8a20-177b477cb743,26,environmental,kg,environmental,environmental,True,Generated,,,,2
ff11dde8-fdfd-4491-b250-ea5ec71c7676,27,environmental,kg,environmental,environmental,True,Generated,,,,2
7459dcce-ce68-4f62-ade4-4b796592d052,27,environmental,kg,environmental,environmental,True,Generated,,,,2
9ae6c72e-ebd0-4c35-bcd5-0bdd757dfd8a,28,environmental,kg,environmental,environmental,True,Generated,,,,2
49402940-8be8-4fcd-8fb8-3e0956870b60,28,environmental,kg,environmental,environmental,True,Generated,,,,2
f330f321-0ac2-4c99-a47c-4c18ac9ba060,29,environmental,kg,environmental,environmental,True,Generated,,,,2
e4499417-fb99-464e-be69-f419897ece8a,29,environmental,kg,environmental,environmental,True,Generated,,,,2
deb0e274-e37b-461a-b49e-f154bd88e328,30,environmental,kg,environmental,environmental,True,Generated,,,,2
c86a0f58-4898-48b7-a678-0b5f4c5993d2,30,environmental,kg,environmental,environmental,True,Generated,,,,2
773bb0a7-10f7-4275-ae14-c7f4abcb8300,31,environmental,kg,environmental,environmental,True,Generated,,,,2
a2b2259c-d7c2-4aaf-8644-ec1a775874c9,31,environmental,kg,environmental,environmental,True,Generated,,,,2
efe51d8d-6204-4a10-9efb-4d5ca569f773,32,environmental,kg,environmental,environmental,True,Generated,,,,2
903a8376-6ba5-4c46-80dd-858129a09cba,32,environmental,kg,environmental,environmental,True,Generated,,,,2
7367670b-2e95-47f0-b633-d4459e44f49f,33,environmental,kg,environmental,environmental,True,Generated,,,,2
a81c1f9c-1679-4e5a-8689-1f38bc889935,33,environmental,kg,environmental,environmental,True,Generated,,,,2
8f8db4da-c9db-4ba4-9267-66c19802d501,34,environmental,kg,environmental,environmental,True,Generated,,,,2
43a17344-183b-48f9-a0ea-6698ecae58c2,34,environmental,kg,environmental,environmental,True,Generated,,,,2
219907c8-7afe-47f6-9b98-e9ae1e703bf2,35,environmental,kg,environmental,environmental,True,Generated,,,,2
55087527-7a44-4d6f-a33b-70ad1d5bf4c3,35,environmental,kg,environmental,environmental,True,Generated,,,,2
777bc09a-bb23-4846-abb0-dc8678b47417,36,environmental,kg,environmental,environmental,True,Generated,,,,2
f1b36bf1-fe3a-4357-8b85-eaeb4a9b385d,36,environmental,kg,environmental,environmental,True,Generated,,,,2
0b734c1c-6e57-45cd-b7dd-87278ef2c676,37,environmental,kg,environmental,environmental,True,Generated,,,,2
8fce0e67-3b87-43c2-9337-b87393dc55ea,37,environmental,kg,environmental,environmental,True,Generated,,,,2
bce6a8d1-ffcc-444b-a872-b665a7195b61,38,environmental,kg,environmental,environmental,True,Generated,,,,2
4007efdf-8e31-48eb-80d0-d4fe46871639,38,environmental,kg,environmental,environmental,True,Generated,,,,2
