region,industry_code,direct_jobs,indirect_jobs,induced_jobs,total_output_impact,tax_revenue_impact
US-AZ,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-CA,services,0.043636711878,0.0261820271268,0.021818355939,5090.9497191,610.9139662919999
US-FL,services,0.021818355939,0.0130910135634,0.0109091779695,2545.47485955,305.45698314599997
US-GA,services,0.0109091779695,0.0065455067817,0.00545458898475,1272.737429775,152.72849157299999
US-IL,services,0.014545570626,0.0087273423756,0.007272785313,1696.9832397,203.637988764
US-IN,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-MA,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-MD,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-MI,services,0.0109091779695,0.0065455067817,0.00545458898475,1272.737429775,152.72849157299999
US-MO,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-NC,services,0.0109091779695,0.0065455067817,0.00545458898475,1272.737429775,152.72849157299999
US-NJ,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-NY,services,0.0087273423756,0.005236405425359999,0.0043636711878,1018.1899438200002,122.18279325840001
US-OH,services,0.0087273423756,0.005236405425359999,0.0043636711878,1018.1899438200002,122.18279325840001
US-PA,services,0.014545570626,0.0087273423756,0.007272785313,1696.9832397,203.637988764
US-TN,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-TX,services,0.0327275339085,0.019636520345099998,0.01636376695425,3818.212289325,458.18547471899996
US-VA,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-WA,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
US-WI,services,0.0036363926565,0.0021818355939,0.00181819632825,424.245809925,50.909497191
