trade_id,year,region1,region2,industry1,industry2,amount
628,2021,US,US,AUXIL,AUXIL,335161.71
694,2021,US,US,AUXIL,INSUR,288493.68
15065,2021,US,US,REALE,HEALT,286761.33
1887,2021,US,US,BUSIN,HEALT,266984.44
3137,2021,US,US,CONST,REALE,224692.84
1955,2021,US,US,BUSIN,RESEA,200119.17
3515,2021,US,US,CRUDE,MOTOR,197950.32
8770,2021,US,US,INSUR,HEALT,190476.67
15132,2021,US,US,REALE,RETA1,175911.43
6246,2021,US,US,FINAN,REALE,170685.04
15127,2021,US,US,REALE,REALE,163876.90
1839,2021,US,US,BUSIN,BUSIN,141042.06
6168,2021,US,US,FINAN,FINAN,131879.35
15660,2021,US,US,RESEA,RESEA,129207.44
18941,2021,US,US,WHOLE,HEALT,125921.81
6188,2021,US,US,FINAN,INSUR,121405.39
15717,2021,US,US,RETA1,CONST,114360.47
1956,2021,US,US,BUSIN,RETA1,114307.31
15067,2021,US,US,REALE,HOTEL,112853.97
14046,2021,US,US,POSTT,WHOLE,112235.44
18908,2021,US,US,WHOLE,CONST,109982.42
15159,2021,US,US,REALE,WHOLE,106193.45
1889,2021,US,US,BUSIN,HOTEL,102437.61
3462,2021,US,US,CRUDE,CRUDE,100937.97
3486,2021,US,US,CRUDE,GASDI,98639.65
11049,2021,US,US,MOTO1,MOTO1,88140.26
3453,2021,US,US,CRUDE,CHEM1,87651.49
15071,2021,US,US,REALE,INSUR,85786.08
1873,2021,US,US,BUSIN,FINAN,84683.60
17294,2021,US,US,SUPPO,RESEA,84267.34
14003,2021,US,US,POSTT,POSTT,83766.69
8833,2021,US,US,INSUR,REALE,83705.83
8179,2021,US,US,HOTEL,HEALT,79889.93
5982,2021,US,US,FABRI,CONST,77244.61
17295,2021,US,US,SUPPO,RETA1,75948.49
2075,2021,US,US,CEMEN,CONST,75501.94
15036,2021,US,US,REALE,EDUCA,74993.86
19035,2021,US,US,WHOLE,WHOLE,74947.32
1850,2021,US,US,BUSIN,COMPU,74707.33
15017,2021,US,US,REALE,BUSIN,74102.36
13951,2021,US,US,POSTT,HEALT,73371.44
13962,2021,US,US,POSTT,LANDT,71574.68
17321,2021,US,US,SUPPO,WHOLE,70618.88
13874,2021,US,US,PLAST,RUBBE,68928.33
6044,2021,US,US,FABRI,MOTO1,68119.73
15051,2021,US,US,REALE,FINAN,65304.60
9227,2021,US,US,LANDT,CONST,63913.24
2861,2021,US,US,COMPU,BUSIN,62124.03
7935,2021,US,US,HEALT,HEALT,60899.83
9164,2021,US,US,KEROS,AIRTR,59442.87
2910,2021,US,US,COMPU,HEALT,59145.28
9234,2021,US,US,LANDT,EDUCA,55280.30
1851,2021,US,US,BUSIN,CONST,51825.02
7004,2021,US,US,FOOD5,FOOD5,51783.03
6182,2021,US,US,FINAN,HEALT,51666.97
18968,2021,US,US,WHOLE,MOTO1,49351.29
13902,2021,US,US,POSTT,BUSIN,47839.26
13922,2021,US,US,POSTT,EDUCA,47640.59
3132,2021,US,US,CONST,PUBLI,47279.01
905,2021,US,US,BASIC,FABRI,44725.90
14019,2021,US,US,POSTT,RETA1,44694.84
18933,2021,US,US,WHOLE,FOOD5,42762.59
3518,2021,US,US,CRUDE,NATUR,42167.27
2323,2021,US,US,CEREA,FOOD5,41955.69
8828,2021,US,US,INSUR,PUBLI,41565.40
14949,2021,US,US,RAWMI,DAIRY,40771.50
17307,2021,US,US,SUPPO,SUPPO,40632.00
1893,2021,US,US,BUSIN,INSUR,40549.90
17239,2021,US,US,SUPPO,LANDT,40517.94
11157,2021,US,US,MOTOR,EDUCA,40076.67
3984,2021,US,US,DISTR,REALE,39392.41
9255,2021,US,US,LANDT,FOOD5,39369.27
19009,2021,US,US,WHOLE,RESEA,39108.16
2978,2021,US,US,COMPU,RESEA,38408.79
3498,2021,US,US,CRUDE,KEROS,38405.44
9263,2021,US,US,LANDT,HEALT,38262.80
1946,2021,US,US,BUSIN,PUBLI,38238.33
18915,2021,US,US,WHOLE,EDUCA,37894.57
2969,2021,US,US,COMPU,PUBLI,37404.52
13937,2021,US,US,POSTT,FINAN,36674.36
14301,2021,US,US,PRINT,EDUCA,36533.14
6133,2021,US,US,FINAN,BUSIN,36293.51
2872,2021,US,US,COMPU,COMPU,35908.71
14014,2021,US,US,POSTT,REALE,35824.50
17787,2021,US,US,TEXTI,TEXTI,35412.94
18901,2021,US,US,WHOLE,CHEM1,33094.06
11378,2021,US,US,NATUR,ELEC2,33059.77
6003,2021,US,US,FABRI,FABRI,32594.13
8776,2021,US,US,INSUR,INSUR,32417.02
2021,2021,US,US,CATTL,MEATC,32270.81
11243,2021,US,US,MOTOR,PUBLI,32098.68
13318,2021,US,US,PFERT,PFERT,31853.24
14329,2021,US,US,PRINT,HEALT,31722.94
2459,2021,US,US,CHEM1,HEALT,31641.89
7439,2021,US,US,FOUND,MOTO1,31310.17
19396,2021,US,US,WOODW,CONST,31074.88
15886,2021,US,US,RUBBE,CONST,31018.84
17164,2021,US,US,SUPPO,AIRTR,30822.23
18887,2021,US,US,WHOLE,BASIC,30718.23
18943,2021,US,US,WHOLE,HOTEL,30576.19
9230,2021,US,US,LANDT,CRUDE,30424.90
8241,2021,US,US,HOTEL,REALE,30288.39
19000,2021,US,US,WHOLE,PUBLI,29626.42
1859,2021,US,US,BUSIN,EDUCA,29402.81
15029,2021,US,US,REALE,CONST,29346.43
7012,2021,US,US,FOOD5,HOTEL,29100.42
867,2021,US,US,BASIC,BASIC,28479.20
14070,2021,US,US,POULT,MEAT1,28258.38
14009,2021,US,US,POSTT,PUBLI,28202.86
13245,2021,US,US,PFERT,CEREA,27218.42
3826,2021,US,US,DIST1,REALE,26919.15
13913,2021,US,US,POSTT,COMPU,26902.21
1855,2021,US,US,BUSIN,CRUDE,26849.38
7657,2021,US,US,GASDI,CONST,26777.03
15948,2021,US,US,RUBBE,MOTO1,26620.13
18137,2021,US,US,TRANS,TRANS,25889.71
2896,2021,US,US,COMPU,FINAN,25734.45
13953,2021,US,US,POSTT,HOTEL,25299.81
8866,2021,US,US,INSUR,WHOLE,25100.67
17279,2021,US,US,SUPPO,POSTT,24835.59
3006,2021,US,US,COMPU,WHOLE,24581.34
19521,2021,US,US,WOODW,WOODW,24274.46
15922,2021,US,US,RUBBE,HEALT,24194.03
14383,2021,US,US,PRINT,PRINT,24135.92
6969,2021,US,US,FOOD5,BEVER,23875.77
8756,2021,US,US,INSUR,FINAN,23027.97
8131,2021,US,US,HOTEL,BUSIN,22967.45
15028,2021,US,US,REALE,COMPU,22495.27
15090,2021,US,US,REALE,MEMBE,22439.62
6251,2021,US,US,FINAN,RETA1,22394.89
3605,2021,US,US,DAIRY,DAIRY,22390.53
3558,2021,US,US,CRUDE,RUBBE,21344.81
18896,2021,US,US,WHOLE,BUSIN,21166.57
15145,2021,US,US,REALE,SUPPO,20824.88
