trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
3515,2021,US,US,CRUDE,MOTOR,197950.32,109233615960.873,1.0,1.0,109233615960.873,109233615960.873,109233615960.873,551823.3866
3462,2021,US,US,CRUDE,CRUDE,100937.97,55699933067.195,1.0,1.0,55699933067.195,55699933067.195,55699933067.195,551823.392795
3486,2021,US,US,CRUDE,GASDI,98639.65,54431664635.392,1.0,1.0,54431664635.392,54431664635.392,54431664635.392,551823.375644
3453,2021,US,US,CRUDE,CHEM1,87651.49,48368144552.787,1.0,1.0,48368144552.787,48368144552.787,48368144552.787,551823.415127
2021,2021,US,US,CATTL,MEATC,32270.81,28763094581.147,2.0,1.0,28763094581.147,28763094581.147,28763094581.147,891303.768983
3518,2021,US,US,CRUDE,NATUR,42167.27,23268884381.318,1.0,1.0,23268884381.318,23268884381.318,23268884381.318,551823.354496
11378,2021,US,US,NATUR,ELEC2,33059.77,22055944750.082,1.0,1.0,22055944750.082,22055944750.082,22055944750.082,667153.605427
3498,2021,US,US,CRUDE,KEROS,38405.44,21193022193.922,1.0,1.0,21193022193.922,21193022193.922,21193022193.922,551823.444645
2323,2021,US,US,CEREA,FOOD5,41955.69,16746125049.058,1.0,1.0,16746125049.058,16746125049.058,16746125049.058,399138.354036
1994,2021,US,US,CATTL,CATTL,15499.15,13814453252.461,2.0,1.0,13814453252.461,13814453252.461,13814453252.461,891303.926503
3558,2021,US,US,CRUDE,RUBBE,21344.81,11778564966.187,1.0,1.0,11778564966.187,11778564966.187,11778564966.187,551823.369062
3539,2021,US,US,CRUDE,PLAST,17998.45,9931966061.129,1.0,1.0,9931966061.129,9931966061.129,9931966061.129,551823.410412
3443,2021,US,US,CRUDE,BIOGA,17590.77,9706999775.735,1.0,1.0,9706999775.735,9706999775.735,9706999775.735,551823.471953
3503,2021,US,US,CRUDE,LIQUE,16406.16,9053303402.756,1.0,1.0,9053303402.756,9053303402.756,9053303402.756,551823.425028
11373,2021,US,US,NATUR,CRUDE,12115.52,8082912380.191,1.0,1.0,8082912380.191,8082912380.191,8082912380.191,667153.566681
3506,2021,US,US,CRUDE,MACHI,9151.38,5049948229.293,1.0,1.0,5049948229.293,5049948229.293,5049948229.293,551823.684438
3517,2021,US,US,CRUDE,NATU1,8152.18,4498565840.423,1.0,1.0,4498565840.423,4498565840.423,4498565840.423,551823.664397
7384,2021,US,US,FORES,WOODW,20473.92,4328344049.91,1.0,1.0,4328344049.91,4328344049.91,4328344049.91,211407.685969
7303,2021,US,US,FORES,FORES,19333.8,4087314343.226,1.0,1.0,4087314343.226,4087314343.226,4087314343.226,211407.707912
2303,2021,US,US,CEREA,CEREA,6200.34,2474792523.354,1.0,1.0,2474792523.354,2474792523.354,2474792523.354,399138.196188
2301,2021,US,US,CEREA,CATTL,6102.08,2435573535.669,1.0,1.0,2435573535.669,2435573535.669,2435573535.669,399138.250509
3485,2021,US,US,CRUDE,FURNI,3913.77,2159708304.064,1.0,1.0,2159708304.064,2159708304.064,2159708304.064,551823.000346
1625,2021,US,US,BITUM,ELEC1,11402.93,2042459000.115,1.0,1.0,2042459000.115,2042459000.115,2042459000.115,179117.033965
3489,2021,US,US,CRUDE,HEAVY,3587.36,1979590726.999,1.0,1.0,1979590726.999,1979590726.999,1979590726.999,551823.827829
11452,2021,US,US,NATUR,PUBLI,2637.81,1759823192.442,1.0,1.0,1759823192.442,1759823192.442,1759823192.442,667153.127952
3516,2021,US,US,CRUDE,NAPHT,2860.56,1578522359.379,1.0,1.0,1578522359.379,1578522359.379,1578522359.379,551822.845659
