trade_id,factor_id,level
160,414,90701709325026
161,414,998511083573702
162,414,10009251718964
163,414,31203905415377
164,414,18861650842
165,414,351303235258178
166,414,31298823364
167,414,2518628803
168,414,90150597
169,414,1262845708
170,414,489163672394
171,414,201243016
172,414,8864084843719
173,414,825396960972605
174,414,26243738557876
175,414,408816109683
176,414,813328307594
177,414,1197209842101
178,414,311365388659
179,414,814185257553
180,414,326562112672854
181,414,1113822730272465
182,414,3082566852936
183,414,3140157358
184,414,172825347504961
185,414,9330270394
186,414,3208465814
187,414,304721985557124
188,414,215073010095
189,414,211912342202
190,414,2105393337
191,414,117887345
192,414,15001350907
193,414,37111500687
194,414,28308389643895
195,414,141988069886398
196,414,101210441048909
197,414,42674175717
198,414,11949213767039
199,414,140561444796338
200,414,426539983843
201,414,16096798639585
202,414,2404700814517
203,414,8018966328892
204,414,517193004780
205,414,104464838806346
206,414,1638864838229
207,414,36591787489564
208,414,3292423840059
209,414,111014448168962
210,414,120908749989
211,414,3370168060573
212,414,125742844398653
213,414,1212920719656
214,414,214281769
215,414,728511304906
216,414,3074955072766
217,414,81603099421
218,414,27453762631501
219,414,1983529463
220,414,2199453856
221,414,6706731292
222,414,11719683004
223,414,20906695725966
224,414,22329535762539
225,414,228296842774873
226,414,9089389397584
227,414,2159037706835
228,414,123233186809
229,414,44583286038732
230,414,9311974670
231,414,10668663422426
232,414,294619018266327
233,414,823140948694
234,414,855540913962
235,414,64725529838731
236,414,120454413097
237,414,117395885584
238,414,198876042145
239,414,9286265077309
240,414,493487886957160
241,414,288626561357042
242,414,2794677368798
243,414,12104149573
244,414,34171444425526
245,414,460129994
246,414,816413234942444
247,414,3116530590894
248,414,50661489171025
249,414,53272201084247
250,414,82705662176169
251,414,46003022433582
252,414,57569003516
253,414,42517647389
254,414,3601858257
255,414,467171143301479
256,414,149923998836175
257,414,822210767347
258,414,111815991119836
259,414,68990300378123
260,414,32048104146188
261,414,90401021985
262,414,36075227997448
263,414,150354549
264,414,236393450260
265,414,2403165986974908
266,414,7664825674231
267,414,957744394
268,414,4835795073584
269,414,55940858233338
270,414,89101485301
271,414,235681797751640
272,414,25650288728
273,414,585306337247269
274,414,16344905760
686,414,1376054934707
686,412,51611608975
687,414,25499729134614
687,412,956416794032
688,414,583675663958
688,412,21891887727
689,414,745062137101
689,412,27945000386
690,414,422990867756825856
690,412,15865092821532680
691,414,29294471349078
691,412,1098745960109
692,414,7427641573734
692,412,278588102002
693,414,140987697439616
693,412,5288017016622
694,414,17228674385685
694,412,646194845223
695,414,19322663440020
695,412,724733965678
696,414,9604345414691806
696,412,360229600941990
697,414,297205179778435
697,412,11147256651734
698,414,112035593115732
698,412,4202112195761
699,414,810087042098146
699,412,30383885554230
700,414,241622416648
700,412,9062517326
701,414,11427460178146178
701,412,428609055798538
702,414,1192839768983683
702,412,44739768866644
703,414,2835768595695445
703,412,106361000722502
704,414,12406525214420
704,412,465330788731
705,414,159384718178482
705,412,5978032957650
706,414,561896931865886
706,412,21075034143081
707,414,1257323526850263
707,412,47158357261850
708,414,2790315487
708,412,104656194
709,414,12982331128893
709,412,486927506242
710,414,561972640963610240
710,412,21077873759617736
711,414,29976132048376
711,412,1124312966613
712,414,18965133087262
712,412,711324096423
713,414,6237928894075634
713,412,233965620684570
714,414,135436282467
714,412,5079800432
715,414,841012562215966
715,412,31543807161581
716,414,423939049518807
716,412,15900656217370
717,414,9660283339
717,412,362327661
718,414,268010989411387
718,412,10052271924336
719,414,137551913735777
719,412,5159151285630
720,414,705241618065
720,412,26451454594
721,414,45183636965
721,412,1694699931
722,414,27466883115502
722,412,1030198719080
723,414,233775030491690816
723,412,8768185889628954
724,414,399042648091138176
724,412,14966868399049370
725,414,35625140624661
725,412,1336189988658
726,414,3369245221620403
726,412,126370076174418
727,414,92025022667507
727,412,3451576943649
728,414,4442394199778
728,412,166620609809
729,414,10856018055051
729,412,407176010747
730,414,32489621184373128
730,412,1218586251187917
731,414,11360480192622804
731,412,426096841544012
732,414,316760618694565
732,412,11880721313077
733,414,8254341962926
733,412,309595103358
734,414,1229149002513323
734,412,46101617086397
735,414,64737500922468
735,412,2428105520612
736,414,16996794366046
736,412,637497735390
737,414,857044985028
737,412,32145134272
738,414,1650086661201
738,412,61889700320
739,414,4776068246384
739,412,179135702037
740,414,133126449992242
740,412,4993165685417
741,414,13795276454235
741,412,517418597252
742,414,468631353734843
742,412,17576927760904
743,414,121465115497166
743,412,4555784719798
744,414,3223438932148
744,412,120901328519
745,414,31988773734422424
745,412,1199800996260229
746,414,99819819835
746,412,3743935928
747,414,213284549154
747,412,7999650649
748,414,351498592061
748,412,13183636373
749,414,725825618624
749,412,27223497455
750,414,598803044825629
750,412,22459269483417
751,414,1129628194454
751,412,42368896175
752,414,184103541640222304
752,412,6905160369973260
753,414,359043858155338
753,412,13466636210951
754,414,85285071884890
754,412,3198782018440
755,414,2201103007852
755,412,82556637013
756,414,796314755309531
756,412,29867329228972
757,414,10880638174106
757,412,408099436059
758,414,25710102162125
758,412,964307242415
759,414,338776893054042
759,412,12706484380137
760,414,32515242674226
760,412,1219547234854
761,414,42087434838749344
761,412,1578570865791916
762,414,8064743830442
762,412,302483857702
763,414,72896045537769
763,412,2734107558663
764,414,1508255388204068
764,412,56570043366021
765,414,4758121290471
765,412,178462566650
766,414,19996881045338
766,412,750021804508
767,414,4637305087010
767,412,173931120635
768,414,334674933491155
768,412,12552632431606
769,414,1130679464402
769,412,42408326093
770,414,20888845088094
770,412,783476645760
771,414,1809926366169757
771,412,67884798439503
772,414,564560397042484
772,412,21174932569914
773,414,855454340939
773,412,32085474080
774,414,29987487564281
774,412,1124738877260
775,414,5546324178
775,412,208025645
776,414,255921999731
776,412,9598850922
777,414,127839051205743
777,412,4794851539825
778,414,13934078748805144
778,412,522624646495745
779,414,642947626470598
779,412,24114997629699
780,414,315996384892
780,412,11852057242
781,414,18988949697679
781,412,712217384585
782,414,2274057830352
782,412,85292949116
783,414,1679507774450
783,412,62993196230
784,414,220379773894793
784,412,8265770812904
785,414,164028687212365
785,412,6152214022536
786,414,4960083413395
786,412,186037547745
787,414,13760495609027970
787,412,516114074200361
788,414,5350711648468404
788,412,200688817265459
789,414,3149519162334
789,412,118128824196
790,414,16782878418080
790,412,629474402905
791,414,26746003125482
791,412,1003160717017
792,414,23843040607
792,412,894279478
793,414,1489691618441
793,412,55873773179
794,414,951263859098360
794,412,35678995866741
795,414,1132101865729530
795,412,42461676013192
796,414,538239853092
796,412,20187729524
797,414,41444518025613888
797,412,1554457023876110
798,414,51269498527
798,412,1922961972
799,414,788003212618863
799,412,29555588701389
800,414,156473184710289
800,412,5868830248450
801,414,1013223025737
801,412,38002894572
802,414,1461832028828513
802,412,54828845241611
803,414,98158929817396
803,412,3681641027084
1199,414,9267274701293
1200,414,24645298637
1201,414,8375076083748
1202,414,212824129908
1203,414,440894587
1204,414,3092588998584601
1205,414,53624254799
1206,414,231543805815
1207,414,91219065886404
1208,414,716062683915
1209,414,910541214271934
1210,414,192214514052013
1211,414,51165918956621
1212,414,44382827067568
1213,414,9805920636710
1214,414,3577353006491014
1215,414,20007979579154
1216,414,8403976786567
1217,414,82511560531512
1218,414,202854847766
1219,414,103151181946601
1220,414,1002907939317033
1221,414,119200720240960
1222,414,4598625394
1223,414,296112524165181
1224,414,935294984468996
1225,414,272212923
1226,414,3958153351267
1227,414,99526998305495
1228,414,110446310747
1229,414,543105339180796
1230,414,73777335866195
1231,414,185504825
1232,414,17218979182655982
1233,414,1747632986815
1234,414,20131082657
1235,414,643188788
1236,414,8888970536
1237,414,11854900169494
1238,414,71112133383226
1239,414,19019931213
1240,414,128506993860
