trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,material,water,CO2_total,Water_total,Employment_total,impact_intensity
710,2022,CN,CN,BASIC,CONST,363136.76,5.83050553637682e+17,6.0,6.0,5.83050514723228e+17,11506380263.401,0.0,27408073752.686,5.6197264096361024e+17,27408073752.686,11506380263.401,1605594965482.6519
690,2022,CN,CN,BASIC,BASIC,273329.2,4.388559898688568e+17,6.0,6.0,4.388559605783585e+17,8660730821.362,0.0,20629767456.851,4.2299086775682586e+17,20629767456.851,8660730821.362,1605594974371.0398
724,2022,CN,CN,BASIC,FABRI,257854.29,4.1400954412236326e+17,6.0,6.0,4.140095164901875e+17,8170391431.117,0.0,19461784314.972,3.990426480911382e+17,19461784314.972,8170391431.117,1605594943261.806
723,2022,CN,CN,BASIC,ELECT,151061.28,2.425432325693457e+17,6.0,6.0,2.4254321638131978e+17,4786539772.316,0.0,11401486140.439,2.337750304916908e+17,11401486140.439,4786539772.316,1605594978205.836
1599,2022,CN,CN,CEMEN,CONST,177550.97,2.0165784638960006e+17,3.0,1.0,2.0165784638960006e+17,0.0,0.0,0.0,2.0165784638960006e+17,0.0,0.0,1135774399822.2036
752,2022,CN,CN,BASIC,MOTO1,118964.45,1.9100871475866102e+17,6.0,6.0,1.9100870201019555e+17,3769516883.098,0.0,8978948581.471,1.841035416402223e+17,8978948581.471,3769516883.098,1605594904685.0637
3472,2022,CN,CN,ELEC1,DISTR,31449.19,1.6329503376749754e+17,2.0,2.0,1.6329502831782518e+17,0.0,0.0,5449672341.535,1.6329502831782518e+17,5449672341.535,0.0,5192344660307.548
3446,2022,CN,CN,ELEC1,BASIC,18058.17,9.37642431528084e+16,2.0,2.0,9.37642400235987e+16,0.0,0.0,3129209693.311,9.37642400235987e+16,3129209693.311,0.0,5192344692336.4
3442,2022,CN,CN,ELEC1,ALUM1,15596.75,8.098373032938648e+16,2.0,2.0,8.098372762670298e+16,0.0,0.0,2702683511.605,8.098372762670298e+16,2702683511.605,0.0,5192346503559.17
3460,2022,CN,CN,ELEC1,CHEM1,13978.02,7.257870988563338e+16,2.0,2.0,7.257870746345202e+16,0.0,0.0,2422181365.363,7.257870746345202e+16,2422181365.363,0.0,5192345545766.38
