trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,material,water,CO2_total,impact_intensity
4543,2022,DE,DE,ELEC1,DISTR,629.98,83285150808970.75,1.0,1.0,83285150808970.75,0.0,0.0,83285150808970.75,132202848993.57242
4518,2022,DE,DE,ELEC1,BASIC,367.69,48610599453516.92,1.0,1.0,48610599453516.92,0.0,0.0,48610599453516.92,132205388924.1397
4637,2022,DE,DE,ELEC1,RUBBE,305.9,40440890893966.24,1.0,1.0,40440890893966.24,0.0,0.0,40440890893966.24,132202977750.78864
4595,2022,DE,DE,ELEC1,MOTO1,305.67,40410327396120.93,1.0,1.0,40410327396120.93,0.0,0.0,40410327396120.93,132202464736.87613
4554,2022,DE,DE,ELEC1,FABRI,290.48,38402168352835.77,1.0,1.0,38402168352835.77,0.0,0.0,38402168352835.77,132202452330.0598
4514,2022,DE,DE,ELEC1,ALUM1,283.72,37509319874692.04,1.0,1.0,37509319874692.04,0.0,0.0,37509319874692.04,132205413346.58127
4587,2022,DE,DE,ELEC1,MACHI,264.26,34935819516736.08,1.0,1.0,34935819516736.08,0.0,0.0,34935819516736.08,132202450301.73344
4568,2022,DE,DE,ELEC1,GLASS,240.4,31781589776905.805,1.0,1.0,31781589776905.805,0.0,0.0,31781589776905.805,132202952482.96924
4618,2022,DE,DE,ELEC1,PLAST,228.4,30195619996679.285,1.0,1.0,30195619996679.285,0.0,0.0,30195619996679.285,132204991228.89354
4537,2022,DE,DE,ELEC1,CONST,192.41,25437917541300.33,1.0,1.0,25437917541300.33,0.0,0.0,25437917541300.33,132206837177.38335
4639,2022,DE,DE,ELEC1,SANDC,181.58,24005704812129.32,1.0,1.0,24005704812129.32,0.0,0.0,24005704812129.32,132204564446.1357
4651,2022,DE,DE,ELEC1,TRAN1,181.48,23991794186035.344,1.0,1.0,23991794186035.344,0.0,0.0,23991794186035.344,132200761439.47182
4635,2022,DE,DE,ELEC1,RETA1,176.38,23318574869071.96,1.0,1.0,23318574869071.96,0.0,0.0,23318574869071.96,132206456905.95284
4579,2022,DE,DE,ELEC1,LANDT,160.51,21219826648314.723,1.0,1.0,21219826648314.723,0.0,0.0,21219826648314.723,132202521016.2278
4664,2022,DE,DE,ELEC1,WOODW,154.87,20474967069777.12,1.0,1.0,20474967069777.12,0.0,0.0,20474967069777.12,132207445404.3851
4532,2022,DE,DE,ELEC1,CHEM1,145.74,19266995995997.586,1.0,1.0,19266995995997.586,0.0,0.0,19266995995997.586,132201152710.28946
4583,2022,DE,DE,ELEC1,LIGNI,141.88,18757009438752.52,1.0,1.0,18757009438752.52,0.0,0.0,18757009438752.52,132203336895.63377
4661,2022,DE,DE,ELEC1,WHOLE,128.09,16933589073728.064,1.0,1.0,16933589073728.064,0.0,0.0,16933589073728.064,132200711013.56909
4649,2022,DE,DE,ELEC1,TEXTI,117.15,15488296006992.309,1.0,1.0,15488296006992.309,0.0,0.0,15488296006992.309,132209099504.84258
4569,2022,DE,DE,ELEC1,HEALT,116.62,15416961019020.15,1.0,1.0,15416961019020.15,0.0,0.0,15416961019020.15,132198259466.81659
4571,2022,DE,DE,ELEC1,HOTEL,116.48,15399541696904.854,1.0,1.0,15399541696904.854,0.0,0.0,15399541696904.854,132207603853.92216
4562,2022,DE,DE,ELEC1,FOOD5,115.71,15296758183318.137,1.0,1.0,15296758183318.137,0.0,0.0,15296758183318.137,132199102785.56856
4524,2022,DE,DE,ELEC1,BKBPE,109.09,14422493326028.104,1.0,1.0,14422493326028.104,0.0,0.0,14422493326028.104,132207290549.34552
4624,2022,DE,DE,ELEC1,PUBLI,105.95,14006752549883.809,1.0,1.0,14006752549883.809,0.0,0.0,14006752549883.809,132201534213.15533
4625,2022,DE,DE,ELEC1,PULP5,98.54,13027959269381.287,1.0,1.0,13027959269381.287,0.0,0.0,13027959269381.287,132209856600.17543
4634,2022,DE,DE,ELEC1,RESEA,95.08,12569934357098.754,1.0,1.0,12569934357098.754,0.0,0.0,12569934357098.754,132203769006.08702
4541,2022,DE,DE,ELEC1,DAIRY,93.43,12352006622239.84,1.0,1.0,12352006622239.84,0.0,0.0,12352006622239.84,132206000452.10146
4566,2022,DE,DE,ELEC1,FURNI,83.61,11054176731147.725,1.0,1.0,11054176731147.725,0.0,0.0,11054176731147.725,132211179657.31042
4528,2022,DE,DE,ELEC1,CEMEN,76.11,10061541898911.652,1.0,1.0,10061541898911.652,0.0,0.0,10061541898911.652,132197370896.22458
4604,2022,DE,DE,ELEC1,OFFIC,73.65,9736944111952.889,1.0,1.0,9736944111952.889,0.0,0.0,9736944111952.889,132205622701.3291
4567,2022,DE,DE,ELEC1,GASDI,73.17,9673908768376.732,1.0,1.0,9673908768376.732,0.0,0.0,9673908768376.732,132211408615.23483
4544,2022,DE,DE,ELEC1,EDUCA,64.56,8535489341634.9,1.0,1.0,8535489341634.9,0.0,0.0,8535489341634.9,132210181871.66821
4646,2022,DE,DE,ELEC1,SUPPO,61.84,8174894454334.264,1.0,1.0,8174894454334.264,0.0,0.0,8174894454334.264,132194282896.73776
4596,2022,DE,DE,ELEC1,MOTOR,60.06,7939521818096.53,1.0,1.0,7939521818096.53,0.0,0.0,7939521818096.53,132193170464.47769
4620,2022,DE,DE,ELEC1,POULT,57.52,7604535009468.744,1.0,1.0,7604535009468.744,0.0,0.0,7604535009468.744,132206797800.22156
4656,2022,DE,DE,ELEC1,VEGET,54.59,7216788912058.711,1.0,1.0,7216788912058.711,0.0,0.0,7216788912058.711,132199833523.69867
4619,2022,DE,DE,ELEC1,POSTT,47.91,6334416593846.034,1.0,1.0,6334416593846.034,0.0,0.0,6334416593846.034,132214915338.05124
4628,2022,DE,DE,ELEC1,RAWMI,47.42,6269569781592.828,1.0,1.0,6269569781592.828,0.0,0.0,6269569781592.828,132213618338.10266
4526,2022,DE,DE,ELEC1,BUSIN,47.42,6269370852685.937,1.0,1.0,6269370852685.937,0.0,0.0,6269370852685.937,132209423295.78102
4638,2022,DE,DE,ELEC1,SALEM,45.54,6021040650215.738,1.0,1.0,6021040650215.738,0.0,0.0,6021040650215.738,132214331361.78609
4627,2022,DE,DE,ELEC1,RAILW,45.18,5973190187908.342,1.0,1.0,5973190187908.342,0.0,0.0,5973190187908.342,132208724831.96861
4519,2022,DE,DE,ELEC1,BEVER,44.46,5877839938846.968,1.0,1.0,5877839938846.968,0.0,0.0,5877839938846.968,132205126829.66638
4511,2022,DE,DE,ELEC1,93197,41.83,5529714923410.579,1.0,1.0,5529714923410.579,0.0,0.0,5529714923410.579,132194953942.39969
4602,2022,DE,DE,ELEC1,NONME,39.6,5235168179456.271,1.0,1.0,5235168179456.271,0.0,0.0,5235168179456.271,132201216652.93614
4555,2022,DE,DE,ELEC1,FINAN,38.41,5077865732913.85,1.0,1.0,5077865732913.85,0.0,0.0,5077865732913.85,132201659279.19423
4535,2022,DE,DE,ELEC1,COLLE,36.06,4767058773900.504,1.0,1.0,4767058773900.504,0.0,0.0,4767058773900.504,132197969326.1371
4615,2022,DE,DE,ELEC1,PIGS9,32.7,4323621300210.552,1.0,1.0,4323621300210.552,0.0,0.0,4323621300210.552,132220834868.8242
4536,2022,DE,DE,ELEC1,COMPU,31.15,4118643570982.06,1.0,1.0,4118643570982.06,0.0,0.0,4118643570982.06,132219697302.79488
4658,2022,DE,DE,ELEC1,WEARI,28.73,3797789256020.002,1.0,1.0,3797789256020.002,0.0,0.0,3797789256020.002,132188975148.6252
4653,2022,DE,DE,ELEC1,TRANS,28.22,3730248939105.274,1.0,1.0,3730248939105.274,0.0,0.0,3730248939105.274,132184583242.56818
4538,2022,DE,DE,ELEC1,COPP1,27.23,3599520786008.027,1.0,1.0,3599520786008.027,0.0,0.0,3599520786008.027,132189525743.95985
4533,2022,DE,DE,ELEC1,CHEMI,23.42,3096745939290.701,1.0,1.0,3096745939290.701,0.0,0.0,3096745939290.701,132226555904.81216
4643,2022,DE,DE,ELEC1,STONE,21.79,2880552578262.297,1.0,1.0,2880552578262.297,0.0,0.0,2880552578262.297,132196079773.39592
4570,2022,DE,DE,ELEC1,HEAVY,20.0,2644366660837.54,1.0,1.0,2644366660837.54,0.0,0.0,2644366660837.54,132218333041.877
4520,2022,DE,DE,ELEC1,BIODI,19.56,2586373862136.512,1.0,1.0,2586373862136.512,0.0,0.0,2586373862136.512,132227702563.21638
4611,2022,DE,DE,ELEC1,PAPER,19.52,2581014423621.194,1.0,1.0,2581014423621.194,0.0,0.0,2581014423621.194,132224099570.75789
4629,2022,DE,DE,ELEC1,REALE,17.77,2349577282054.071,1.0,1.0,2349577282054.071,0.0,0.0,2349577282054.071,132221569052.00174
4630,2022,DE,DE,ELEC1,RECRE,16.72,2210350195887.776,1.0,1.0,2210350195887.776,0.0,0.0,2210350195887.776,132197978222.95311
4578,2022,DE,DE,ELEC1,KEROS,16.55,2187974683190.969,1.0,1.0,2187974683190.969,0.0,0.0,2187974683190.969,132203908349.90749
4527,2022,DE,DE,ELEC1,CATTL,16.22,2144142305318.685,1.0,1.0,2144142305318.685,0.0,0.0,2144142305318.685,132191264199.67233
4600,2022,DE,DE,ELEC1,NONF1,15.58,2059546605186.434,1.0,1.0,2059546605186.434,0.0,0.0,2059546605186.434,132191694812.9932
4622,2022,DE,DE,ELEC1,PRINT,12.96,1713052700833.153,1.0,1.0,1713052700833.153,0.0,0.0,1713052700833.153,132179992348.2371
4594,2022,DE,DE,ELEC1,MEMBE,12.55,1659577539641.072,1.0,1.0,1659577539641.072,0.0,0.0,1659577539641.072,132237254154.66708
4529,2022,DE,DE,ELEC1,CERAM,11.74,1552689650704.115,1.0,1.0,1552689650704.115,0.0,0.0,1552689650704.115,132256358663.04216
4565,2022,DE,DE,ELEC1,FOUND,11.55,1527514337433.812,1.0,1.0,1527514337433.812,0.0,0.0,1527514337433.812,132252323587.34302
4574,2022,DE,DE,ELEC1,INSUR,10.56,1395519040627.924,1.0,1.0,1395519040627.924,0.0,0.0,1395519040627.924,132151424301.88675
4582,2022,DE,DE,ELEC1,LEATH,7.66,1012174470181.976,1.0,1.0,1012174470181.976,0.0,0.0,1012174470181.976,132137659292.68616
4633,2022,DE,DE,ELEC1,RENTI,6.8,898326560572.094,1.0,1.0,898326560572.094,0.0,0.0,898326560572.094,132106847142.955
4575,2022,DE,DE,ELEC1,INTER,6.53,863121989759.878,1.0,1.0,863121989759.878,0.0,0.0,863121989759.878,132177946364.45299
4652,2022,DE,DE,ELEC1,TRAN2,6.1,805871342178.786,1.0,1.0,805871342178.786,0.0,0.0,805871342178.786,132110056094.88297
4512,2022,DE,DE,ELEC1,ADDIT,5.89,779272847323.015,1.0,1.0,779272847323.015,0.0,0.0,779272847323.015,132304388340.07047
4592,2022,DE,DE,ELEC1,MEATP,5.83,771122422404.397,1.0,1.0,771122422404.397,0.0,0.0,771122422404.397,132267996981.88628
4540,2022,DE,DE,ELEC1,CRUDE,5.79,766092485649.206,1.0,1.0,766092485649.206,0.0,0.0,766092485649.206,132313037245.11331
4598,2022,DE,DE,ELEC1,NATUR,5.77,763102101142.508,1.0,1.0,763102101142.508,0.0,0.0,763102101142.508,132253397078.42429
4525,2022,DE,DE,ELEC1,BRICK,5.6,739966077197.782,1.0,1.0,739966077197.782,0.0,0.0,739966077197.782,132136799499.60393
4559,2022,DE,DE,ELEC1,FOOD2,5.42,716463531119.84,1.0,1.0,716463531119.84,0.0,0.0,716463531119.84,132188843380.04428
4556,2022,DE,DE,ELEC1,FISH5,5.01,662330708010.155,1.0,1.0,662330708010.155,0.0,0.0,662330708010.155,132201738125.77945
4597,2022,DE,DE,ELEC1,NAPHT,4.91,648792175004.361,1.0,1.0,648792175004.361,0.0,0.0,648792175004.361,132136899186.22423
