trade_id,factor_id,level
1511,414,1864051400
1512,414,339163611024
1513,414,49508458234
1514,414,60542452373
1515,414,5082748247
1516,414,5109862884
1517,414,3099709338
1518,414,6293275492
1519,414,29277462246
1520,414,106878874839
1521,414,1993377913
1522,414,54237760601
1523,414,2279883449
1524,414,4398654821
1525,414,14368103367
1526,414,88014560278
1527,414,18830401631
1528,414,32658013294
1529,414,23047522231
1530,414,20851929998334
1531,414,395508608499
1532,414,159979155488
1533,414,77170280273
1534,414,3345293021
1535,414,76258999007
1536,414,1662512905
1537,414,4560179576
1538,414,5444863490
1539,414,2749429985
1540,414,41129367853
1541,414,21531915126
1542,414,4686172369
1543,414,1980855563
1544,414,101691191194
1545,414,4426945664
1546,414,17388709970
1547,414,4160384898
1548,414,4010652763
1549,414,10307290940
1550,414,12364829112
1551,414,3022315748
1552,414,44019888037
1553,414,68659866355
1554,414,17768604554
1555,414,9963201578
1556,414,3121024330
1557,414,10044621321
1558,414,15755476235
1559,414,1354178814
1560,414,8289814916
1561,414,3780472874
1562,414,88094244557
1563,414,5021595218
1564,414,8160660900
1565,414,2341179719
1566,414,8039666324
1567,414,42556554816
1568,414,143137075885
1569,414,13611737619
1570,414,10417446653
1571,414,23699505475
1572,414,1990380355
1573,414,2923165722
1574,414,4658376046
1575,414,21342444683
1576,414,155595825342
1577,414,4587374179
1578,414,11679417444
1579,414,4722460051
1580,414,16239064181
1581,414,36263994818
1582,414,17267987102
1583,414,3680518364
1584,414,4577859068
1585,414,13739193122
1586,414,2273413891
1587,414,26804397152
1588,414,3801272673
1589,414,1337481631
1590,414,29163353100
1591,414,1715746776298
13748,414,21448441848
13749,414,2716155156
13750,414,109030918870
13751,414,32914299996
13752,414,80962512095
13753,414,11964777596
13754,414,7517642051
13755,414,14350581304
13756,414,2917143885
13757,414,76849496085
13758,414,5939846872
13759,414,51792334385
13760,414,314687156384
13761,414,14860463745
13762,414,36449522990
13763,414,17166212307
13764,414,49385869279
13765,414,14550642786
13766,414,32011773073
13767,414,249826756224
13768,414,1370887476843
13769,414,14507744400
13770,414,28810776463
13771,414,7569885424
13772,414,3505075267
13773,414,7550925950
13774,414,38964976518
13775,414,6054620704
13776,414,62461390875
13777,414,9183399889
13778,414,8025573670
13779,414,4204834626
13780,414,36971129551
13781,414,8080062484
13782,414,63583711210
13783,414,6535068614
13784,414,22883927976
13785,414,6593756349
13786,414,11573233632
13787,414,14133439250
13788,414,53413462866
13789,414,3414460572
13790,414,24658823414
13791,414,16290633858
13792,414,4149510597
13793,414,3543486164
13794,414,49296456199
13795,414,24476193784
13796,414,6620348011
13797,414,5037864458
13798,414,14414906198
13799,414,1634202956
13800,414,3004915870
13801,414,19093637045
13802,414,4852623487
13803,414,1626875058
13804,414,3571083023
13805,414,144885301549
13806,414,7885285054
13807,414,20449959167
13808,414,4212986287
13809,414,53723312640
13810,414,11574106522
13811,414,10576150865
13812,414,5069987655
13813,414,33125231543
13814,414,7437971291
13815,414,1575864351
13816,414,26620367394
13817,414,96866008347
13818,414,38868707046
13819,414,1597978278
13820,414,52648522375
13821,414,15403831850
13822,414,38465518919
13823,414,13265162357
13824,414,74647001649
13825,414,2748047673
13826,414,724178836297
13827,414,522697886091
13828,414,6898669831
13829,414,4029621634
13830,414,19968350267
13831,414,5356378296
13832,414,99295546194
13833,414,2610175965
13834,414,79703237207
32985,414,111682623710
32986,414,170309427699
32987,414,53959127711
32988,414,12115283504
32989,414,77332241713
32990,414,375148515493
32991,414,3678284838
32992,414,145196202412
32993,414,1859370085
32994,414,456274161017
32995,414,46194849029
32996,414,11776159011
32997,414,41484525712
32998,414,33211587264
32999,414,289921987310
33000,414,6394017867
33001,414,17522489278
33002,414,3877388768
33003,414,94405136393
33004,414,818168289330
33005,414,8210542151
33006,414,17094972510
33007,414,367267475212
33008,414,4274101266
33009,414,14687796643
33010,414,5738897739
33011,414,11166398303
33012,414,2530580037
33013,414,823958023773
33014,414,30150608244
33015,414,20669926578
33016,414,80313737126
33017,414,9629566621
33018,414,94263787113
33019,414,787747569245
33020,414,2017236324
33021,414,1459374052870
33022,414,2509605641
33023,414,8175171611
33024,414,489720076029
33025,414,22410101895
33026,414,2711027000
33027,414,304608729610
33028,414,4765121159
33029,414,3112727521
33030,414,3945802469
33031,414,1345458628
33032,414,329932614650
33033,414,51833429337
33034,414,8646846079
33035,414,9433680665
33036,414,95632178242
33037,414,2662256141
33038,414,2427532869
33039,414,94666424885
33040,414,5537017832
33041,414,172922643407
33042,414,14287666767
33043,414,3424556088
33044,414,2054650110
33045,414,3516062725
33046,414,1251021537090
33047,414,132487785171
33048,414,142763540027
33049,414,122573204019
33050,414,3413395010
33051,414,1315446888284
33052,414,35206054185
33053,414,105013509192
33054,414,4261030641
33055,414,14606314391
33056,414,15897313181
33057,414,5232274013
33058,414,12558845024
33059,414,511396135436
33060,414,1145743397810
33061,414,5418496522
33062,414,572747271555
33063,414,295955558651
33064,414,73024090473
33065,414,200993500308
33066,414,68404956358
33067,414,44038506139
33068,414,6753351939
33069,414,245113423385
33070,414,3608366871
33071,414,1817967362
33072,414,85106536020
33073,414,276764746385
33074,414,1750370594341
33075,414,23321073986
33076,414,46478166614
33077,414,2549174233
33078,414,4113744403
33079,414,28575813175
33080,414,104066260604
33081,414,2328248400
33082,414,2793774185
33083,414,46646980470
46091,414,81678147056
46092,414,1356748634
46093,414,20318401040
46094,414,3669882112
46095,414,9188548136
46096,414,3984522973
46097,414,2708165803
46098,414,366021495728
46099,414,76971260070
46100,414,23240880019
46101,414,5251747560
46102,414,46959536646
46103,414,4236825661
46104,414,7200545118
46105,414,86005073250
46106,414,6556174502
46107,414,153037162414
46108,414,82429850370
46109,414,83827369410
46110,414,151379895392
46111,414,22263173826
46112,414,20397911108
46113,414,56544597531
46114,414,44129548623
46115,414,479912361197
46116,414,24137294157
46117,414,81950364234
46118,414,4551002124
46119,414,250053570333
46120,414,87964781629
46121,414,410761280594
46122,414,1412220147
46123,414,13414220373
46124,414,597067392793
46125,414,50469604806
46126,414,2629450699
46127,414,75398597890
46128,414,68836217221
46129,414,51170699402
46130,414,231641798469
46131,414,31018998691
46132,414,25524549697
46133,414,93056652944
46134,414,168063589845
46135,414,6488779543
46136,414,155714273365
46137,414,588546059061
46138,414,308887993521
46139,414,22695004145
46140,414,102969764434
46141,414,36118133695
46142,414,2245244100
46143,414,453326740274
46144,414,14352530883
46145,414,3724489333
46146,414,66447854807
46147,414,75091588420
46148,414,29537661221
46149,414,5417388527
46150,414,4081014665
46151,414,6138983023
46152,414,19559711995
46153,414,32886671769
46154,414,620903406914
46155,414,4159327722
46156,414,473679307816
46157,414,3398228587
46158,414,3779426011
46159,414,195835638403
46160,414,319127900869
46161,414,51075866351
46162,414,26108028954
46163,414,36784642901
46164,414,30749501844
46165,414,165368667742
46166,414,11813333456
46167,414,12953125778
46168,414,9736322582
46169,414,17987040894
46170,414,3640812731
46171,414,18857340587
46172,414,34682964699
46173,414,55804430596
46174,414,19935287987
46175,414,104666085376
46176,414,12945134501
46177,414,738928560525
46178,414,163395369556
46179,414,4530669836
46180,414,56366386565
46181,414,54092139500
46182,414,290424131219
46183,414,84817135592
46184,414,13255751483
46185,414,138340311829
46186,414,262014138517
46187,414,21748483242
46188,414,664005423578
46189,414,155386104371
46190,414,403481222573
46191,414,128884535358
46192,414,12698952599
46193,414,27043498333
46194,414,2871048226
46195,414,1429779670
46196,414,305237887273
46197,414,7777274561
46198,414,6759111609
46199,414,279149596025
46200,414,85638752060
46201,414,617320271391
46202,414,9551460076
46203,414,59947887954
46204,414,5029221275
46205,414,104290712499
46206,414,121358347556
46207,414,79560926244
46208,414,72162490506
46209,414,302417108761
46210,414,10077974857
46211,414,8728984695
46212,414,572081738061
53623,414,8013886638
53624,414,1428529756
53625,414,265726165437
53626,414,2682588818
53627,414,95793280719
53628,414,42859193313
53629,414,30274729678
53630,414,48107310725
53631,414,4215754512
53632,414,51495595287
53633,414,13815150227
53634,414,13350495749
53635,414,108561141428
53636,414,31172758064
53637,414,104089782218
53638,414,182179211014
53639,414,4498448273
53640,414,7384655299
53641,414,23788933892
53642,414,45410685303
53643,414,41195090979
53644,414,195191923420
53645,414,24243941176
53646,414,219041276815
53647,414,23645156284
53648,414,5637322406
53649,414,10956834778
53650,414,31599500110
53651,414,179326228548
53652,414,220496147230
53653,414,6739421256
53654,414,20757056522
53655,414,25787495682
53656,414,37270134497
53657,414,24508569736
53658,414,37400791181
53659,414,5066237250
53660,414,9536879669
53661,414,31507775642
53662,414,3934294472
53663,414,89605639951
53664,414,5530666122
53665,414,2373925047
53666,414,149567606427
53667,414,1593185622
53668,414,3781815734
53669,414,8219451344
53670,414,5824149179
53671,414,33517065875
53672,414,188167592104
53673,414,25718858546
53674,414,3175329249
53675,414,7418475692
53676,414,64305084266
53677,414,74385361141
53678,414,92002647025
53679,414,3306658073
53680,414,7567419930
53681,414,2025660660
53682,414,1426049660
53683,414,49217574981
53684,414,7627450567
53685,414,26386148161
53686,414,10519587357
53687,414,2451360225
53688,414,7313593896
53689,414,4845932774
53690,414,136953495700
53691,414,41436340799
53692,414,22402411398
53693,414,23420565178
53694,414,19469617974
53695,414,91092511737
53696,414,31141109463
53697,414,61049207208
53698,414,2066298437
53699,414,9375775845
53700,414,126623897392
53701,414,27754980256
53702,414,74835144347
53703,414,2657414211
53704,414,9094646756
53705,414,44442042305
53706,414,11152463762
53707,414,2621667035
53708,414,46827021562
53709,414,29411977358
53710,414,68179531708
53711,414,13890352937
53712,414,47919280346
53713,414,60724104884
53714,414,8559249214
53715,414,12983689342
53716,414,189746380926
53717,414,59327027606
53718,414,142761535623
73360,414,2261993888
73361,414,134174134520
73362,414,1334559572
73363,414,1672561793
73364,414,241587140940
73365,414,102388024366
73366,414,7717939539
73367,414,3189656696
73368,414,3166053781
73369,414,38793689058
73370,414,12999377291
73371,414,59333031978
73372,414,4223571104
73373,414,1730352175
73374,414,59037393373
73375,414,6477039626
73376,414,31808739518
73377,414,13392279042
73378,414,35006765179
73379,414,29301238873
73380,414,57579133090
73381,414,811726781829
73382,414,30683128722
73383,414,90102655395
73384,414,12727829918
73385,414,8637973908
73386,414,9227802204
73387,414,10560184728
73388,414,3592640231
73389,414,83810061386
73390,414,8066615131
73391,414,2076523546
73392,414,7264343218
73393,414,42168077938
73394,414,6490821222
73395,414,19449128702
73396,414,8295668777
73397,414,57568312622
73398,414,2754617775
73399,414,7696895997
73400,414,9651823687
73401,414,22333595498
