trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,material,water,CO2_total,Water_total,Employment_total,impact_intensity
721,2022,IN,IN,BASIC,CONST,48611.82,1.2200012017916172e+16,2.0,2.0,1.2200010791736574e+16,0.0,0.0,1226179597.198,1.2200010791736574e+16,1226179597.198,0.0,250968015966.40842
1631,2022,IN,IN,CEMEN,CONST,35697.32,7880037922529392.0,2.0,1.0,7880037922529392.0,0.0,0.0,0.0,7880037922529392.0,0.0,0.0,220745924975.0231
11321,2022,IN,IN,RUBBE,CONST,21249.45,4789602269803455.0,2.0,2.0,4789602269803455.0,0.0,0.0,0.0,4789602269803455.0,0.0,0.0,225398881844.16324
765,2022,IN,IN,BASIC,MOTO1,12977.44,3256923731834500.5,2.0,2.0,3256923404492738.5,0.0,0.0,327341761.938,3256923404492738.5,327341761.938,0.0,250968120972.58783
6378,2022,IN,IN,LANDT,CONST,20736.87,2201569093151456.2,3.0,3.0,2201567824064692.8,1269086763.388,0.0,0.0,2201567824064692.8,0.0,1269086763.388,106166894673.6637
733,2022,IN,IN,BASIC,ELECT,8522.71,2138926975945711.0,2.0,2.0,2138926760969806.5,0.0,0.0,214975904.446,2138926760969806.5,214975904.446,0.0,250967940472.65613
3394,2022,IN,IN,ELEC1,DISTR,1433.56,1582014804270260.8,1.0,1.0,1582014804270260.8,0.0,0.0,0.0,1582014804270260.8,0.0,0.0,1103556742843.1743
3455,2022,IN,IN,ELEC1,PROCE,930.52,1026880212144022.6,1.0,1.0,1026880212144022.6,0.0,0.0,0.0,1026880212144022.6,0.0,0.0,1103555229488.9124
5131,2022,IN,IN,FOUND,CONST,8838.14,943333305243858.0,1.0,1.0,943333305243858.0,0.0,0.0,0.0,943333305243858.0,0.0,0.0,106734370042.09688
11408,2022,IN,IN,RUBBE,RUBBE,3961.72,892967420408158.0,2.0,2.0,892967420408158.0,0.0,0.0,0.0,892967420408158.0,0.0,0.0,225398922793.17014
3387,2022,IN,IN,ELEC1,CONST,794.42,876689211624556.9,1.0,1.0,876689211624556.9,0.0,0.0,0.0,876689211624556.9,0.0,0.0,1103558837421.7126
3459,2022,IN,IN,ELEC1,RAILW,793.74,875933484922707.9,1.0,1.0,875933484922707.9,0.0,0.0,0.0,875933484922707.9,0.0,0.0,1103552151740.7563
806,2022,IN,IN,BASIC,TRANS,3091.71,775921616878653.9,2.0,2.0,775921538893545.8,0.0,0.0,77985108.067,775921538893545.8,77985108.067,0.0,250968433934.18332
3477,2022,IN,IN,ELEC1,TEXTI,656.7,724707061807365.2,1.0,1.0,724707061807365.2,0.0,0.0,0.0,724707061807365.2,0.0,0.0,1103558796722.0422
3485,2022,IN,IN,ELEC1,WEARI,605.63,668343878316521.6,1.0,1.0,668343878316521.6,0.0,0.0,0.0,668343878316521.6,0.0,0.0,1103551472543.503
6399,2022,IN,IN,LANDT,FOOD5,6121.13,649861010946450.9,3.0,3.0,649860636336355.9,374610094.954,0.0,0.0,649860636336355.9,0.0,374610094.954,106166836996.83733
3431,2022,IN,IN,ELEC1,MOTO1,519.04,572783892961858.8,1.0,1.0,572783892961858.8,0.0,0.0,0.0,572783892961858.8,0.0,0.0,1103544799941.929
701,2022,IN,IN,BASIC,BASIC,2225.33,558486316285716.9,2.0,2.0,558486260154253.6,0.0,0.0,56131463.259,558486260154253.6,56131463.259,0.0,250967863771.08875
5255,2022,IN,IN,FURNI,CONST,2778.11,540700207294465.2,2.0,2.0,540700207294465.2,0.0,0.0,0.0,540700207294465.2,0.0,0.0,194628797021.88364
3406,2022,IN,IN,ELEC1,GASDI,486.39,536760961580919.4,1.0,1.0,536760961580919.4,0.0,0.0,0.0,536760961580919.4,0.0,0.0,1103560849484.8154
3468,2022,IN,IN,ELEC1,RUBBE,477.48,526922130923439.7,1.0,1.0,526922130923439.7,0.0,0.0,0.0,526922130923439.7,0.0,0.0,1103548066774.3982
6476,2022,IN,IN,LANDT,TEXTI,4869.41,516970110438438.25,3.0,3.0,516969812432835.7,298005602.579,0.0,0.0,516969812432835.7,0.0,298005602.579,106166888891.76271
3479,2022,IN,IN,ELEC1,TRAN1,457.92,505338938651454.5,1.0,1.0,505338938651454.5,0.0,0.0,0.0,505338938651454.5,0.0,0.0,1103552888389.794
3395,2022,IN,IN,ELEC1,EDUCA,428.52,472896865689109.75,1.0,1.0,472896865689109.75,0.0,0.0,0.0,472896865689109.75,0.0,0.0,1103558446954.8906
3443,2022,IN,IN,ELEC1,PADDY,424.85,468843799531999.9,1.0,1.0,468843799531999.9,0.0,0.0,0.0,468843799531999.9,0.0,0.0,1103551369970.5774
6356,2022,IN,IN,LANDT,BASIC,4397.94,466915156450881.75,3.0,3.0,466914887299281.44,269151600.338,0.0,0.0,466914887299281.44,0.0,269151600.338,106166786370.63757
3372,2022,IN,IN,ELEC1,BITUM,416.06,459149566988931.4,1.0,1.0,459149566988931.4,0.0,0.0,0.0,459149566988931.4,0.0,0.0,1103565752509.0886
3378,2022,IN,IN,ELEC1,CEMEN,403.97,445800738608000.3,1.0,1.0,445800738608000.3,0.0,0.0,0.0,445800738608000.3,0.0,0.0,1103549121489.2202
11300,2022,IN,IN,RUBBE,BEVER,1921.28,433055231119198.5,2.0,2.0,433055231119198.5,0.0,0.0,0.0,433055231119198.5,0.0,0.0,225399333319.03653
3439,2022,IN,IN,ELEC1,NONME,380.4,419793748757234.9,1.0,1.0,419793748757234.9,0.0,0.0,0.0,419793748757234.9,0.0,0.0,1103558750676.2222
11344,2022,IN,IN,RUBBE,FURNI,1846.61,416222645608353.0,2.0,2.0,416222645608353.0,0.0,0.0,0.0,416222645608353.0,0.0,0.0,225398240889.1715
3444,2022,IN,IN,ELEC1,PAPER,377.05,416096642102382.3,1.0,1.0,416096642102382.3,0.0,0.0,0.0,416096642102382.3,0.0,0.0,1103558260449.2302
3441,2022,IN,IN,ELEC1,OFFIC,370.33,408677961464297.4,1.0,1.0,408677961464297.4,0.0,0.0,0.0,408677961464297.4,0.0,0.0,1103550782988.9487
3450,2022,IN,IN,ELEC1,POSTT,369.67,407950289763194.3,1.0,1.0,407950289763194.3,0.0,0.0,0.0,407950289763194.3,0.0,0.0,1103552600327.8445
3416,2022,IN,IN,ELEC1,LANDT,352.77,389296999491732.8,1.0,1.0,389296999491732.8,0.0,0.0,0.0,389296999491732.8,0.0,0.0,1103543383767.7036
6429,2022,IN,IN,LANDT,MOTO1,3579.7,380045640809582.4,3.0,3.0,380045421733608.94,219075973.466,0.0,0.0,380045421733608.94,0.0,219075973.466,106166896893.47778
3379,2022,IN,IN,ELEC1,CERAM,335.21,369927031770599.0,1.0,1.0,369927031770599.0,0.0,0.0,0.0,369927031770599.0,0.0,0.0,1103568007429.9663
6475,2022,IN,IN,LANDT,SUPPO,3449.34,366205559252842.6,3.0,3.0,366205348154935.5,211097907.112,0.0,0.0,366205348154935.5,0.0,211097907.112,106166849093.69405
3453,2022,IN,IN,ELEC1,PRINT,317.07,349904241975903.8,1.0,1.0,349904241975903.8,0.0,0.0,0.0,349904241975903.8,0.0,0.0,1103555183321.9915
3391,2022,IN,IN,ELEC1,CRUDE,299.42,330424694909114.25,1.0,1.0,330424694909114.25,0.0,0.0,0.0,330424694909114.25,0.0,0.0,1103549178108.0564
11417,2022,IN,IN,RUBBE,TEXTI,1453.72,327666758279892.75,2.0,2.0,327666758279892.75,0.0,0.0,0.0,327666758279892.75,0.0,0.0,225398810142.18195
11356,2022,IN,IN,RUBBE,LANDT,1450.7,326986361223485.4,2.0,2.0,326986361223485.4,0.0,0.0,0.0,326986361223485.4,0.0,0.0,225399022005.57343
5149,2022,IN,IN,FOUND,FOUND,2964.67,316432319792102.25,1.0,1.0,316432319792102.25,0.0,0.0,0.0,316432319792102.25,0.0,0.0,106734415564.66731
3432,2022,IN,IN,ELEC1,MOTOR,276.88,305552008250470.06,1.0,1.0,305552008250470.06,0.0,0.0,0.0,305552008250470.06,0.0,0.0,1103553915958.0686
788,2022,IN,IN,BASIC,RADIO,1188.59,298297126829357.56,2.0,2.0,298297096848579.6,0.0,0.0,29980777.911,298297096848579.6,29980777.911,0.0,250967218998.4415
3410,2022,IN,IN,ELEC1,HOTEL,253.29,279519392977267.38,1.0,1.0,279519392977267.38,0.0,0.0,0.0,279519392977267.38,0.0,0.0,1103554790861.3345
3399,2022,IN,IN,ELEC1,FABRI,250.96,276945710566862.5,1.0,1.0,276945710566862.5,0.0,0.0,0.0,276945710566862.5,0.0,0.0,1103545228589.6655
6357,2022,IN,IN,LANDT,BEVER,2433.54,258361419839662.7,3.0,3.0,258361270908130.56,148931532.11,0.0,0.0,258361270908130.56,0.0,148931532.11,106166909045.94241
6437,2022,IN,IN,LANDT,NONME,2358.57,250401708013248.03,3.0,3.0,250401563670063.8,144343184.213,0.0,0.0,250401563670063.8,0.0,144343184.213,106166748501.52763
11315,2022,IN,IN,RUBBE,CHEM1,1074.93,242287101870656.0,2.0,2.0,242287101870656.0,0.0,0.0,0.0,242287101870656.0,0.0,0.0,225398027658.22516
6402,2022,IN,IN,LANDT,FURNI,2262.66,240219952770849.56,3.0,3.0,240219814296902.38,138473947.2,0.0,0.0,240219814296902.38,0.0,138473947.2,106167056814.03728
3458,2022,IN,IN,ELEC1,RADIO,215.52,237839982616714.75,1.0,1.0,237839982616714.75,0.0,0.0,0.0,237839982616714.75,0.0,0.0,1103563393730.1167
6441,2022,IN,IN,LANDT,PADDY,2216.18,235285329251715.06,3.0,3.0,235285193622314.25,135629400.822,0.0,0.0,235285193622314.25,0.0,135629400.822,106167066416.85922
6395,2022,IN,IN,LANDT,FABRI,2198.56,233413823342103.2,3.0,3.0,233413688791525.38,134550577.82,0.0,0.0,233413688791525.38,0.0,134550577.82,106166683348.23848
5144,2022,IN,IN,FOUND,ELECT,2097.31,223855243070166.1,1.0,1.0,223855243070166.1,0.0,0.0,0.0,223855243070166.1,0.0,0.0,106734456551.56657
3476,2022,IN,IN,ELEC1,SUPPO,197.99,218493586669862.53,1.0,1.0,218493586669862.53,0.0,0.0,0.0,218493586669862.53,0.0,0.0,1103558698266.895
6452,2022,IN,IN,LANDT,PRINT,1971.73,209331965714519.9,3.0,3.0,209331845045844.25,120668675.659,0.0,0.0,209331845045844.25,0.0,120668675.659,106166648432.8584
1625,2022,IN,IN,CEMEN,CEMEN,945.74,208767207916985.6,2.0,1.0,208767207916985.6,0.0,0.0,0.0,208767207916985.6,0.0,0.0,220744821956.3364
6467,2022,IN,IN,LANDT,RUBBE,1952.77,207319878729848.1,3.0,3.0,207319759221032.9,119508815.191,0.0,0.0,207319759221032.9,0.0,119508815.191,106167074837.20464
1626,2022,IN,IN,CEMEN,CERAM,937.37,206919866046015.88,2.0,1.0,206919866046015.88,0.0,0.0,0.0,206919866046015.88,0.0,0.0,220745133774.3003
3461,2022,IN,IN,ELEC1,REALE,184.43,203533893348095.5,1.0,1.0,203533893348095.5,0.0,0.0,0.0,203533893348095.5,0.0,0.0,1103583437337.1768
5145,2022,IN,IN,FOUND,FABRI,1847.62,197204180276447.72,1.0,1.0,197204180276447.72,0.0,0.0,0.0,197204180276447.72,0.0,0.0,106734166266.03291
1670,2022,IN,IN,CEMEN,NONME,882.25,194753193070965.75,2.0,1.0,194753193070965.75,0.0,0.0,0.0,194753193070965.75,0.0,0.0,220746039184.99942
6486,2022,IN,IN,LANDT,WHOLE,1810.58,192223220911020.03,3.0,3.0,192223110104620.16,110806399.869,0.0,0.0,192223110104620.16,0.0,110806399.869,106166654282.61664
11381,2022,IN,IN,RUBBE,OFFIC,812.51,183137991134739.7,2.0,2.0,183137991134739.7,0.0,0.0,0.0,183137991134739.7,0.0,0.0,225397830346.3831
3466,2022,IN,IN,ELEC1,RETA1,165.78,182941857255864.2,1.0,1.0,182941857255864.2,0.0,0.0,0.0,182941857255864.2,0.0,0.0,1103521879936.447
11305,2022,IN,IN,RUBBE,BITUM,807.51,182012597946675.97,2.0,2.0,182012597946675.97,0.0,0.0,0.0,182012597946675.97,0.0,0.0,225399806747.50278
3400,2022,IN,IN,ELEC1,FINAN,162.82,179678992783093.9,1.0,1.0,179678992783093.9,0.0,0.0,0.0,179678992783093.9,0.0,0.0,1103543746364.66
3408,2022,IN,IN,ELEC1,HEALT,158.47,174881582808731.2,1.0,1.0,174881582808731.2,0.0,0.0,0.0,174881582808731.2,0.0,0.0,1103562710978.2998
724,2022,IN,IN,BASIC,CRUDE,680.0,170658461037369.4,2.0,2.0,170658443885097.53,0.0,0.0,17152271.875,170658443885097.53,17152271.875,0.0,250968325054.95502
6408,2022,IN,IN,LANDT,HOTEL,1601.26,170000393443024.25,3.0,3.0,170000295446895.16,97996129.106,0.0,0.0,170000295446895.16,0.0,97996129.106,106166639673.14755
6368,2022,IN,IN,LANDT,CEMEN,1592.26,169045054658785.4,3.0,3.0,169044957213357.97,97445427.423,0.0,0.0,169044957213357.97,0.0,97445427.423,106166740770.2168
3486,2022,IN,IN,ELEC1,WHEAT,153.14,169003186924367.12,1.0,1.0,169003186924367.12,0.0,0.0,0.0,169003186924367.12,0.0,0.0,1103586175554.1802
6439,2022,IN,IN,LANDT,OFFIC,1571.78,166870865980266.3,3.0,3.0,166870769788142.3,96192124.003,0.0,0.0,166870769788142.3,0.0,96192124.003,106166808319.39986
6442,2022,IN,IN,LANDT,PAPER,1570.04,166686134833198.66,3.0,3.0,166686038747562.28,96085636.383,0.0,0.0,166686038747562.28,0.0,96085636.383,106166807745.78906
5175,2022,IN,IN,FOUND,MOTO1,1520.71,162312008012913.1,1.0,1.0,162312008012913.1,0.0,0.0,0.0,162312008012913.1,0.0,0.0,106734359616.83232
6369,2022,IN,IN,LANDT,CERAM,1510.02,160314620978753.4,3.0,3.0,160314528565953.78,92412799.623,0.0,0.0,160314528565953.78,0.0,92412799.623,106167216976.43303
6484,2022,IN,IN,LANDT,WEARI,1473.58,156445819924298.9,3.0,3.0,156445729741656.06,90182642.857,0.0,0.0,156445729741656.06,0.0,90182642.857,106167171055.7275
4889,2022,IN,IN,FOOD5,BEVER,3654.11,154114248429706.94,1.0,1.0,154114248429706.94,0.0,0.0,0.0,154114248429706.94,0.0,0.0,42175590890.724945
3376,2022,IN,IN,ELEC1,BUSIN,135.55,149588043610738.62,1.0,1.0,149588043610738.62,0.0,0.0,0.0,149588043610738.62,0.0,0.0,1103563582521.126
3361,2022,IN,IN,ELEC1,93197,132.88,146637311404464.6,1.0,1.0,146637311404464.6,0.0,0.0,0.0,146637311404464.6,0.0,0.0,1103531843802.4126
773,2022,IN,IN,BASIC,NONME,581.2,145862269835353.47,2.0,2.0,145862255175258.12,0.0,0.0,14660095.335,145862255175258.12,14660095.335,0.0,250967429173.01007
11311,2022,IN,IN,RUBBE,CEMEN,642.59,144839969368935.03,2.0,2.0,144839969368935.03,0.0,0.0,0.0,144839969368935.03,0.0,0.0,225400285359.14816
740,2022,IN,IN,BASIC,FURNI,561.08,140814308128072.88,2.0,2.0,140814293975330.12,0.0,0.0,14152742.749,140814293975330.12,14152742.749,0.0,250970107877.79437
6459,2022,IN,IN,LANDT,RAWMI,1324.52,140619622769700.47,3.0,3.0,140619541710013.31,81059687.15,0.0,0.0,140619541710013.31,0.0,81059687.15,106166477493.50743
11337,2022,IN,IN,RUBBE,ELECT,602.73,135854411548122.84,2.0,2.0,135854411548122.84,0.0,0.0,0.0,135854411548122.84,0.0,0.0,225398456270.83908
3382,2022,IN,IN,ELEC1,CHEM1,120.13,132574190126054.95,1.0,1.0,132574190126054.95,0.0,0.0,0.0,132574190126054.95,0.0,0.0,1103589362574.3357
5220,2022,IN,IN,FOUND,TRANS,1226.27,130885414742180.28,1.0,1.0,130885414742180.28,0.0,0.0,0.0,130885414742180.28,0.0,0.0,106734581080.98566
