trade_id,factor_id,level
79,414,167186416236
80,414,547398697929
81,414,2551110326
82,414,7431505189
83,414,159539527335
84,414,18595507835
85,414,7480886071
86,414,6229342972
87,414,926414572792
88,414,65690069703
89,414,9961225580
90,414,3095737424
91,414,25690119804
92,414,12545385902
93,414,28990778945
94,414,100452175365
95,414,6315109282
96,414,426482929152
97,414,82530277670
98,414,10025512264
99,414,22576094417
100,414,519700228087
101,414,20210610380
102,414,38111399094
103,414,9613974502
104,414,2674574085
105,414,22670081402
106,414,3015280429
107,414,34719821491
108,414,9223727517
109,414,18424247130
110,414,9995220135
111,414,253584007637
112,414,6317095807
113,414,4416858961
114,414,3376048957
115,414,3821166827
116,414,3197960796
117,414,55226877380
118,414,23284310774
119,414,12437273709
120,414,261839422279
254,414,2030993617
254,414,943263810
895,8,547506358
896,8,5381942467
897,8,8513261013
898,8,2389834938
899,8,3482488901
900,8,14410163067
901,8,4553464607
902,8,5112335914
903,8,2238788100
904,8,6672096988
905,8,44344515963
906,8,2106852457
907,8,4824540838
908,8,902576626
909,8,1014905583
910,8,532153425
911,8,481292844
912,8,8798246873
913,8,4963533081
914,8,2301679233
915,8,431105070
916,8,626082733
917,8,2995211792
918,8,2523604033
919,8,941534212
929,8,10773405515
929,414,4677497213
930,8,6030594644
930,414,2618307609
931,8,3310167260
931,414,1437177697
932,8,4685606721
932,414,2034353237
933,8,29588538664
933,414,12846477090
934,8,2118764459
934,414,919905487
935,8,7004619245
935,414,3041200570
936,8,15277141670
936,414,6632887575
937,8,39170025031
937,414,17006477911
938,8,12117219128
938,414,5260941735
939,8,4465354876
939,414,1938726335
940,8,9359948040
940,414,4063815365
941,8,8195651971
941,414,3558312105
942,8,80571534532
942,414,34981801036
943,8,59877656395
943,414,25997125097
944,8,2386396153
944,414,1036103332
945,8,6247640126
945,414,2712542402
946,8,68322889131
946,414,29663797862
947,8,110422137261
947,414,47942058670
948,8,11736406316
948,414,5095603962
949,8,12185512997
949,414,5290592933
950,8,1445328537
950,414,627519329
951,8,1875055680
951,414,814094272
952,8,35991888276
952,414,15626623992
953,8,13853420582
953,414,6014749568
954,8,6522561450
954,414,2831905191
955,8,3170264942
955,414,1376436208
956,8,3078594891
956,414,1336635756
957,8,3475338901
957,414,1508890388
958,8,14582869829
958,414,6331455071
959,8,13129435949
959,414,5700416639
960,8,1808501846
960,414,785198546
961,8,2438766302
961,414,1058840917
962,8,1484812782
962,414,644662232
963,8,80042754862
963,414,34752220387
964,8,2779085239
964,414,1206597435
965,8,51678956753
965,414,22437489783
966,8,6232105865
966,414,2705797881
967,8,1921362779
967,414,834199458
968,8,15205959956
968,414,6601982559
969,8,20886958318
969,414,9068505700
970,8,2701998244
970,414,1173128519
971,8,8676441234
971,414,3767056725
972,8,13922145771
972,414,6044588032
973,8,3306205348
973,414,1435457551
974,8,9762657286
974,414,4238659928
975,8,1994184803
975,414,865816649
976,8,12570423812
976,414,5457709938
977,8,11809867075
977,414,5127498473
978,8,9523214043
978,414,4134700683
979,8,3053033965
979,414,1325537950
980,8,1463642282
980,414,635470621
981,8,3027462783
981,414,1314435692
982,8,3167917184
982,414,1375416880
983,8,48770964968
983,414,21174924901
984,8,18155952889
984,414,7882783110
985,8,5657870589
985,414,2456481739
986,8,1841644828
986,414,799588258
987,8,9691561369
987,414,4207792163
988,8,2938986659
988,414,1276021949
989,8,26413170629
989,414,11467825269
990,8,2570399807
990,414,1115992331
991,8,3251592774
991,414,1411746371
992,8,7936877858
992,414,3445959962
993,8,2052474113
993,414,891124160
994,8,16292470462
994,414,7073713606
995,8,4654700232
995,414,2020934544
996,8,7506517015
996,414,3259109886
997,8,2152447343
997,414,934529609
998,8,49156110141
998,414,21342143657
999,8,15287254141
999,414,6637278114
1000,8,30558974411
1000,414,13267811876
1248,414,11599281429
1249,414,1233690791
1250,414,114469404840
1251,414,114732613583
1252,414,1636665165
1253,414,1546837323
1254,414,1740593536
1255,414,8499643202
1256,414,12321943253
1257,414,9300047532
1258,414,2830483578
1259,414,3689952857
1260,414,2720442576
1261,414,17569023179
1262,414,1464558325
1263,414,21286001016
1264,414,8952324535
1265,414,122960507885
1266,414,77493400264
1267,414,20514986376
1268,414,3205934270
1269,414,135921870255
1270,414,1082778960
1271,414,231313247117
1272,414,27138515366
1273,414,8030599429
1274,414,187383634393
1275,414,3824677829
1276,414,1309216768
1277,414,58008032234
1278,414,16428539016
1279,414,53938732854
1280,414,4684090877
1281,414,25817309978
1282,414,8802601570
1283,414,42400973098
1284,414,1742631476
1285,414,11831578623
1286,414,26962022742
1287,414,188049224585
1288,414,6472553058
1289,414,10029649100
1290,414,2575918658
1291,414,17103114397
1292,414,1353916765
1293,414,9799410959
1294,414,12173737756
1295,414,34203580998
1296,414,116754621212
1297,414,12064987094
1298,414,8725780498
1299,414,32116703044
1300,414,21834564893
1301,414,8015279581
1302,414,2414481651
1303,414,4402609097
1304,414,6462042361
1305,414,5389491723
1306,414,5557011132
1307,414,39012886742
1308,414,5474343028
1309,414,2036047986
1310,414,7748957302
1311,414,22022335006
1312,414,8546200711
1313,414,90193606278
1314,414,17976855229
1315,414,5846962866
1316,414,7721779522
1317,414,1446581787
1318,414,6833810023
1319,414,13738736061
1320,414,55216398752
1321,414,1484690457
1322,414,118053694177
1323,414,38369590883
1324,414,3242697828
1325,414,15440168675
1326,414,5527999524
1327,414,1876603620
1328,414,25292214089
1329,414,27490159445
1330,414,1428993980
1331,414,9736828552
1332,414,17908629575
1333,414,1367995719
1334,414,9938046197
1335,414,4673001648
1336,414,4432458681
1337,414,1310171568
1338,414,526898428053
1339,414,150547988723
1964,8,10071012113
1964,414,5122329114
1965,8,7177850318
1965,414,3650806021
1966,8,34856999906
1966,414,17729005135
1967,8,2744377371
1967,414,1395848198
1968,8,29661387564
1968,414,15086407145
1969,8,207083751797
1969,414,105327162660
1970,8,8365014051
1970,414,4254622528
1971,8,8458459477
1971,414,4302150842
1972,8,4304541668
1972,414,2189380657
1973,8,39569065930
1973,414,20125661272
1974,8,17480669231
1974,414,8891036962
1975,8,65240891982
1975,414,33182893309
1976,8,2764387993
1976,414,1406026022
1977,8,5136096307
1977,414,2612326880
1978,8,88122384032
1978,414,44820902637
1979,8,11444629094
1979,414,5820979674
1980,8,59935537220
1980,414,30484478010
1981,8,14491683375
1981,414,7370775731
1982,8,13308202377
1982,414,6768832341
1983,8,1933950941
1983,414,983648227
1984,8,133290562961
1984,414,67794390841
1985,8,4570335160
1985,414,2324568831
1986,8,3114092492
1986,414,1583893104
1987,8,140939918440
1987,414,71685014329
1988,8,179178999870
1988,414,91134217440
