trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,material,water,CO2_total,Water_total,Employment_total,impact_intensity
3006,2022,US,US,CONST,REALE,237741.61,3.07285782356649e+16,2.0,2.0,3.0728574090678544e+16,4144986357.868,0.0,0.0,3.0728574090678544e+16,0.0,4144986357.868,129251998569.64417
3372,2022,US,US,CRUDE,MOTOR,204081.06,2.6648598989919732e+16,2.0,2.0,2.664848470995108e+16,0.0,114279968651.148,0.0,2.664848470995108e+16,0.0,0.0,130578501453.88177
3318,2022,US,US,CRUDE,CRUDE,106242.05,1.3872927584199332e+16,2.0,2.0,1.3872868091475906e+16,0.0,59492723426.91,0.0,1.3872868091475906e+16,0.0,0.0,130578500548.50534
3342,2022,US,US,CRUDE,GASDI,103061.28,1.3457587160862534e+16,2.0,2.0,1.3457529449286798e+16,0.0,57711575735.94,0.0,1.3457529449286798e+16,0.0,0.0,130578498160.14835
3308,2022,US,US,CRUDE,CHEM1,79356.74,1.0362284725021858e+16,2.0,2.0,1.0362240287354648e+16,0.0,44437667210.111,0.0,1.0362240287354648e+16,0.0,0.0,130578508202.6033
4556,2022,US,US,ELEC2,REALE,11653.07,7619527712538202.0,1.0,1.0,7619527712538202.0,0.0,0.0,0.0,7619527712538202.0,0.0,0.0,653864407622.9012
6090,2022,US,US,FINAN,REALE,171566.38,7201099990131789.0,1.0,1.0,7201099990131789.0,0.0,0.0,0.0,7201099990131789.0,0.0,0.0,41972675474.83247
3001,2022,US,US,CONST,PUBLI,50554.49,6534268792757187.0,2.0,2.0,6534267911347875.0,881409312.104,0.0,0.0,6534267911347875.0,0.0,881409312.104,129251997058.16808
7762,2022,US,US,HEALT,HEALT,61432.69,6103171753448912.0,1.0,1.0,6103171753448912.0,0.0,0.0,0.0,6103171753448912.0,0.0,0.0,99347297887.3123
15245,2022,US,US,RESEA,RESEA,131478.98,6019712468463526.0,1.0,1.0,6019712468463526.0,0.0,0.0,0.0,6019712468463526.0,0.0,0.0,45784599701.51522
6013,2022,US,US,FINAN,FINAN,131306.64,5511290675988312.0,1.0,1.0,5511290675988312.0,0.0,0.0,0.0,5511290675988312.0,0.0,0.0,41972673095.498535
6033,2022,US,US,FINAN,INSUR,126163.22,5295407842571977.0,1.0,1.0,5295407842571977.0,0.0,0.0,0.0,5295407842571977.0,0.0,0.0,41972675099.541504
3354,2022,US,US,CRUDE,KEROS,36637.56,4784078327033151.0,2.0,2.0,4784057810970695.0,0.0,20516062455.846,0.0,4784057810970695.0,0.0,0.0,130578519067.13087
4399,2022,US,US,ELEC1,REALE,5249.05,4395079075349737.5,2.0,2.0,4395078893248613.5,0.0,0.0,182101124.115,4395078893248613.5,182101124.115,0.0,837309432249.5951
3414,2022,US,US,CRUDE,RUBBE,25119.11,3280015263102079.5,2.0,2.0,3280001197070256.0,0.0,14066031823.451,0.0,3280001197070256.0,0.0,0.0,130578482402.52458
