trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,material,water,CO2_total,Water_total,Employment_total,impact_intensity
10423,2022,WM,WM,NATUR,ELEC2,27486.82,1461406299208593.0,2.0,2.0,1461391516125534.5,0.0,14783083058.459,0.0,1461391516125534.5,0.0,0.0,53167528990.5705
4134,2022,WM,WM,ELEC2,DISTR,2736.89,1254668455836156.0,2.0,2.0,1254668308968380.5,0.0,0.0,146867775.435,1254668308968380.5,146867775.435,0.0,458428528671.6514
4131,2022,WM,WM,ELEC2,CRUDE,2730.82,1251883154072663.0,2.0,2.0,1251883007530926.8,0.0,0.0,146541736.256,1251883007530926.8,146541736.256,0.0,458427561711.37714
1673,2022,WM,WM,CEMEN,CONST,11551.92,1105673355680703.2,1.0,1.0,1105673355680703.2,0.0,0.0,0.0,1105673355680703.2,0.0,0.0,95713384067.81758
6907,2022,WM,WM,FURNI,CONST,2576.0,684722949586433.4,1.0,1.0,684722949586433.4,0.0,0.0,0.0,684722949586433.4,0.0,0.0,265808598441.9384
10440,2022,WM,WM,NATUR,FURNI,11903.01,632853464752492.9,2.0,2.0,632847063024692.5,0.0,6401727800.363,0.0,632847063024692.5,0.0,0.0,53167515170.74193
4127,2022,WM,WM,ELEC2,CONST,1209.7,554558364003176.9,2.0,2.0,554558299088216.4,0.0,0.0,64914960.515,554558299088216.4,64914960.515,0.0,458426356950.62976
4135,2022,WM,WM,ELEC2,EDUCA,910.72,417498154833616.3,2.0,2.0,417498105962518.2,0.0,0.0,48871098.148,417498105962518.2,48871098.148,0.0,458426470082.5899
4240,2022,WM,WM,ELEC2,TRAN1,880.37,403585465967784.56,2.0,2.0,403585418725264.56,0.0,0.0,47242519.973,403585418725264.56,47242519.973,0.0,458427099932.73804
4223,2022,WM,WM,ELEC2,RESEA,803.41,368303532203913.25,2.0,2.0,368303489091392.0,0.0,0.0,43112521.247,368303489091392.0,43112521.247,0.0,458425377085.06647
16216,2022,WM,WM,SEACO,SEACO,6502.73,317474958802172.06,1.0,1.0,317474958802172.06,0.0,0.0,0.0,317474958802172.06,0.0,0.0,48821796199.77641
4218,2022,WM,WM,ELEC2,REALE,667.1,305816640052728.5,2.0,2.0,305816604254737.9,0.0,0.0,35797990.622,305816604254737.9,35797990.622,0.0,458426982540.44147
4224,2022,WM,WM,ELEC2,RETA1,577.88,264916186589691.94,2.0,2.0,264916155579387.3,0.0,0.0,31010304.611,264916155579387.3,31010304.611,0.0,458427678046.8124
4155,2022,WM,WM,ELEC2,GASDI,570.71,261627215838556.34,2.0,2.0,261627185213248.9,0.0,0.0,30625307.431,261627185213248.9,30625307.431,0.0,458424096018.2165
4158,2022,WM,WM,ELEC2,HEALT,524.82,240592082493242.56,2.0,2.0,240592054330245.56,0.0,0.0,28162996.988,240592054330245.56,28162996.988,0.0,458427808569.11426
4201,2022,WM,WM,ELEC2,PFERT,501.99,230124051650234.47,2.0,2.0,230124024712594.2,0.0,0.0,26937640.285,230124024712594.2,26937640.285,0.0,458423577462.1695
4184,2022,WM,WM,ELEC2,NATUR,475.39,217933040755463.75,2.0,2.0,217933015244867.12,0.0,0.0,25510596.637,217933015244867.12,25510596.637,0.0,458430006427.27814
4160,2022,WM,WM,ELEC2,HOTEL,474.64,217589401383053.38,2.0,2.0,217589375912682.16,0.0,0.0,25470371.229,217589375912682.16,25470371.229,0.0,458430392261.6159
4103,2022,WM,WM,ELEC2,ALUM1,434.79,199320475915232.6,2.0,2.0,199320452583367.7,0.0,0.0,23331864.892,199320452583367.7,23331864.892,0.0,458429301306.9127
4244,2022,WM,WM,ELEC2,VEGET,401.15,183896862243609.25,2.0,2.0,183896840717186.9,0.0,0.0,21526422.332,183896840717186.9,21526422.332,0.0,458424186074.06024
4107,2022,WM,WM,ELEC2,BASIC,398.31,182594376723661.3,2.0,2.0,182594355349704.1,0.0,0.0,21373957.233,182594355349704.1,21373957.233,0.0,458422778046.3993
4207,2022,WM,WM,ELEC2,POSTT,372.16,170610347855767.5,2.0,2.0,170610327884625.22,0.0,0.0,19971142.288,170610327884625.22,19971142.288,0.0,458432791959.8224
4150,2022,WM,WM,ELEC2,FOOD5,347.89,159484490419689.4,2.0,2.0,159484471750907.06,0.0,0.0,18668782.351,159484471750907.06,18668782.351,0.0,458433672769.2357
4654,2022,WM,WM,ELEC6,DISTR,734.38,153235083080328.6,1.0,1.0,153235083080328.6,0.0,0.0,0.0,153235083080328.6,0.0,0.0,208659118004.7504
4181,2022,WM,WM,ELEC2,MOTOR,325.72,149318036427601.03,2.0,2.0,149318018948873.7,0.0,0.0,17478727.341,149318018948873.7,17478727.341,0.0,458424525443.9426
4651,2022,WM,WM,ELEC6,CRUDE,704.5,147001242215226.8,1.0,1.0,147001242215226.8,0.0,0.0,0.0,147001242215226.8,0.0,0.0,208660386394.92804
4171,2022,WM,WM,ELEC2,LIQUE,318.52,146017141766124.1,2.0,2.0,146017124673789.72,0.0,0.0,17092334.383,146017124673789.72,17092334.383,0.0,458423777992.3525
6937,2022,WM,WM,FURNI,FURNI,542.86,144296101175396.53,1.0,1.0,144296101175396.53,0.0,0.0,0.0,144296101175396.53,0.0,0.0,265807208443.05444
